times,LOAD,WIND_ONSHORE,WIND_OFFSHORE,SOLAR,DA_PRICES,LOAD_H2,ELASTICITY_EL
2022-01-01T00:00:00.000+01:00,10374,0.407115385,0.720325203,0,124.7,8882,2370
2022-01-01T01:00:00.000+01:00,10250,0.372269231,0.819512195,0,124.7,8881,2342
2022-01-01T02:00:00.000+01:00,9907,0.332576923,0.623170732,0,134,8880,2288
2022-01-01T03:00:00.000+01:00,9783,0.300730769,0.539430894,0,58.8,8879,2079
2022-01-01T04:00:00.000+01:00,9590,0.262576923,0.589837398,0,37.67,8878,1993
2022-01-01T05:00:00.000+01:00,9508,0.224884615,0.558536585,0,39.7,8877,1980
2022-01-01T06:00:00.000+01:00,9691,0.202538462,0.639430894,0,40.59,8875,2020
2022-01-01T07:00:00.000+01:00,9922,0.190807692,0.645528455,0,43.26,8874,2074
2022-01-01T08:00:00.000+01:00,10158,0.214730769,0.609349593,0,49.66,8873,2138
2022-01-01T09:00:00.000+01:00,10362,0.255153846,0.565447154,0.00815,70.05,8872,2229
2022-01-01T10:00:00.000+01:00,10663,0.2855,0.741463415,0.0448,76.79,8871,2310
2022-01-01T11:00:00.000+01:00,10669,0.292076923,0.819918699,0.095675,84.1,8870,2330
2022-01-01T12:00:00.000+01:00,10542,0.306153846,0.869512195,0.123225,94.74,8869,2329
2022-01-01T13:00:00.000+01:00,10736,0.314846154,0.891056911,0.132075,96.8,8868,2377
2022-01-01T14:00:00.000+01:00,11002,0.331076923,0.89796748,0.119125,97.17,8866,2437
2022-01-01T15:00:00.000+01:00,11387,0.347807692,0.850406504,0.092825,101.27,8865,2534
2022-01-01T16:00:00.000+01:00,11854,0.367730769,0.811788618,0.046225,126.6,8864,2714
2022-01-01T17:00:00.000+01:00,12874,0.380384615,0.796341463,0.003325,149.97,8863,3029
2022-01-01T18:00:00.000+01:00,12940,0.4005,0.88495935,0,146.33,8862,3032
2022-01-01T19:00:00.000+01:00,12594,0.416730769,0.906910569,0,140.28,8861,2930
2022-01-01T20:00:00.000+01:00,12136,0.410807692,0.914634146,0,121.88,8860,2764
2022-01-01T21:00:00.000+01:00,11606,0.392653846,0.803658537,0,102.61,8858,2587
2022-01-01T22:00:00.000+01:00,11167,0.394384615,0.787804878,0,97.46,8857,2475
2022-01-01T23:00:00.000+01:00,10655,0.405346154,0.807723577,0,85.16,8856,2329
2022-01-02T00:00:00.000+01:00,10354,0.349615385,0.831707317,0,57.08,8855,2196
2022-01-02T01:00:00.000+01:00,9982,0.357076923,0.855691057,0,52.59,8854,2107
2022-01-02T02:00:00.000+01:00,9701,0.376115385,0.876422764,0,48.97,8853,2040
2022-01-02T03:00:00.000+01:00,9585,0.393076923,0.900406504,0,34.94,8852,1986
2022-01-02T04:00:00.000+01:00,9560,0.396884615,0.894715447,0,29.56,8850,1970
2022-01-02T05:00:00.000+01:00,9676,0.412346154,0.853252033,0,33.97,8849,2003
2022-01-02T06:00:00.000+01:00,9977,0.444884615,0.791056911,0,34.52,8848,2067
2022-01-02T07:00:00.000+01:00,10410,0.4745,0.865447154,0,41.8,8847,2173
2022-01-02T08:00:00.000+01:00,11034,0.498653846,0.881300813,0,48.95,8846,2320
2022-01-02T09:00:00.000+01:00,11573,0.534307692,0.869512195,0.0055,60.01,8845,2462
2022-01-02T10:00:00.000+01:00,11593,0.572346154,0.87601626,0.033025,70.09,8844,2493
2022-01-02T11:00:00.000+01:00,11883,0.620192308,0.904471545,0.07225,66.26,8843,2545
2022-01-02T12:00:00.000+01:00,12182,0.668307692,0.896747967,0.092425,64.54,8841,2604
2022-01-02T13:00:00.000+01:00,11962,0.689961538,0.858943089,0.12245,46.96,8840,2510
2022-01-02T14:00:00.000+01:00,11923,0.691153846,0.887398374,0.14745,49.06,8839,2508
2022-01-02T15:00:00.000+01:00,12194,0.663923077,0.88902439,0.11815,74.99,8838,2637
2022-01-02T16:00:00.000+01:00,12667,0.614961538,0.840243902,0.0616,85,8837,2769
2022-01-02T17:00:00.000+01:00,13775,0.588346154,0.883333333,0.0048,100,8836,3061
2022-01-02T18:00:00.000+01:00,13656,0.560307692,0.9,0,109.9,8835,3068
2022-01-02T19:00:00.000+01:00,13246,0.531884615,0.902845528,0,99.9,8833,2943
2022-01-02T20:00:00.000+01:00,12803,0.523269231,0.906097561,0,77,8832,2774
2022-01-02T21:00:00.000+01:00,12275,0.523692308,0.855691057,0,46.16,8831,2574
2022-01-02T22:00:00.000+01:00,11839,0.539769231,0.865447154,0,46.29,8830,2483
2022-01-02T23:00:00.000+01:00,11243,0.602153846,0.79796748,0,32.93,8829,2325
2022-01-03T00:00:00.000+01:00,10812,0.672576923,0.908943089,0,0.31,8828,2163
2022-01-03T01:00:00.000+01:00,10411,0.663346154,0.689430894,0,-0.01,8827,2082
2022-01-03T02:00:00.000+01:00,10230,0.671538462,0.67804878,0,-0.07,8826,2046
2022-01-03T03:00:00.000+01:00,10141,0.670038462,0.680081301,0,-1.05,8824,2028
2022-01-03T04:00:00.000+01:00,10159,0.663153846,0.692682927,0,-1,8823,2032
2022-01-03T05:00:00.000+01:00,10709,0.652769231,0.766666667,0,0,8822,2142
2022-01-03T06:00:00.000+01:00,11696,0.625230769,0.838617886,0,35.97,8821,2426
2022-01-03T07:00:00.000+01:00,12880,0.605884615,0.827235772,0,90.34,8820,2832
2022-01-03T08:00:00.000+01:00,14049,0.594346154,0.854471545,0,120,8819,3193
2022-01-03T09:00:00.000+01:00,14522,0.581038462,0.906097561,0.0181,129.9,8818,3338
2022-01-03T10:00:00.000+01:00,14338,0.578115385,0.906097561,0.08725,119.04,8817,3255
2022-01-03T11:00:00.000+01:00,13899,0.595730769,0.900813008,0.16905,119.19,8815,3156
2022-01-03T12:00:00.000+01:00,13922,0.615846154,0.908943089,0.20445,120,8814,3164
2022-01-03T13:00:00.000+01:00,14044,0.626076923,0.903252033,0.208775,122.62,8813,3201
2022-01-03T14:00:00.000+01:00,14282,0.600461538,0.905691057,0.1829,138.18,8812,3314
2022-01-03T15:00:00.000+01:00,14622,0.564538462,0.906504065,0.145825,143.1,8811,3413
2022-01-03T16:00:00.000+01:00,15077,0.521846154,0.906504065,0.07335,136,8810,3490
2022-01-03T17:00:00.000+01:00,15960,0.492230769,0.892682927,0.00335,148.49,8809,3749
2022-01-03T18:00:00.000+01:00,15350,0.468461538,0.829268293,0,214,8808,3906
2022-01-03T19:00:00.000+01:00,14669,0.439730769,0.819918699,0,192,8807,3631
2022-01-03T20:00:00.000+01:00,13913,0.408346154,0.802439024,0,149.8,8805,3273
2022-01-03T21:00:00.000+01:00,13204,0.374461538,0.682926829,0,144.22,8804,3086
2022-01-03T22:00:00.000+01:00,12475,0.337692308,0.663821138,0,130,8803,2868
2022-01-03T23:00:00.000+01:00,11819,0.293384615,0.581300813,0,110,8802,2656
2022-01-04T00:00:00.000+01:00,11201,0.284269231,0.572764228,0,194.9,8801,2783
2022-01-04T01:00:00.000+01:00,10927,0.244769231,0.514634146,0,137.25,8800,2533
2022-01-04T02:00:00.000+01:00,10711,0.207769231,0.530894309,0,137.2,8799,2483
2022-01-04T03:00:00.000+01:00,10570,0.174423077,0.495528455,0,119.31,8798,2400
2022-01-04T04:00:00.000+01:00,10637,0.144576923,0.400406504,0,117.13,8796,2410
2022-01-04T05:00:00.000+01:00,11050,0.127346154,0.334146341,0,119.9,8795,2511
2022-01-04T06:00:00.000+01:00,12010,0.118192308,0.368699187,0,156.91,8794,2849
2022-01-04T07:00:00.000+01:00,13335,0.118807692,0.27804878,0,182.64,8793,3263
2022-01-04T08:00:00.000+01:00,14630,0.114923077,0.316260163,0,178.91,8792,3564
2022-01-04T09:00:00.000+01:00,15160,0.099384615,0.306097561,0.0041,190,8791,3743
2022-01-04T10:00:00.000+01:00,15193,0.103769231,0.234146341,0.021175,189.88,8790,3751
2022-01-04T11:00:00.000+01:00,15146,0.124730769,0.209756098,0.045175,182.42,8789,3705
2022-01-04T12:00:00.000+01:00,15191,0.150115385,0.356910569,0.05905,182.46,8788,3716
2022-01-04T13:00:00.000+01:00,15138,0.159115385,0.404878049,0.06725,179.59,8786,3690
2022-01-04T14:00:00.000+01:00,15060,0.143461538,0.519918699,0.06605,179,8785,3669
2022-01-04T15:00:00.000+01:00,15086,0.123038462,0.450813008,0.050525,180.93,8784,3684
2022-01-04T16:00:00.000+01:00,15440,0.124269231,0.401626016,0.025325,166.69,8783,3706
2022-01-04T17:00:00.000+01:00,16334,0.143230769,0.627235772,0.0028,189.88,8782,4032
2022-01-04T18:00:00.000+01:00,15643,0.181038462,0.523577236,0,184.94,8781,3838
2022-01-04T19:00:00.000+01:00,15022,0.217615385,0.776829268,0,178.99,8780,3659
2022-01-04T20:00:00.000+01:00,14290,0.262192308,0.767073171,0,156.12,8779,3387
2022-01-04T21:00:00.000+01:00,13585,0.323230769,0.760162602,0,154.99,8778,3215
2022-01-04T22:00:00.000+01:00,12917,0.362038462,0.818699187,0,137.92,8776,2997
2022-01-04T23:00:00.000+01:00,12229,0.4,0.858943089,0,106,8775,2736
2022-01-05T00:00:00.000+01:00,11645,0.467576923,0.867886179,0,128.88,8774,2674
2022-01-05T01:00:00.000+01:00,11195,0.512153846,0.883333333,0,113.88,8773,2527
2022-01-05T02:00:00.000+01:00,11084,0.548269231,0.892276423,0,84.5,8772,2421
2022-01-05T03:00:00.000+01:00,11044,0.582230769,0.906504065,0,75.38,8771,2389
2022-01-05T04:00:00.000+01:00,11122,0.615769231,0.907723577,0,79.11,8770,2415
2022-01-05T05:00:00.000+01:00,11434,0.642576923,0.907723577,0,94.79,8769,2526
2022-01-05T06:00:00.000+01:00,12198,0.647923077,0.903658537,0,158,8768,2897
2022-01-05T07:00:00.000+01:00,13552,0.650346154,0.901219512,0,188.04,8766,3338
2022-01-05T08:00:00.000+01:00,14660,0.647923077,0.905284553,0,227.4,8765,3795
2022-01-05T09:00:00.000+01:00,15195,0.646269231,0.902439024,0.0057,231,8764,3952
2022-01-05T10:00:00.000+01:00,15301,0.647230769,0.903252033,0.036075,228.7,8763,3968
2022-01-05T11:00:00.000+01:00,15107,0.647615385,0.905691057,0.079,220,8762,3874
2022-01-05T12:00:00.000+01:00,14878,0.637346154,0.901626016,0.096075,198.63,8761,3713
2022-01-05T13:00:00.000+01:00,14793,0.615807692,0.901626016,0.116425,200,8760,3698
2022-01-05T14:00:00.000+01:00,14846,0.589346154,0.885365854,0.13195,220,8759,3807
2022-01-05T15:00:00.000+01:00,15041,0.5565,0.88495935,0.104425,215,8758,3832
2022-01-05T16:00:00.000+01:00,15458,0.522307692,0.88699187,0.05425,228.7,8757,4008
2022-01-05T17:00:00.000+01:00,16266,0.504269231,0.87804878,0.005575,299,8755,4641
2022-01-05T18:00:00.000+01:00,15737,0.476230769,0.896747967,0,315.25,8754,4596
2022-01-05T19:00:00.000+01:00,15121,0.446538462,0.897560976,0,251.03,8753,4038
2022-01-05T20:00:00.000+01:00,14413,0.433692308,0.897560976,0,181.1,8752,3520
2022-01-05T21:00:00.000+01:00,13687,0.420923077,0.787398374,0,227.8,8751,3545
2022-01-05T22:00:00.000+01:00,13062,0.401615385,0.721138211,0,141.45,8750,3043
2022-01-05T23:00:00.000+01:00,12396,0.367769231,0.622764228,0,140,8749,2883
2022-01-06T00:00:00.000+01:00,11760,0.444846154,0.746747967,0,225,8748,3035
2022-01-06T01:00:00.000+01:00,11338,0.392153846,0.736178862,0,187.87,8747,2792
2022-01-06T02:00:00.000+01:00,10989,0.311807692,0.38699187,0,218,8746,2810
2022-01-06T03:00:00.000+01:00,10934,0.234461538,0.519512195,0,188,8744,2693
2022-01-06T04:00:00.000+01:00,10998,0.169653846,0.345528455,0,199.9,8743,2749
2022-01-06T05:00:00.000+01:00,11465,0.127923077,0.262195122,0,187,8742,2820
2022-01-06T06:00:00.000+01:00,12450,0.095038462,0.106097561,0,215.56,8741,3174
2022-01-06T07:00:00.000+01:00,13951,0.073653846,0.12601626,0,228.25,8740,3615
2022-01-06T08:00:00.000+01:00,15104,0.067692308,0.084552846,0.00015,250,8739,4028
2022-01-06T09:00:00.000+01:00,15115,0.064461538,0.026829268,0.0228,292.55,8738,4273
2022-01-06T10:00:00.000+01:00,14301,0.067230769,0.03902439,0.11645,268.67,8737,3911
2022-01-06T11:00:00.000+01:00,13564,0.081884615,0.101219512,0.22855,231.9,8736,3532
2022-01-06T12:00:00.000+01:00,13279,0.098384615,0.157317073,0.266275,226,8735,3431
2022-01-06T13:00:00.000+01:00,13302,0.114846154,0.26300813,0.2601,209.2,8733,3364
2022-01-06T14:00:00.000+01:00,13781,0.126115385,0.336178862,0.2158,216.06,8732,3516
2022-01-06T15:00:00.000+01:00,14500,0.135961538,0.490650407,0.175675,230.77,8731,3770
2022-01-06T16:00:00.000+01:00,15302,0.158846154,0.534146341,0.091625,245.95,8730,4059
2022-01-06T17:00:00.000+01:00,16311,0.218038462,0.734146341,0.004475,274.11,8729,4494
2022-01-06T18:00:00.000+01:00,15847,0.296961538,0.793495935,0,273.44,8728,4362
2022-01-06T19:00:00.000+01:00,15185,0.383153846,0.888211382,0,219.1,8727,3889
2022-01-06T20:00:00.000+01:00,14498,0.456461538,0.908536585,0,218.58,8726,3711
2022-01-06T21:00:00.000+01:00,13777,0.522807692,0.907723577,0,203.31,8725,3459
2022-01-06T22:00:00.000+01:00,12972,0.576192308,0.816666667,0,184.7,8724,3182
2022-01-06T23:00:00.000+01:00,12283,0.606692308,0.865447154,0,136.48,8723,2845
2022-01-07T00:00:00.000+01:00,11740,0.636346154,0.851626016,0,128.92,8721,2696
2022-01-07T01:00:00.000+01:00,11323,0.6515,0.880081301,0,127.98,8720,2597
2022-01-07T02:00:00.000+01:00,11040,0.647769231,0.89796748,0,115.93,8719,2498
2022-01-07T03:00:00.000+01:00,10850,0.642269231,0.874796748,0,107.42,8718,2431
2022-01-07T04:00:00.000+01:00,10896,0.627846154,0.830081301,0,107.3,8717,2441
2022-01-07T05:00:00.000+01:00,11328,0.591576923,0.853252033,0,117.59,8716,2568
2022-01-07T06:00:00.000+01:00,12226,0.547653846,0.835772358,0,153.61,8715,2889
2022-01-07T07:00:00.000+01:00,13507,0.510538462,0.891463415,0,189.3,8714,3332
2022-01-07T08:00:00.000+01:00,14698,0.490384615,0.874390244,0.000125,229.9,8713,3817
2022-01-07T09:00:00.000+01:00,15082,0.470115385,0.899186992,0.019275,255,8712,4049
2022-01-07T10:00:00.000+01:00,14832,0.454192308,0.886585366,0.091875,240,8711,3903
2022-01-07T11:00:00.000+01:00,14343,0.443576923,0.82398374,0.175475,245.4,8709,3801
2022-01-07T12:00:00.000+01:00,14299,0.435846154,0.745121951,0.207675,210.08,8708,3620
2022-01-07T13:00:00.000+01:00,14348,0.422692308,0.840243902,0.209525,240,8707,3776
2022-01-07T14:00:00.000+01:00,14576,0.393692308,0.792276423,0.183125,233.06,8706,3801
2022-01-07T15:00:00.000+01:00,14913,0.363884615,0.87398374,0.1483,224.37,8705,3845
2022-01-07T16:00:00.000+01:00,15278,0.338730769,0.804065041,0.078225,240,8704,4021
2022-01-07T17:00:00.000+01:00,15976,0.318076923,0.711788618,0.005925,244.59,8703,4230
2022-01-07T18:00:00.000+01:00,15512,0.295230769,0.672764228,0,263.14,8702,4210
2022-01-07T19:00:00.000+01:00,14840,0.273,0.560569106,0,262,8701,4022
2022-01-07T20:00:00.000+01:00,14169,0.246153846,0.528861789,0,238.03,8700,3719
2022-01-07T21:00:00.000+01:00,13494,0.219692308,0.6,0,213.81,8699,3433
2022-01-07T22:00:00.000+01:00,12713,0.203461538,0.600406504,0,258,8697,3427
2022-01-07T23:00:00.000+01:00,12121,0.2125,0.567073171,0,257.25,8696,3264
2022-01-08T00:00:00.000+01:00,11683,0.201230769,0.606504065,0,200.3,8695,2922
2022-01-08T01:00:00.000+01:00,11366,0.204384615,0.57601626,0,176.2,8694,2759
2022-01-08T02:00:00.000+01:00,11044,0.2045,0.550406504,0,166,8693,2648
2022-01-08T03:00:00.000+01:00,10797,0.202884615,0.442682927,0,162.38,8692,2578
2022-01-08T04:00:00.000+01:00,10737,0.204384615,0.273170732,0,160,8691,2556
2022-01-08T05:00:00.000+01:00,10982,0.216423077,0.336585366,0,154.3,8690,2597
2022-01-08T06:00:00.000+01:00,11421,0.231115385,0.328455285,0,166,8689,2739
2022-01-08T07:00:00.000+01:00,11943,0.244653846,0.279268293,0,182.91,8688,2923
2022-01-08T08:00:00.000+01:00,12619,0.255153846,0.306504065,0.00005,215.89,8687,3219
2022-01-08T09:00:00.000+01:00,13120,0.269807692,0.517073171,0.01555,231,8686,3412
2022-01-08T10:00:00.000+01:00,13335,0.299730769,0.764227642,0.05975,228.95,8685,3459
2022-01-08T11:00:00.000+01:00,13363,0.356269231,0.865853659,0.10095,215.39,8683,3406
2022-01-08T12:00:00.000+01:00,13472,0.411269231,0.900813008,0.121225,206.68,8682,3396
2022-01-08T13:00:00.000+01:00,13617,0.471923077,0.900406504,0.095025,185,8681,3342
2022-01-08T14:00:00.000+01:00,13874,0.552576923,0.902439024,0.03685,169.52,8680,3341
2022-01-08T15:00:00.000+01:00,14033,0.624230769,0.905691057,0.027975,162.8,8679,3352
2022-01-08T16:00:00.000+01:00,14345,0.667538462,0.904065041,0.01395,161.9,8678,3423
2022-01-08T17:00:00.000+01:00,15087,0.691269231,0.901626016,0.001775,189.9,8677,3725
2022-01-08T18:00:00.000+01:00,14785,0.705346154,0.9,0,200.3,8676,3698
2022-01-08T19:00:00.000+01:00,14208,0.695923077,0.894715447,0,200,8675,3552
2022-01-08T20:00:00.000+01:00,13484,0.643846154,0.884552846,0,232,8674,3511
2022-01-08T21:00:00.000+01:00,12888,0.577384615,0.775203252,0,165.75,8673,3090
2022-01-08T22:00:00.000+01:00,12364,0.527,0.858536585,0,149.61,8672,2908
2022-01-08T23:00:00.000+01:00,11829,0.533576923,0.883333333,0,149.6,8671,2782
2022-01-09T00:00:00.000+01:00,11295,0.596730769,0.859756098,0,141.32,8669,2631
2022-01-09T01:00:00.000+01:00,10968,0.622153846,0.776829268,0,100,8668,2437
2022-01-09T02:00:00.000+01:00,10750,0.633807692,0.806097561,0,80.24,8667,2338
2022-01-09T03:00:00.000+01:00,10525,0.643730769,0.756504065,0,55.46,8666,2229
2022-01-09T04:00:00.000+01:00,10400,0.640307692,0.87195122,0,49.29,8665,2188
2022-01-09T05:00:00.000+01:00,10562,0.604423077,0.899186992,0,50.64,8664,2225
2022-01-09T06:00:00.000+01:00,10810,0.559038462,0.880081301,0,74.29,8663,2336
2022-01-09T07:00:00.000+01:00,11302,0.515653846,0.884146341,0,87,8662,2476
2022-01-09T08:00:00.000+01:00,11821,0.477,0.815853659,0,99.94,8661,2627
2022-01-09T09:00:00.000+01:00,12137,0.435807692,0.866260163,0.011975,185.2,8660,2979
2022-01-09T10:00:00.000+01:00,12191,0.397,0.841869919,0.0773,163,8659,2913
2022-01-09T11:00:00.000+01:00,12021,0.367653846,0.727235772,0.168025,149.65,8658,2827
2022-01-09T12:00:00.000+01:00,11879,0.341269231,0.669512195,0.19955,166.7,8657,2851
2022-01-09T13:00:00.000+01:00,11776,0.311076923,0.543089431,0.21595,165.06,8656,2821
