;A;B
11-11-2024 00:00;0.064675674;0.0798782
11-11-2024 01:00;0.073787797;0.111014848
11-11-2024 02:00;0.083133006;0.151600668
11-11-2024 03:00;0.093257652;0.1915139
11-11-2024 04:00;0.10694994;0.240330707
11-11-2024 05:00;0.126612811;0.279481984
11-11-2024 06:00;0.145638207;0.314414292
11-11-2024 07:00;0.156862012;0.353650231
11-11-2024 08:00;0.163985692;0.367464179
11-11-2024 09:00;0.165472562;0.367285449
11-11-2024 10:00;0.162725193;0.376588816
11-11-2024 11:00;0.10001;0.10001
11-11-2024 12:00;0.16263644;0.434539667
11-11-2024 13:00;0.162840696;0.465441143
11-11-2024 14:00;0.162243619;0.501953801
11-11-2024 15:00;0.165295859;0.531039757
11-11-2024 16:00;0.175808179;0.551245654
11-11-2024 17:00;0.10001;0.10001
11-11-2024 18:00;0.10001;0.10001
11-11-2024 19:00;0.188457107;0.599229956
11-11-2024 20:00;0.183082798;0.613387253
11-11-2024 21:00;0.17398666;0.629134307
11-11-2024 22:00;0.165346512;0.646358235
11-11-2024 23:00;0.158332752;0.659805316
