Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;CB_Flow_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Corridor_EUR_per_h;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Corridor_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;1;420.0;150.0;4812.730342381761;-162.71277424453788;86.71021869566124;86.70297123401913;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;1.1792545900184275;-34.88007855022587;-34.88007855022587;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;495.2869278077395;-14649.632991094864;-14649.632991094864;0.0;0.0
FBMC;A→B;A;B;2;419.0;150.0;4812.730342381761;-330.3929578642951;75.09956758704291;75.09236590419398;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;2.379385298058426;-34.65975756325398;-34.65975756325398;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;996.9624398864805;-14522.438419003418;-14522.438419003418;0.0;0.0
FBMC;A→B;A;B;3;419.0;150.0;4812.730342381761;-453.9956740470821;72.09240771424034;72.09045171678248;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;0.8880143843135203;-9.41368831504311;-9.41368831504311;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;372.078027027365;-3944.335404003063;-3944.335404003063;0.0;0.0
FBMC;A→B;A;B;4;416.0;150.0;4812.730342381761;-548.6482544074026;70.5044108855797;70.50200771765414;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;1.3184938874086989;-11.565799193201823;-11.565799193201823;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;548.4934571620188;-4811.372464371958;-4811.372464371958;0.0;0.0
FBMC;A→B;A;B;5;416.0;150.0;4812.730342381761;-785.0360282545562;70.19895460527738;70.19589342193117;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;2.4031392158634852;-14.73264997387282;-14.73264997387282;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;999.7059137992098;-6128.782389131093;-6128.782389131093;0.0;0.0
FBMC;A→B;A;B;6;416.0;150.0;4812.730342381761;-1071.9289420760897;72.13597216932787;72.13228821856791;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;3.948933440788349;-17.729861602317886;-17.729861602317886;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;1642.7563113679532;-7375.62242656424;-7375.62242656424;0.0;0.0
FBMC;A→B;A;B;7;416.0;150.0;4812.730342381761;-1664.7724310011065;86.64578341026025;86.63853503787435;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;12.066890517679791;-34.884461714513876;-34.884461714513876;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;5019.826455354793;-14511.936073237772;-14511.936073237772;0.0;0.0
FBMC;A→B;A;B;8;416.0;150.0;4812.730342381761;-2344.0608741486326;118.55766026109983;118.5495732155394;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;18.956527085660962;-38.92076954890435;-38.92076954890435;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;7885.91526763496;-16191.040132344211;-16191.040132344211;0.0;0.0
FBMC;A→B;A;B;9;416.0;150.0;4812.730342381761;-2683.2616875236263;133.25514490429782;133.24705762502776;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;21.700286621649273;-38.921894330320654;-38.921894330320654;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;9027.319234606097;-16191.508041413392;-16191.508041413392;0.0;0.0
FBMC;A→B;A;B;10;416.0;150.0;4812.730342381761;-2580.8281232148165;109.02107189095997;109.01298459222534;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;20.871928015190154;-38.921988008091965;-38.921988008091965;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;8682.722054319103;-16191.547011366258;-16191.547011366258;0.0;0.0
FBMC;A→B;A;B;11;416.0;150.0;4812.730342381761;-2582.0101628794782;79.82568948897061;79.81844052166291;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;18.716907258870158;-34.887324912715506;-34.887324912715506;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;7786.233419689986;-14513.12716368965;-14513.12716368965;0.0;0.0
FBMC;A→B;A;B;12;2.0;150.0;4812.730342381761;-1368.7667869043141;490.1882462902723;464.7837526609885;2;Cat 2 — Scarcity in both zones;1.5149693177203347e6;1.637234295042833e6;-122264.97732249834;Over-compensated;34772.827117885856;-122264.97732249812;2.1827872842550278e-10;Exactly funded;false;false;0.0;0.0;NaN;-244529.95464499667;69545.65423577171;-244529.95464499624;4.3655745685100555e-10;0.0;0.0
