Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;CB_Flow_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Corridor_EUR_per_h;CR_Alloc_EUR_per_h;CCRS_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Corridor_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
NTC;A→B;A;B;1;420.0;500.0;3442.6672225080833;-157.73221907372286;86.7007464044666;86.6796163175674;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;3.3328954958322803;-72.74385757664217;-72.74385757664217;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;1399.8161082495578;-30552.42018218971;-30552.42018218971;0.0;0.0
NTC;A→B;A;B;2;419.0;500.0;3442.6672225080833;-327.59245664804365;75.15966797931979;75.1385691171627;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;6.9118280865192645;-72.63636118042689;-72.63636118042689;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;2896.055968251572;-30434.635334598865;-30434.635334598865;0.0;0.0
NTC;A→B;A;B;3;419.0;500.0;3442.6672225080833;-453.58987476691425;72.09299979746568;72.08879407418691;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;1.9076734953227896;-14.478905678769884;-14.478905678769884;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;799.3151945402489;-6066.661479404582;-6066.661479404582;0.0;0.0
NTC;A→B;A;B;4;416.0;500.0;3442.6672225080833;-548.0159889182061;70.50485918409031;70.49938836914318;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;2.9980940634404845;-18.8341952988951;-18.8341952988951;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;1247.2071303912414;-7835.0252443403615;-7835.0252443403615;0.0;0.0
NTC;A→B;A;B;5;416.0;500.0;3442.6672225080833;-784.2025693840112;70.20010444277034;70.1924302084425;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;6.018154277944654;-26.419834978290346;-26.419834978290346;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;2503.552179624976;-10990.651350968785;-10990.651350968785;0.0;0.0
NTC;A→B;A;B;6;416.0;500.0;3442.6672225080833;-1070.9683160810237;72.1380402738128;72.12829868495537;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;10.432933014603478;-33.53704865464997;-33.53704865464997;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;4340.100134075046;-13951.412240334388;-13951.412240334388;0.0;0.0
NTC;A→B;A;B;7;416.0;500.0;3442.6672225080833;-1659.7920586559874;86.63631591057167;86.61518388792757;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;35.07476336800918;-72.75052170212818;-72.75052170212818;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;14591.101561091818;-30264.217028085324;-30264.217028085324;0.0;0.0
NTC;A→B;A;B;8;416.0;500.0;3442.6672225080833;-2336.8534300160363;118.51389096658062;118.49058754148385;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;54.456688868509985;-80.22593775282415;-80.22593775282415;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;22653.982569300155;-33373.990105174846;-33373.990105174846;0.0;0.0
NTC;A→B;A;B;9;416.0;500.0;3442.6672225080833;-2676.0543361051687;133.21139078164686;133.1880867811886;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;62.36277147494395;-80.22791853099135;-80.22791853099135;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;25942.91293357668;-33374.8141088924;-33374.8141088924;0.0;0.0
NTC;A→B;A;B;10;416.0;500.0;3442.6672225080833;-2573.6205279277306;108.97732470217373;108.95402044260938;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;59.976320802981036;-80.22881054702661;-80.22881054702661;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;24950.14945404011;-33375.18518756307;-33375.18518756307;0.0;0.0
NTC;A→B;A;B;11;416.0;500.0;3442.6672225080833;-2577.0296909103376;79.81623095829451;79.79509714921535;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;54.462453479025676;-72.75667180356773;-72.75667180356773;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;22656.38064727468;-30266.775470284174;-30266.775470284174;0.0;0.0
NTC;A→B;A;B;12;2.0;500.0;3442.6672225080833;-1201.590768678703;450.68263127414326;450.6593192295479;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;28.011537584790634;-80.25561181803474;-80.25561181803474;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;56.02307516958127;-160.51122363606947;-160.51122363606947;0.0;0.0
NTC;A→B;A;B;13;416.0;500.0;3442.6672225080833;-2913.673719405162;70.20220163848727;70.175605231645;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;77.49325164693926;-91.5625780723839;-91.5625780723839;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;32237.19268512673;-38090.0324781117;-38090.0324781117;0.0;0.0
NTC;A→B;A;B;14;416.0;500.0;3442.6672225080833;-3088.1786069037134;70.32090884379657;70.2944552590658;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;81.69339444149125;-91.07088907047626;-91.07088907047626;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;33984.452087660364;-37885.489853318126;-37885.489853318126;0.0;0.0
NTC;A→B;A;B;15;416.0;500.0;3442.6672225080833;-3098.3578496648984;72.45815176818412;72.43593622782375;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;68.83169386012415;-76.48071262897831;-76.48071262897831;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;28633.984645811644;-31815.976453654977;-31815.976453654977;0.0;0.0
NTC;A→B;A;B;16;416.0;500.0;3442.6672225080833;-2797.276295465791;79.8664753854485;79.84534193394143;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;59.116102942099666;-72.7554408018502;-72.7554408018502;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;24592.29882391346;-30266.263373569684;-30266.263373569684;0.0;0.0
NTC;A→B;A;B;17;416.0;500.0;3442.6672225080833;-2412.490213389279;107.81683745449108;107.79353325103168;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;56.22116277664361;-80.22861739634804;-80.22861739634804;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;23388.00371508374;-33375.10483688078;-33375.10483688078;0.0;0.0
NTC;A→B;A;B;18;2.0;500.0;3442.6672225080833;-529.5766338890489;541.580545359035;503.3858637111568;2;Cat 2 — Scarcity in both zones;11656.402018279048;143147.9806015604;-131491.57858328137;Over-compensated;20227.010939547177;-131491.57858328134;2.9103830456733704e-11;Exactly funded;false;false;0.0;0.0;NaN;-262983.15716656274;40454.021879094355;-262983.1571665627;5.820766091346741e-11;0.0;0.0
NTC;A→B;A;B;19;2.0;500.0;3442.6672225080833;1059.2028508963324;574.8889185315559;523.2066753447496;2;Cat 2 — Scarcity in both zones;79892.86055275577;257817.62515766558;-177924.7646049098;Over-compensated;-54741.9793241828;-177924.7646049098;0.0;Exactly funded;false;false;0.0;0.0;NaN;-355849.5292098196;-109483.9586483656;-355849.5292098196;0.0;0.0;0.0
NTC;A→B;A;B;20;416.0;500.0;3442.6672225080833;-2031.638813881254;125.80861219037695;125.78530787043792;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;47.34596091923912;-80.22901839693837;-80.22901839693837;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;19695.919742403472;-33375.271653126365;-33375.271653126365;0.0;0.0
NTC;A→B;A;B;21;416.0;500.0;3442.6672225080833;-2058.202131668082;98.14218058366367;98.12084153501996;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;43.92007540625408;-73.4632433252081;-73.4632433252081;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;18270.751369001697;-30560.70922328657;-30560.70922328657;0.0;0.0
NTC;A→B;A;B;22;416.0;500.0;3442.6672225080833;-1923.3123132895541;80.22478776616052;80.20365528933776;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;40.64435288351462;-72.75208528811723;-72.75208528811723;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;16908.05079954208;-30264.867479856766;-30264.867479856766;0.0;0.0
