Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;84.13687227047794;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;910.6390930752752;1273.5954958457571;1273.5954958457571;6778.615599875933;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8735.217284920109;-8392.87008;-342.34720492010854;0.0;17629.87;159.90719460097625;-4769.76718520467
2;73.99048718724116;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;593.5255087651832;1273.5954958457571;1273.5954958457571;6751.0466179652485;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.122173082775;-8201.705759999999;-335.41641308277553;0.0;17629.87;181.65817238548243;-4769.76718520467
3;71.85892472444613;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;526.8823188867373;1273.5954958457571;1273.5954958457571;6483.622578148806;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.12471056016;-8226.511199999999;-336.61351056016014;0.0;17629.87;413.6981625914523;-4769.76718520467
4;70.85016520724469;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;495.3564749418573;1273.5954958457571;1273.5954958457571;6357.462855241474;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.566707098258;-8386.32576;-343.24094709825914;0.0;17629.87;599.1180484008887;-4769.76718520467
5;70.81044948501341;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;494.1274749489316;1273.5954958457571;1273.5954958457571;6352.870565230704;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.136235541739;-8826.861120000001;-361.2751155417379;0.0;17629.87;875.924678550718;-4769.76718520467
6;72.81437758874395;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;556.7734366341798;1273.5954958457571;1273.5954958457571;6604.074453203807;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.51130153574;-9670.89264;-395.61866153574005;0.0;17629.87;1171.0688634956105;-4769.76718520467
7;92.0974107044786;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1159.4058822505565;1273.5954958457571;1273.5954958457571;6778.615599875938;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11846.648002897065;-11383.265759999998;-463.38224289706676;0.0;17629.87;1913.3844208608834;-4769.76718520467
8;117.122296541222;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.5954958457482;1273.5954958457571;1273.5954958457571;6778.615599875966;6778.615599875201;6778.615599875201;428.1230250231856;14347.429146188942;14347.429146188942;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.279936900039;-12494.90304;-505.37689690003975;0.0;17629.87;2350.489705368537;-4769.76718520467
9;122.384960899021;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.5954958457482;1273.5954958457571;1273.5954958457571;6778.615599875968;6778.615599875201;6778.615599875201;559.6896304511339;14347.429146188942;14347.429146188942;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13592.739664877321;-13065.01968;-527.7199848773222;0.0;17629.87;2531.6467354139504;-4769.76718520467
10;110.14040626252958;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.595495845744;1273.5954958457571;1273.5954958457571;6778.615599875961;6778.615599875201;6778.615599875201;253.57577168878603;14347.429146188942;14347.429146188942;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13735.95699825326;-13201.0584;-534.8985982532591;0.0;17629.87;2630.0527129863967;-4769.76718520467
