Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;84.11316759660858;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;909.7408523452738;1380.7998893614304;1380.7998893614304;6934.089120316501;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.476455131717;-7790.6903999999995;-317.78605513171743;0.0;15468.46;-159.90719460097762;4769.767185204669
2;73.95447291802057;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;592.262762587848;1380.7998893614304;1380.7998893614304;6742.681637057565;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.331711828216;-7439.099999999999;-304.2317118282166;0.0;15468.46;-181.65817238548289;4769.767185204669
3;71.83867643035144;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;526.1723651326159;1380.7998893614304;1380.7998893614304;6478.919523995068;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.1521582327;-7106.3712;-290.7809582327001;0.0;15468.46;-413.6981625914518;4769.767185204669
4;70.8309603747832;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;494.68310749927537;1380.7998893614304;1380.7998893614304;6353.002166858956;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.464440323082;-6980.7504;-285.71404032308266;0.0;15468.46;-599.1180484008892;4769.767185204669
5;70.78524900969576;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;493.2438864118353;1380.7998893614304;1380.7998893614304;6347.017298032635;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.695310420556;-6956.951999999999;-284.7433104205567;0.0;15468.46;-875.9246785507194;4769.767185204669
6;72.77769235202612;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;555.4871668861273;1380.7998893614304;1380.7998893614304;6595.553727603637;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.420372631802;-7172.0232;-293.39717263180273;0.0;15468.46;-1171.0688634956116;4769.767185204669
7;92.07370295153181;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1158.5075404117188;1380.7998893614304;1380.7998893614304;6934.089120316693;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.325246874624;-7543.2576;-307.0676468746244;0.0;15468.46;-1913.3844208608828;4769.767185204669
8;117.09388986660558;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1380.7998893609647;1380.7998893614304;1380.7998893614304;6934.08912031669;6934.089120316384;6934.089120316384;284.8805728893697;2383.8038052717425;2383.8038052717425;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.474711639116;-7813.4448;-316.0299116391158;0.0;15468.46;-2350.4897053685386;4769.767185204669
9;122.35655350806992;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1380.7998893609174;1380.7998893614304;1380.7998893614304;6934.0891203166875;6934.089120316384;6934.089120316384;372.59163166817933;2383.8038052717425;2383.8038052717425;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8393.799543150486;-8067.9192;-325.880343150485;0.0;15468.46;-2531.6467354139513;4769.767185204669
10;110.11199810292626;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1380.799889358604;1380.7998893614304;1380.7998893614304;6934.089120316693;6934.089120316384;6934.089120316384;168.51570930413212;2383.8038052717425;2383.8038052717425;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.083596544975;-8647.6824;-350.40119654497585;0.0;15468.46;-2630.0527129863995;4769.767185204669
11;88.65042200512258;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1051.5299904489236;1380.7998893614304;1380.7998893614304;6934.089120316691;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9382.270189987335;-9014.971199999998;-367.29898998733654;0.0;15468.46;-2937.1748667563156;4769.767185204669
12;549.9848302759669;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1380.7998893609297;1380.7998893614304;1380.7998893614304;6934.089120316515;6934.089120316384;6934.089120316384;2383.8038052717015;2383.8038052717425;2383.8038052717425;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14320.812129381293;-13824.009599999972;-496.80252938132196;2.7284841053187847e-11;15468.46;2207.5803380595917;4769.767185204669
13;70.72245627506382;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;491.3267586389144;1380.7998893614304;1380.7998893614304;6340.307034205863;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.493523378138;-9144.2208;-374.2727233781387;0.0;15468.46;-2999.9999999985457;4769.767185204669
14;69.72509194528462;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;460.15912330208585;1380.7998893614304;1380.7998893614304;6215.636493112534;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.565695747773;-9082.716;-371.84969574777284;0.0;15468.46;-2999.9999999994043;4769.767185204669
15;71.80212038005438;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;525.0662619489486;1380.7998893614304;1380.7998893614304;6475.265047205989;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.590832373582;-8916.7296;-364.861232373582;0.0;15468.46;-2999.9999999992147;4769.767185204669
16;83.66938015158323;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;896.169413689884;1380.7998893614304;1380.7998893614304;6934.089120316497;6934.089120316384;6934.089120316384;0.0;2383.8038052717425;2383.8038052717425;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.312889161505;-8728.243199999999;-356.06968916150583;0.0;15468.46;-2999.999999998628;4769.767185204669
17;114.38096972167324;59999.7536852532;10698.692814949349;15468.46;10698.692814949349;1380.7998893608867;1380.7998893614304;1380.7998893614304;6934.089120316691;6934.089120316384;6934.089120316384;239.66523828768197;2383.8038052717425;2383.8038052717425;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9231.761018254274;-8872.6392;-359.1218182542745;0.0;15468.46;-2559.917901048262;4769.767185204669
