Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.69422394619966;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;990.4900027669249;1289.8962651008158;1289.8962651008158;6607.216849846984;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.993676988799;-8392.87008;-342.1235969887978;0.0;17629.87;251.23633006051386;0.0
2;75.17380912933875;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;630.4527610211267;1289.8962651008158;1289.8962651008158;6607.216849844688;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.02106017565;-8201.705759999999;-335.3153001756511;0.0;17629.87;288.46156675177224;0.0
3;72.09160330907572;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;534.1214752012263;1289.8962651008158;1289.8962651008158;6511.632257757057;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104763669342;-8226.511199999999;-336.593563669343;0.0;17629.87;378.4300321811562;0.0
4;70.50755785975807;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;484.6278713011323;1289.8962651008158;1289.8962651008158;6313.754966023062;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596625475777;-8386.32576;-343.27086547577676;0.0;17629.87;653.5862460517525;0.0
5;70.20307161350475;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;475.11670054728273;1289.8962651008158;1289.8962651008158;6275.76730659693;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192067123144;-8826.861120000001;-361.33094712314175;0.0;17629.87;972.0967279898684;0.0
6;72.13902989495097;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;535.61635101963;1289.8962651008158;1289.8962651008158;6517.788091974384;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579315441228;-9670.89264;-395.6866754412285;0.0;17629.87;1278.5823221529683;0.0
7;86.62979677619627;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;988.476646785409;1289.8962651008158;1289.8962651008158;6607.2168498430665;6607.216849852907;6607.216849852907;0.0;9732.729459159207;9732.729459159207;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.296289048165;-11383.265759999998;-464.0305290481661;0.0;17629.87;2256.3655950339516;0.0
8;118.48133018049359;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;1289.8962650986614;1289.8962651008158;1289.8962651008158;6607.216849843067;6607.216849852907;6607.216849852907;462.06102085146625;9732.729459159207;9732.729459159207;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.103009906656;-12494.90304;-505.19996990665715;0.0;17629.87;2471.477290608199;0.0
9;133.17883884299928;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;1289.8962650986603;1289.8962651008158;1289.8962651008158;6607.216849843068;6607.216849852907;6607.216849852907;829.4987360409964;9732.729459159207;9732.729459159207;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.270639843353;-13065.01968;-526.2509598433538;0.0;17629.87;2415.4711126336783;0.0
10;108.94477651295935;59940.79365704624;17629.842574095317;17629.87;17629.842574095317;1289.8962650986612;1289.8962651008158;1289.8962651008158;6607.216849843067;6607.216849852907;6607.216849852907;223.6471783219823;9732.729459159207;9732.729459159207;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.121366586805;-13201.0584;-535.0629665868062;0.0;17629.87;2815.2481824994356;0.0
