Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.71021869566124;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;990.9795789481797;1298.2102504247878;1298.2102504247878;6623.940742694981;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.992289636524;-8392.87008;-342.12220963652373;0.0;16748.4;234.01625487573287;-4812.730342381761
2;75.09956758704291;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;628.1426644881724;1298.2102504247878;1298.2102504247878;6623.940742633748;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.027405514407;-8201.705759999999;-335.32164551440826;0.0;16748.4;274.0520674134662;-4812.730342381761
3;72.09240771424034;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;534.1462100377256;1298.2102504247878;1298.2102504247878;6511.7561150554175;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104696352233;-8226.511199999999;-336.59349635223344;0.0;16748.4;378.28045487054914;-4812.730342381761
4;70.5044108855797;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;484.52636791566823;1298.2102504247878;1298.2102504247878;6313.364760960795;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596904112499;-8386.32576;-343.27114411249886;0.0;16748.4;654.076371679162;-4812.730342381761
5;70.19895460527738;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;474.9841987085339;1298.2102504247878;1298.2102504247878;6275.261376852263;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192450532431;-8826.861120000001;-361.33133053242943;0.0;16748.4;972.7332312539108;-4812.730342381761
6;72.13597216932787;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;535.5175695083043;1298.2102504247878;1298.2102504247878;6517.43179663344;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579628827629;-9670.89264;-395.6869888276288;0.0;16748.4;1279.0353339343249;-4812.730342381761
7;86.64578341026025;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;988.9659723551114;1298.2102504247878;1298.2102504247878;6623.940742694947;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.294408372898;-11383.265759999998;-464.0286483728991;0.0;16748.4;2239.14527829208;-4812.730342381761
8;118.55766026109983;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.210250436822;1298.2102504247878;1298.2102504247878;6623.94074269495;6623.940742694726;6623.940742694726;463.96302412714687;13638.906006625031;13638.906006625031;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.093089437909;-12494.90304;-505.1900494379102;0.0;16748.4;2444.522718967967;-4812.730342381761
9;133.25514490429782;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504368158;1298.2102504247878;1298.2102504247878;6623.940742694949;6623.940742694726;6623.940742694726;831.4001411657185;13638.906006625031;13638.906006625031;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.26026999672;-13065.01968;-526.2405899967196;0.0;16748.4;2388.5166900165036;-4812.730342381761
10;109.02107189095997;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504368208;1298.2102504247878;1298.2102504247878;6623.94074269495;6623.940742694726;6623.940742694726;225.54831520123437;13638.906006625031;13638.906006625031;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.110890236121;-13201.0584;-535.0524902361212;0.0;16748.4;2788.2939214741955;-4812.730342381761
11;79.82568948897061;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;775.8380362410422;1298.2102504247878;1298.2102504247878;6623.940742694896;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.341082244111;-13354.988159999999;-545.3529222441124;0.0;16748.4;3369.67073631401;-4812.730342381761
12;490.1882462902723;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504330235;1298.2102504247878;1298.2102504247878;6623.940742694867;6623.940742694726;6623.940742694726;9754.565050513056;13638.906006625031;13638.906006625031;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18906.87436958003;-18240.009599999998;-666.8647695800328;0.0;16748.4;-139.98717953305035;-4812.730342381761
13;70.19371728579685;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;474.841684965954;1298.2102504247878;1298.2102504247878;6275.132212110614;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13871.91093867935;-13326.3888;-545.5221386793498;0.0;16748.4;3607.838355116571;-4812.730342381761
14;70.31202148676249;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;478.5360650015666;1298.2102504247878;1298.2102504247878;6289.865970625425;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2230.9175352;0.0;13700.0;1161.147561321;0.0;15403.0;-13778.010075501987;-13236.19632;-541.8137555019871;0.0;16748.4;3617.544051010444;-4812.730342381761
15;72.45016142811782;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;545.3439707233865;1298.2102504247878;1298.2102504247878;6556.93076640778;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2222.7375803;0.0;13700.0;824.351508879;0.0;15403.0;-13482.335936000669;-12952.42656;-529.9093760006697;0.0;16748.4;3332.972932159238;-4812.730342381761
16;79.87593441062182;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;777.4081927916078;1298.2102504247878;1298.2102504247878;6623.940742694932;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2264.5532682999997;0.0;13700.0;374.735782459;0.0;15403.0;-13421.639260441987;-12895.07376;-526.5655004419885;0.0;16748.4;3381.0022958738596;-4812.730342381761
17;107.86057837421768;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504368067;1298.2102504247878;1298.2102504247878;6623.940742694939;6623.940742694726;6623.940742694726;196.53598145467564;13638.906006625031;13638.906006625031;2408.5720523;0.0;13700.0;54.526096298;0.0;15403.0;-13436.4067551004;-12912.8784;-523.5283551003993;0.0;16748.4;2854.6226954274307;-4812.730342381761
18;587.1917461865918;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504361205;1298.2102504247878;1298.2102504247878;6623.940742694907;6623.940742694726;6623.940742694726;12179.58947232349;13638.906006625031;13638.906006625031;1370.137;0.0;13700.0;0.0;0.0;15403.0;-16999.6002746619;-16416.009599999998;-583.5906746619027;0.0;16748.4;-4472.287281008184;-4812.730342381761
19;628.3007151089826;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504350783;1298.2102504247878;1298.2102504247878;6623.940742694999;6623.940742694726;6623.940742694726;13207.377437207862;13638.906006625031;13638.906006625031;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17986.28768484695;-17376.009599999998;-610.2780848469531;0.0;16748.4;-4513.386242698422;-4812.730342381761
20;125.85234802035112;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504357656;1298.2102504247878;1298.2102504247878;6623.940742695011;6623.940742694726;6623.940742694726;646.3302228627193;13638.906006625031;13638.906006625031;2581.8623659;0.0;13700.0;0.0;0.0;15403.0;-13360.281574032924;-12842.03232;-518.2492540329238;0.0;16748.4;2209.9390557018237;-4812.730342381761
21;98.0874752840987;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;1298.2102504117993;1298.2102504247878;1298.2102504247878;6623.94074269501;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2508.2343326;0.0;13700.0;0.0;0.0;15403.0;-12695.815258921264;-12199.94928;-495.86597892126287;0.0;16748.4;2265.431057471492;-4812.730342381761
22;80.23424975991477;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;788.6055489672989;1298.2102504247878;1298.2102504247878;6623.940742695004;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2383.617242;0.0;13700.0;0.0;0.0;15403.0;-11930.123260298715;-11462.11488;-468.00838029871596;0.0;16748.4;2133.9607481523944;-4812.730342381761
23;72.73778201685201;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;554.3267426366625;1298.2102504247878;1298.2102504247878;6592.7341610690755;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2265.2472144;0.0;13700.0;0.0;0.0;15403.0;-11226.944320286973;-10785.71184;-441.23248028697276;0.0;16748.4;1814.6368620252915;-4812.730342381761
24;69.38594977173456;59999.981309345625;21561.05699975595;16748.4;21561.05699975595;449.580873867946;1298.2102504247878;1298.2102504247878;6173.724900447357;6623.940742694726;6623.940742694726;0.0;13638.906006625031;13638.906006625031;2169.1587024;0.0;13700.0;0.0;0.0;15403.0;-10447.274021907879;-10036.34688;-410.92714190787876;0.0;16748.4;1654.8101713017309;-4812.730342381761
