Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.70297123401913;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;990.720473806554;1428.3584745068183;1428.3584745068183;6855.706021412674;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.266291403009;-7790.6903999999995;-317.57589140300894;0.0;14695.0;-162.71277424453788;407.69106266861854
2;75.09236590419398;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;627.8864365129974;1428.3584745068183;1428.3584745068183;6855.7060214044695;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.243546048571;-7439.099999999999;-304.143546048572;0.0;14695.0;-330.3929578642951;407.69106266861854
3;72.09045171678248;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;534.0763169451176;1428.3584745068183;1428.3584745068183;6511.29532274523;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133525973288;-7106.3712;-290.7623259732884;0.0;14695.0;-453.9956740470821;407.69106266861854
4;70.50200771765414;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;484.4403714542738;1428.3584745068183;1428.3584745068183;6312.800059728778;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488364790551;-6980.7504;-285.7379647905508;0.0;14695.0;-548.6482544074026;407.69106266861854
5;70.19589342193117;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;474.87467023622986;1428.3584745068183;1428.3584745068183;6274.541894932427;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738025712665;-6956.951999999999;-284.7860257126655;0.0;14695.0;-785.0360282545562;407.69106266861854
6;72.13228821856791;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;535.3858333027547;1428.3584745068183;1428.3584745068183;6516.56510540837;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468599043346;-7172.0232;-293.4453990433469;0.0;14695.0;-1071.9289420760897;407.69106266861854
7;86.63853503787435;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;988.7068359336973;1428.3584745068183;1428.3584745068183;6855.706021410218;6855.706021405536;6855.706021405536;0.0;6003.244441404325;6003.244441404325;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.7523249231745;-7543.2576;-307.4947249231746;0.0;14695.0;-1664.7724310011065;407.69106266861854
8;118.5495732155394;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;1428.3584745067608;1428.3584745068183;1428.3584745068183;6855.706021410218;6855.706021405536;6855.706021405536;309.15940318737364;6003.244441404325;6003.244441404325;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.356244385252;-7813.4448;-315.91144438525134;0.0;14695.0;-2344.0608741486326;407.69106266861854
9;133.24705762502776;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;1428.358474506761;1428.3584745068183;1428.3584745068183;6855.706021410218;6855.706021405536;6855.706021405536;554.1174770775758;6003.244441404325;6003.244441404325;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.884307427663;-8067.9192;-324.965107427663;0.0;14695.0;-2683.2616875236263;407.69106266861854
10;109.01298459222534;68779.08151242952;14287.308937320733;14695.0;14287.308937320733;1428.358474506761;1428.3584745068183;1428.3584745068183;6855.706021410218;6855.706021405536;6855.706021405536;150.2162595259828;6003.244441404325;6003.244441404325;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.182607708037;-8647.6824;-350.50020770803775;0.0;14695.0;-2580.8281232148165;407.69106266861854
