Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.69519605991772;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;990.4445795638574;1568.7288044248867;1568.7288044248867;7106.953797946824;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.55743966896;-8430.884307839999;-343.67313182896277;0.0;16311.4;-71.3034806311945;4405.03927971315
2;75.0848700084737;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;627.6199185065701;1568.7288044248867;1568.7288044248867;6884.785247220875;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.285591256563;-8151.99507648;-333.29051477656355;0.0;16311.4;56.340890450827835;4405.03927971315
3;72.08883085029768;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;534.0185863046321;1568.7288044248867;1568.7288044248867;6510.913030505964;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493207499481;-7968.45784608;-326.0353614194818;0.0;16311.4;75.71521917653243;4405.03927971315
4;70.49803236376619;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;484.29879808683256;1568.7288044248867;1568.7288044248867;6311.861247524216;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578525312005;-7872.345230399999;-322.23329491200565;0.0;16311.4;-105.42811727175797;4405.03927971315
5;70.19106089316712;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;474.7025695039991;1568.7288044248867;1568.7288044248867;6273.4007264180045;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906636117477;-8034.029538240001;-328.8770978774766;0.0;16311.4;-187.69720299935625;4405.03927971315
6;72.12765346896798;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;535.2207707819307;1568.7288044248867;1568.7288044248867;6515.471024332005;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893645666129;-8531.811692160001;-349.08195350612743;0.0;16311.4;-207.10639185823462;4405.03927971315
7;86.63075943255191;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;988.4309236136197;1568.7288044248867;1568.7288044248867;7106.953797948629;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.628265165951;-9407.152615680001;-383.4756494859506;0.0;16311.4;-574.372847290973;4405.03927971315
8;118.54130168362097;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044241398;1568.7288044248867;1568.7288044248867;7106.9537979486295;7106.953797948434;7106.953797948434;231.7604977571902;3230.6781179115756;3230.6781179115756;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.405406391397;-10838.1969216;-438.2084847913971;0.0;16311.4;-100.46184481933592;4405.03927971315
9;133.23878585937385;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.728804420805;1568.7288044248867;1568.7288044248867;7106.9537979486295;7106.953797948434;7106.953797948434;415.4790499038457;3230.6781179115756;3230.6781179115756;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.63722499186;-11595.5815392;-467.0556857918602;0.0;16311.4;294.7449975071209;4405.03927971315
10;109.00471283614901;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044230424;1568.7288044248867;1568.7288044248867;7106.9537979486295;7106.953797948434;7106.953797948434;112.55313710712598;3230.6781179115756;3230.6781179115756;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.452077328431;-11516.667696;-466.78438132842996;0.0;16311.4;-207.46579825937854;4405.03927971315
