Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;84.68;35005.2;14709.96;6980.94;6980.94;6980.94;927.57;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;343.75;0.0;5315.0;8108.43;7790.69;317.74;13593.37;-143.83;-1116.59;0.0
2.0;74.87;35005.2;14709.96;6859.3;6980.94;6980.94;621.07;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;392.18;0.0;5315.0;7743.26;7439.1;304.16;13593.37;-129.29;-1116.59;0.0
3.0;72.69;35005.2;14709.96;6585.81;6980.94;6980.94;552.7;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;441.85;0.0;5315.0;7397.09;7106.37;290.72;13593.37;-183.27;-1116.59;0.0
4.0;71.43;35005.2;14709.96;6429.02;6980.94;6980.94;513.51;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;495.66;0.0;5315.0;7266.42;6980.75;285.67;13593.37;-171.77;-1116.59;0.0
5.0;71.3;35005.2;14709.96;6412.11;6980.94;6980.94;509.28;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;568.44;0.0;5315.0;7241.66;6956.95;284.71;13593.37;-248.17;-1116.59;0.0
6.0;73.26;35005.2;14709.96;6657.77;6980.94;6980.94;570.69;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;672.95;0.0;5315.0;7465.38;7172.02;293.36;13593.37;-436.03;-1116.59;0.0
7.0;88.77;35005.2;14709.96;6980.94;6980.94;6980.94;1055.43;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;774.07;0.0;5315.0;7850.58;7543.26;307.33;13593.37;-959.85;-1116.59;0.0
8.0;115.88;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;11.67;0.0;8788.0;323.48;6214.97;6214.97;833.72;0.0;5315.0;8129.57;7813.44;316.13;13593.37;-1534.29;-1116.59;0.0
9.0;129.25;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;115.59;0.0;8788.0;490.62;6214.97;6214.97;871.58;0.0;5315.0;8393.22;8067.92;325.3;13593.37;-1579.56;-1116.59;0.0
10.0;97.11;35005.2;14709.96;6980.94;6980.94;6980.94;1315.88;1514.05;1514.05;304.18;0.0;8788.0;88.85;6214.97;6214.97;879.49;0.0;5315.0;8999.25;8647.68;351.57;13593.37;-570.09;-1116.59;0.0
11.0;74.44;35005.2;14709.96;6805.46;6980.94;6980.94;607.61;1514.05;1514.05;514.37;0.0;8788.0;0.0;6214.97;6214.97;864.88;0.0;5315.0;9383.6;9014.97;368.63;13593.37;591.28;-1116.59;0.0
12.0;360.23;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;3377.9;6214.97;6214.97;531.55;0.0;5315.0;11956.78;11520.01;436.77;13593.37;-447.66;-1116.59;0.0
13.0;67.22;35005.2;14709.96;5902.82;6980.94;6980.94;381.96;1514.05;1514.05;733.7;0.0;8788.0;0.0;6214.97;6214.97;864.41;0.0;5315.0;9518.83;9144.22;374.61;13593.37;1635.94;-1116.59;0.0
14.0;67.37;35005.2;14709.96;5921.05;6980.94;6980.94;386.51;1514.05;1514.05;662.48;0.0;8788.0;0.0;6214.97;6214.97;865.5;0.0;5315.0;9454.79;9082.72;372.07;13593.37;1619.25;-1116.59;0.0
15.0;70.52;35005.2;14709.96;6314.81;6980.94;6980.94;484.95;1514.05;1514.05;470.32;0.0;8788.0;0.0;6214.97;6214.97;862.32;0.0;5315.0;9281.71;8916.73;364.98;13593.37;1149.3;-1116.59;0.0
16.0;80.8;35005.2;14709.96;6980.94;6980.94;6980.94;806.35;1514.05;1514.05;213.8;0.0;8788.0;0.0;6214.97;6214.97;878.55;0.0;5315.0;9084.57;8728.24;356.33;13593.37;204.93;-1116.59;0.0
17.0;121.31;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;31.11;0.0;8788.0;391.36;6214.97;6214.97;934.42;0.0;5315.0;9231.12;8872.64;358.48;13593.37;-620.76;-1116.59;0.0
18.0;531.18;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;5514.75;6214.97;6214.97;531.55;0.0;5315.0;12930.96;12480.01;450.95;13593.37;-1610.33;-1116.59;0.0
19.0;531.18;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;5514.75;6214.97;6214.97;531.55;0.0;5315.0;15915.02;15360.01;555.01;13593.37;1373.73;-1116.59;0.0
20.0;135.49;35005.2;14709.96;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;568.67;6214.97;6214.97;1001.65;0.0;5315.0;9859.91;9478.36;381.55;13593.37;-205.4;-1116.59;0.0
21.0;99.4;35005.2;14709.96;6980.94;6980.94;6980.94;1387.62;1514.05;1514.05;0.0;0.0;8788.0;117.55;6214.97;6214.97;973.09;0.0;5315.0;9400.82;9033.76;367.05;13593.37;-58.38;-1116.59;0.0
22.0;85.53;35005.2;14709.96;6980.94;6980.94;6980.94;954.09;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;924.74;0.0;5315.0;9059.13;8704.21;354.92;13593.37;199.36;-1116.59;0.0
23.0;74.39;35005.2;14709.96;6798.31;6980.94;6980.94;605.83;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;878.82;0.0;5315.0;8833.02;8486.01;347.01;13593.37;550.07;-1116.59;0.0
24.0;70.69;35005.2;14709.96;6336.01;6980.94;6980.94;490.25;1514.05;1514.05;0.0;0.0;8788.0;0.0;6214.97;6214.97;841.54;0.0;5315.0;8598.65;8260.55;338.11;13593.37;930.85;-1116.59;0.0
