Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.7007464044666;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;990.7098636251687;1293.9292493544256;1293.9292493544256;6616.3871351445;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.993106515238;-8392.87008;-342.12302651523737;0.0;16748.4;241.8427805594195;-3442.6672225080833
2;75.15966797931979;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;630.0485185532189;1293.9292493544256;1293.9292493544256;6616.387135142515;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.022259293375;-8201.705759999999;-335.3164992933758;0.0;16748.4;279.69714060436064;-3442.6672225080833
3;72.09299979746568;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;534.1676506720752;1293.9292493544256;1293.9292493544256;6511.944051907161;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104643858573;-8226.511199999999;-336.5934438585745;0.0;16748.4;378.0714288177701;-3442.6672225080833
4;70.50485918409031;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;484.54294512396035;1293.9292493544256;1293.9292493544256;6313.555438932115;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596862752063;-8386.32576;-343.2711027520643;0.0;16748.4;653.8695902978689;-3442.6672225080833
5;70.20010444277034;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;475.02606613180956;1293.9292493544256;1293.9292493544256;6275.647443837053;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.19234106469;-8826.861120000001;-361.3312210646886;0.0;16748.4;972.3059899779643;-3442.6672225080833
6;72.1380402738128;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;535.5923689724881;1293.9292493544256;1293.9292493544256;6518.051586918698;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579414716272;-9670.89264;-395.6867747162717;0.0;16748.4;1278.3416249631518;-3442.6672225080833
7;86.63631591057167;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;988.6963963443072;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.295515671367;-11383.265759999998;-464.0297556713689;0.0;16748.4;2246.9719471810013;-3442.6672225080833
8;118.51389096658062;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493543728;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;462.8906785913706;12280.656708192058;12280.656708192058;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.098774257147;-12494.90304;-505.19573425714793;0.0;16748.4;2457.4375627526706;-3442.6672225080833
9;133.21139078164686;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493543815;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;830.3281748888048;12280.656708192058;12280.656708192058;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.266212109884;-13065.01968;-526.2465321098845;0.0;16748.4;2401.4314107772643;-3442.6672225080833
10;108.97732470217373;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493543549;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;224.47652518716973;12280.656708192058;12280.656708192058;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.116893259332;-13201.0584;-535.0584932593326;0.0;16748.4;2801.2085268379187;-3442.6672225080833
11;79.81623095829451;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;775.5687538757154;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.342380034484;-13354.988159999999;-545.354220034485;0.0;16748.4;3377.4972982799945;-3442.6672225080833
12;450.68263127414326;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493540847;1293.9292493544256;1293.9292493544256;6616.387135144304;6616.387135145248;6616.387135145248;8767.109199757382;12280.656708192058;12280.656708192058;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18914.38022241204;-18240.009599999998;-674.3706224120442;0.0;16748.4;866.8208957961641;-3442.6672225080833
13;70.20220163848727;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;475.1471429470081;1293.9292493544256;1293.9292493544256;6277.45643192953;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13871.90973506093;-13326.3888;-545.5209350609296;0.0;16748.4;3605.2108624444572;-3442.6672225080833
14;70.32090884379657;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;478.85581121424474;1293.9292493544256;1293.9292493544256;6292.269692185029;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2230.9175352;0.0;13700.0;1161.147561321;0.0;15403.0;-13778.00882408587;-13236.19632;-541.8125040858711;0.0;16748.4;3614.822751570255;-3442.6672225080833
15;72.45815176818412;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;545.6311289615049;1293.9292493544256;1293.9292493544256;6559.050163496482;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2222.7375803;0.0;13700.0;824.351508879;0.0;15403.0;-13482.334836032962;-12952.42656;-529.9082760329622;0.0;16748.4;3330.5681921305613;-3442.6672225080833
16;79.8664753854485;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;777.1388968118341;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2264.5532682999997;0.0;13700.0;374.735782459;0.0;15403.0;-13421.640513617722;-12895.07376;-526.5667536177219;0.0;16748.4;3388.8288281129826;-3442.6672225080833
17;107.81683745449108;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493543508;1293.9292493544256;1293.9292493544256;6616.387135144335;6616.387135145248;6616.387135145248;195.46435462432046;12280.656708192058;12280.656708192058;2408.5720523;0.0;13700.0;54.526096298;0.0;15403.0;-13436.412626243173;-12912.8784;-523.534226243174;0.0;16748.4;2867.537007071327;-3442.6672225080833
18;541.580545359035;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493541564;1293.9292493544256;1293.9292493544256;6616.387135144304;6616.387135145248;6616.387135145248;11039.42605189869;12280.656708192058;12280.656708192058;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17007.39963681865;-16416.009599999998;-591.3900368186536;0.0;16748.4;-3312.4650216282116;-3442.6672225080833
19;574.8889185315559;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493541634;1293.9292493544256;1293.9292493544256;6616.387135144736;6616.387135145248;6616.387135145248;11872.135000566732;12280.656708192058;12280.656708192058;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17995.955009360434;-17376.009599999998;-619.9454093604363;0.0;16748.4;-3156.618628180237;-3442.6672225080833
20;125.80861219037695;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292493543687;1293.9292493544256;1293.9292493544256;6616.387135144767;6616.387135145248;6616.387135145248;645.2587278857474;12280.656708192058;12280.656708192058;2581.8623659;0.0;13700.0;0.0;0.0;15403.0;-13360.287412283946;-12842.03232;-518.2550922839449;0.0;16748.4;2222.8532031071973;-3442.6672225080833
21;98.14218058366367;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;1293.9292487069797;1293.9292493544256;1293.9292493544256;6616.387135144767;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2508.2343326;0.0;13700.0;0.0;0.0;15403.0;-12695.808301098803;-12199.94928;-495.8590210988021;0.0;16748.4;2277.2597175615506;-3442.6672225080833
22;80.22478776616052;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;788.3361627874846;1293.9292493544256;1293.9292493544256;6616.387135144766;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2383.617242;0.0;13700.0;0.0;0.0;15403.0;-11930.124374603409;-11462.11488;-468.00949460341;0.0;16748.4;2141.7872352969534;-3442.6672225080833
23;72.74217196269416;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;554.4847882600217;1293.9292493544256;1293.9292493544256;6593.939276204681;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2265.2472144;0.0;13700.0;0.0;0.0;15403.0;-11226.9438161122;-10785.71184;-441.23197611220036;0.0;16748.4;1813.27499212536;-3442.6672225080833
24;69.38978465180833;60000.00109047989;20190.97309269118;16748.4;20190.97309269118;449.71901425317725;1293.9292493544256;1293.9292493544256;6174.788269137453;6616.387135145248;6616.387135145248;0.0;12280.656708192058;12280.656708192058;2169.1587024;0.0;13700.0;0.0;0.0;15403.0;-10447.27361187504;-10036.34688;-410.9267318750408;0.0;16748.4;1653.609866876029;-3442.6672225080833
