Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.6796163175674;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;989.9569071568799;1426.3626152303366;1426.3626152303366;6851.489472697154;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.268191068151;-7790.6903999999995;-317.5777910681519;0.0;14695.0;-157.73221907372286;369.4591209316147
2;75.1385691171627;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;629.297585970917;1426.3626152303366;1426.3626152303366;6851.489472691524;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.239969304643;-7439.099999999999;-304.1399693046431;0.0;14695.0;-327.59245664804365;369.4591209316147
3;72.08879407418691;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;534.0175232886771;1426.3626152303366;1426.3626152303366;6510.948135297386;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.1336495109645;-7106.3712;-290.7624495109644;0.0;14695.0;-453.58987476691425;369.4591209316147
4;70.49938836914318;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;484.34771562561883;1426.3626152303366;1426.3626152303366;6312.260167608949;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488556609237;-6980.7504;-285.7381566092376;0.0;14695.0;-548.0159889182061;369.4591209316147
5;70.1924302084425;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;474.7522177526149;1426.3626152303366;1426.3626152303366;6273.830546713329;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738278340064;-6956.951999999999;-284.78627834006494;0.0;14695.0;-784.2025693840112;369.4591209316147
6;72.12829868495537;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;535.2447369454907;1426.3626152303366;1426.3626152303366;6515.745222516846;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468898903664;-7172.0232;-293.44569890366444;0.0;14695.0;-1070.9683160810237;369.4591209316147
7;86.61518388792757;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;987.943392451177;1426.3626152303366;1426.3626152303366;6851.489472698473;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.75416395589;-7543.2576;-307.4965639558908;0.0;14695.0;-1659.7920586559874;369.4591209316147
8;118.49058754148385;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;1426.3626152302525;1426.3626152303366;1426.3626152303366;6851.489472698473;6851.489472699696;6851.489472699696;308.16704011573574;6047.688791141771;6047.688791141771;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.361054322837;-7813.4448;-315.91625432283627;0.0;14695.0;-2336.8534300160363;369.4591209316147
9;133.1880867811886;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;1426.3626152302286;1426.3626152303366;1426.3626152303366;6851.489472698473;6851.489472699696;6851.489472699696;553.125361896244;6047.688791141771;6047.688791141771;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.889272777165;-8067.9192;-324.9700727771643;0.0;14695.0;-2676.0543361051687;369.4591209316147
10;108.95402044260938;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;1426.3626152302681;1426.3626152303366;1426.3626152303366;6851.489472698473;6851.489472699696;6851.489472699696;149.22425525457984;6047.688791141771;6047.688791141771;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.187929278565;-8647.6824;-350.5055292785649;0.0;14695.0;-2573.6205279277306;369.4591209316147
11;79.79509714921535;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;774.8156911550117;1426.3626152303366;1426.3626152303366;6851.489472698473;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.101770410345;-9014.971199999998;-368.13057041034773;0.0;14695.0;-2577.0296909103376;369.4591209316147
12;450.6593192295479;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;1426.3626152256093;1426.3626152303366;1426.3626152303366;6851.489472698384;6851.489472699696;6851.489472699696;5844.31256749765;6047.688791141771;6047.688791141771;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14335.115029392688;-13824.0096;-511.1054293926877;0.0;14695.0;-1201.590768678703;369.4591209316147
13;70.175605231645;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;474.19807921568577;1426.3626152303366;1426.3626152303366;6271.160148544583;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.54561675151;-9144.2208;-374.32481675150984;0.0;14695.0;-2913.673719405162;369.4591209316147
14;70.2944552590658;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;477.9118203090301;1426.3626152303366;1426.3626152303366;6286.007117712908;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.51183206772;-9082.716;-371.79583206771815;0.0;14695.0;-3088.1786069037134;369.4591209316147
15;72.43593622782375;69798.23533940202;14325.540879068385;14695.0;14325.540879068385;544.8383195877742;1426.3626152303366;1426.3626152303366;6553.790667007513;6851.489472699696;6851.489472699696;0.0;6047.688791141771;6047.688791141771;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531966242002;-8916.7296;-364.80236624200217;0.0;14695.0;-3098.3578496648984;369.4591209316147
