Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.6788994344073;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;989.9310574963993;1576.1762588226281;1576.1762588226281;7120.275507048378;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.558869469849;-8430.884307839999;-343.67456162985;0.0;16311.4;-84.11056148569654;3073.208101576469
2;75.1379848310951;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;629.2775330413442;1576.1762588226281;1576.1762588226281;6891.568610097197;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.281078805505;-8151.99507648;-333.2860023255059;0.0;16311.4;47.89531604368299;3073.208101576469
3;72.0893883060383;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;534.038783204034;1576.1762588226281;1576.1762588226281;6511.089707249298;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493160126663;-7968.45784608;-326.03531404666325;0.0;16311.4;75.51844594914357;3073.208101576469
4;70.4993029551524;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;484.3445960858507;1576.1762588226281;1576.1762588226281;6312.24102689189;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.57841938491;-7872.345230399999;-322.2331889849108;0.0;16311.4;-105.8536013796616;3073.208101576469
5;70.19215658730513;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;474.7423272463782;1576.1762588226281;1576.1762588226281;6273.767269643448;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906542476932;-8034.029538240001;-328.8770042369317;0.0;16311.4;-188.10342059395248;3073.208101576469
6;72.12817766067178;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;535.2402946307268;1576.1762588226281;1576.1762588226281;6515.718495682356;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893597134262;-8531.811692160001;-349.08190497426;0.0;16311.4;-207.37330888212784;3073.208101576469
7;86.61446665070052;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;987.9175245217139;1576.1762588226281;1576.1762588226281;7120.2755070496105;7120.27550704876;7120.27550704876;0.0;4541.740132552256;4541.740132552256;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.629860165605;-9407.152615680001;-383.47724448560393;0.0;16311.4;-587.1798885250146;3073.208101576469
8;118.48995633076261;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;1576.1762588226627;1576.1762588226281;1576.1762588226281;7120.275507049611;7120.27550704876;7120.27550704876;231.11852770908592;4541.740132552256;4541.740132552256;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.41120719075;-10838.1969216;-438.2142855907496;0.0;16311.4;-120.58413273663635;3073.208101576469
9;133.18745545435087;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;1576.1762588226297;1576.1762588226281;1576.1762588226281;7120.275507049611;7120.27550704876;7120.27550704876;414.83726588214955;4541.740132552256;4541.740132552256;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.643429349677;-11595.5815392;-467.06189014967606;0.0;16311.4;274.622925327904;3073.208101576469
10;108.95338922430312;79819.0984491612;13238.19189842353;16311.4;13238.19189842353;1576.1762588226072;1576.1762588226281;1576.1762588226281;7120.275507049611;7120.27550704876;7120.27550704876;111.91143914330989;4541.740132552256;4541.740132552256;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.458238645673;-11516.667696;-466.7905426456732;0.0;16311.4;-227.58799891018916;3073.208101576469
