Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;84.68;70000.0;17323.02;6980.94;6980.94;6980.94;927.57;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;662.99;0.0;8300.0;8774.73;8430.88;343.85;17169.92;203.23;-153.1;0.0
2.0;74.87;70000.0;17323.02;6859.3;6980.94;6980.94;621.07;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;921.42;0.0;8300.0;8485.3;8152.0;333.31;17169.92;83.51;-153.1;0.0
3.0;72.69;70000.0;17323.02;6585.81;6980.94;6980.94;552.7;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;1258.29;0.0;8300.0;8294.44;7968.46;325.99;17169.92;-102.35;-153.1;0.0
4.0;71.43;70000.0;17323.02;6429.02;6980.94;6980.94;513.51;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;1589.57;0.0;8300.0;8194.5;7872.35;322.16;17169.92;-337.59;-153.1;0.0
5.0;71.3;70000.0;17323.02;6412.11;6980.94;6980.94;509.28;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;1994.74;0.0;8300.0;8362.81;8034.03;328.78;17169.92;-553.32;-153.1;0.0
6.0;73.26;70000.0;17323.02;6657.77;6980.94;6980.94;570.69;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;2319.7;0.0;8300.0;8880.79;8531.81;348.98;17169.92;-667.37;-153.1;0.0
7.0;88.77;70000.0;17323.02;6980.94;6980.94;6980.94;1055.43;1514.05;1514.05;0.0;0.0;18662.0;0.0;8828.03;8828.03;2609.64;0.0;8300.0;9790.42;9407.15;383.27;17169.92;-855.59;-153.1;0.0
8.0;115.88;70000.0;17323.02;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;1.15;0.0;18662.0;323.48;8828.03;8828.03;2935.3;0.0;8300.0;11276.71;10838.2;438.51;17169.92;-478.22;-153.1;0.0
9.0;129.25;70000.0;17323.02;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;604.99;0.0;18662.0;490.62;8828.03;8828.03;3049.95;0.0;8300.0;12063.12;11595.58;467.54;17169.92;-577.44;-153.1;0.0
10.0;97.11;70000.0;17323.02;6980.94;6980.94;6980.94;1315.88;1514.05;1514.05;2532.6;0.0;18662.0;88.85;8828.03;8828.03;3048.47;0.0;8300.0;11984.88;11516.67;468.21;17169.92;-1981.86;-153.1;0.0
11.0;74.44;70000.0;17323.02;6805.46;6980.94;6980.94;607.61;1514.05;1514.05;4952.73;0.0;18662.0;0.0;8828.03;8828.03;3125.69;0.0;8300.0;11543.08;11089.61;453.47;17169.92;-3948.41;-153.1;0.0
12.0;360.23;70000.0;17323.02;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;6487.49;0.0;18662.0;3377.89;8828.03;8828.03;830.08;0.0;8300.0;13949.58;13440.01;509.57;17169.92;-5240.88;-153.1;0.0
13.0;67.22;70000.0;17323.02;5902.82;6980.94;6980.94;381.96;1514.05;1514.05;7171.92;0.0;18662.0;0.0;8828.03;8828.03;3606.68;0.0;8300.0;11353.99;10907.16;446.83;17169.92;-5709.38;-153.1;0.0
14.0;67.37;70000.0;17323.02;5921.05;6980.94;6980.94;386.51;1514.05;1514.05;7018.32;0.0;18662.0;0.0;8828.03;8828.03;3863.16;0.0;8300.0;11491.01;11038.8;452.2;17169.92;-5698.04;-153.1;0.0
15.0;70.52;70000.0;17323.02;6314.81;6980.94;6980.94;484.95;1514.05;1514.05;5549.7;0.0;18662.0;0.0;8828.03;8828.03;4166.22;0.0;8300.0;11730.65;11269.37;461.28;17169.92;-4785.04;-153.1;0.0
16.0;80.8;70000.0;17323.02;6980.94;6980.94;6980.94;806.35;1514.05;1514.05;3040.08;0.0;18662.0;0.0;8828.03;8828.03;4407.63;0.0;8300.0;12035.14;11563.08;472.06;17169.92;-3199.86;-153.1;0.0
