Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.70377528816151;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;990.7369186991688;1429.635375781403;1429.635375781403;6858.799148839427;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.266226836677;-7790.6903999999995;-317.57582683667687;0.0;14379.77;-165.82268894267014;0.0
2;75.11783786131699;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;628.6758717091649;1429.635375781403;1429.635375781403;6858.799148395771;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.241572363566;-7439.099999999999;-304.14157236356624;0.0;14379.77;-334.27762527520895;0.0
3;72.08984972627657;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;534.0554318370555;1429.635375781403;1429.635375781403;6511.160579388474;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133570725511;-7106.3712;-290.7623707255118;0.0;14379.77;-453.84011578435945;0.0
4;70.50071122000804;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;484.39509093167146;1429.635375781403;1429.635375781403;6312.52249572016;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.4884599391435;-6980.7504;-285.73805993914357;0.0;14379.77;-548.3256098763694;0.0
5;70.1943362325363;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;474.8203320293805;1429.635375781403;1429.635375781403;6274.2085329352585;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738139585441;-6956.951999999999;-284.78613958544184;0.0;14379.77;-784.6485635183429;0.0
6;72.1307890614964;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;535.3336623056427;1429.635375781403;1429.635375781403;6516.240967269038;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468711912342;-7172.0232;-293.44551191234257;0.0;14379.77;-1071.552837044754;0.0
7;86.63933818611012;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;988.7232552130591;1429.635375781403;1429.635375781403;6858.799148839361;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.752262485091;-7543.2576;-307.4946624850906;0.0;14379.77;-1667.8823193970038;0.0
8;118.57559480930462;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757813104;1429.635375781403;1429.635375781403;6858.799148839364;6858.799148839848;6858.799148839848;309.59084245042635;6091.362088405913;6091.362088405913;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.354129217262;-7813.4448;-315.90932921726187;0.0;14379.77;-2348.865450768638;0.0
9;133.27307028434478;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757812183;1429.635375781403;1429.635375781403;6858.7991488393645;6858.799148839848;6858.799148839848;554.5487667833764;6091.362088405913;6091.362088405913;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.882124123476;-8067.9192;-324.9629241234762;0.0;14379.77;-2688.0661830348145;0.0
10;109.03899421482117;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757812933;1429.635375781403;1429.635375781403;6858.799148839364;6858.799148839848;6858.799148839848;150.64749868857618;6091.362088405913;6091.362088405913;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.180267786816;-8647.6824;-350.49786778681704;0.0;14379.77;-2585.6327250278337;0.0
11;79.81924170953607;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;775.5952375794103;1429.635375781403;1429.635375781403;6858.799148839487;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.099498842232;-9014.971199999998;-368.1282988422331;0.0;14379.77;-2585.12000520887;0.0
12;470.7744469136441;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757809236;1429.635375781403;1429.635375781403;6858.799148839467;6858.799148839848;6858.799148839848;6091.362088383928;6091.362088405913;6091.362088405913;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14332.21843256773;-13824.009599999967;-508.208832567763;3.2741809263825417e-11;14379.77;-1462.1171515254969;0.0
13;70.18270799567088;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;474.45108568129496;1429.635375781403;1429.635375781403;6272.577157510897;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.544936800985;-9144.2208;-374.3241368009856;0.0;14379.77;-2915.3434686042788;0.0
14;70.30156113170794;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;478.1649424419567;1429.635375781403;1429.635375781403;6287.426379625985;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.511156223802;-9082.716;-371.7951562238018;0.0;14379.77;-3089.8506972206633;0.0
15;72.44196568008357;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;545.0531658165208;1429.635375781403;1429.635375781403;6554.998242523938;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531402890576;-8916.7296;-364.8018028905757;0.0;14379.77;-3099.77996066875;0.0
16;79.86948630025033;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;777.1653824802536;1429.635375781403;1429.635375781403;6858.799148839487;6858.799148839848;6858.799148839848;0.0;6091.362088405913;6091.362088405913;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.658330745347;-8728.243199999999;-356.41513074534794;0.0;14379.77;-2805.366530040947;0.0
17;107.8784966995578;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757813524;1429.635375781403;1429.635375781403;6858.799148839495;6858.799148839848;6858.799148839848;131.305873974038;6091.362088405913;6091.362088405913;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.362013832004;-8872.6392;-359.7228138320048;0.0;14379.77;-2424.5024350970416;0.0
18;3999.971070013738;55851.42063428524;14379.796613026747;14379.77;14379.796613026747;1429.6353757813247;1429.635375781403;1429.635375781403;6858.799148839488;6858.799148839848;6858.799148839848;6091.362088405919;6091.362088405913;6091.362088405913;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-13824.016076033662;-13824.009524381736;-0.006551651925496806;7.561826350865886e-5;14379.77;-1087.3386872564647;0.0
