Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.70414830991896;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;990.7501208176176;1571.46458992296;1571.46458992296;7114.106293898792;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.556646710784;-8430.884307839999;-343.67233887078527;0.0;12142.21;-78.76123997204502;0.0
2;75.11825605257802;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;628.6906263645075;1571.46458992296;1571.46458992296;6889.6179935638465;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.2827495405;-8151.99507648;-333.2876730605015;0.0;12142.21;50.435680561950655;0.0
3;72.09019886705383;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;534.0680065722745;1571.46458992296;1571.46458992296;6511.243376615495;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493092131284;-7968.45784608;-326.03524605128445;0.0;12142.21;75.33571319141028;0.0
4;70.50080883236822;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;484.39857332383156;1571.46458992296;1571.46458992296;6312.545243704555;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578295092897;-7872.345230399999;-322.2330646928979;0.0;12142.21;-106.21170438377239;0.0
5;70.19443763920493;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;474.8239393955033;1571.46458992296;1571.46458992296;6274.232040737472;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.90635037941;-8034.029538240001;-328.87681213940925;0.0;12142.21;-188.64967978890976;0.0
6;72.13103129624089;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;535.3423447512638;1571.46458992296;1571.46458992296;6516.297909014352;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893341811401;-8531.811692160001;-349.0816496513998;0.0;12142.21;-208.05458242823315;0.0
7;86.63971118182278;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;988.7364550049424;1571.46458992296;1571.46458992296;7114.1062938986315;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.627380416063;-9407.152615680001;-383.4747647360618;0.0;12142.21;-581.8306902164173;0.0
8;118.576045762738;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.4645899220523;1571.46458992296;1571.46458992296;7114.106293898687;7114.106293898795;7114.106293898795;232.19959749967717;3456.6613476011594;3456.6613476011594;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.401477050706;-10838.1969216;-438.20455545070666;0.0;12142.21;-110.79268855924599;0.0
9;133.27352121654502;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.464589921161;1571.46458992296;1571.46458992296;7114.106293898692;7114.106293898795;7114.106293898795;415.9180403483823;3456.6613476011594;3456.6613476011594;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.633022095399;-11595.5815392;-467.0514828953996;0.0;12142.21;284.41398909495456;0.0
10;109.03944518049408;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.464589922273;1571.46458992296;1571.46458992296;7114.1062938986815;7114.106293898795;7114.106293898795;112.9920900076284;3456.6613476011594;3456.6613476011594;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.447903398253;-11516.667696;-466.7802073982538;0.0;12142.21;-217.7967400840258;0.0
