Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;84.7;47686.09;11941.33;6961.0;6961.0;6961.0;928.19;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;886.06;0.0;13700.0;8735.17;8392.87;342.3;11941.33;-40.07;0.0;0.0
2.0;74.87;47686.09;11941.33;6859.3;6961.0;6961.0;621.07;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1010.89;0.0;13700.0;8537.05;8201.71;335.34;11941.33;45.78;0.0;0.0
3.0;72.69;47686.09;11941.33;6585.81;6961.0;6961.0;552.7;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1138.92;0.0;13700.0;8563.05;8226.51;336.54;11941.33;285.62;0.0;0.0
4.0;71.43;47686.09;11941.33;6429.02;6961.0;6961.0;513.51;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1277.63;0.0;13700.0;8729.52;8386.33;343.19;11941.33;509.36;0.0;0.0
5.0;71.3;47686.09;11941.33;6412.11;6961.0;6961.0;509.28;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1465.21;0.0;13700.0;9188.09;8826.86;361.23;11941.33;801.49;0.0;0.0
6.0;73.26;47686.09;11941.33;6657.77;6961.0;6961.0;570.69;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1734.6;0.0;13700.0;10066.47;9670.89;395.57;11941.33;1103.4;0.0;0.0
7.0;88.79;47686.09;11941.33;6961.0;6961.0;6961.0;1056.04;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;1995.24;0.0;13700.0;11847.04;11383.27;463.77;11941.33;1834.76;0.0;0.0
8.0;116.02;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;20.45;0.0;15403.0;325.3;3479.55;3479.55;2149.01;0.0;13700.0;13000.42;12494.9;505.52;11941.33;2043.88;0.0;0.0
9.0;129.4;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;202.59;0.0;15403.0;492.44;3479.55;3479.55;2246.6;0.0;13700.0;13591.79;13065.02;526.77;11941.33;2188.37;0.0;0.0
10.0;97.12;47686.09;11941.33;6961.0;6961.0;6961.0;1316.32;1500.78;1500.78;533.14;0.0;15403.0;89.03;3479.55;3479.55;2266.97;0.0;13700.0;13737.75;13201.06;536.69;11941.33;2571.28;0.0;0.0
11.0;74.44;47686.09;11941.33;6805.46;6961.0;6961.0;607.61;1500.78;1500.78;901.56;0.0;15403.0;0.0;3479.55;3479.55;2229.34;0.0;13700.0;13901.09;13354.99;546.1;11941.33;3357.13;0.0;0.0
12.0;383.58;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;0.0;0.0;15403.0;3479.55;3479.55;3479.55;1370.14;0.0;13700.0;18896.83;18240.01;656.82;11941.33;5585.36;0.0;0.0
13.0;67.22;47686.09;11941.33;5902.82;6961.0;6961.0;381.96;1500.78;1500.78;1285.98;0.0;15403.0;0.0;3479.55;3479.55;2228.12;0.0;13700.0;13872.32;13326.39;545.93;11941.33;4073.45;0.0;0.0
14.0;67.37;47686.09;11941.33;5921.05;6961.0;6961.0;386.51;1500.78;1500.78;1161.15;0.0;15403.0;0.0;3479.55;3479.55;2230.92;0.0;13700.0;13778.42;13236.2;542.22;11941.33;4078.79;0.0;0.0
15.0;70.52;47686.09;11941.33;6314.81;6961.0;6961.0;484.95;1500.78;1500.78;824.35;0.0;15403.0;0.0;3479.55;3479.55;2222.74;0.0;13700.0;13482.6;12952.43;530.17;11941.33;3635.74;0.0;0.0
16.0;80.82;47686.09;11941.33;6961.0;6961.0;6961.0;806.97;1500.78;1500.78;374.74;0.0;15403.0;0.0;3479.55;3479.55;2264.55;0.0;13700.0;13421.51;12895.07;526.44;11941.33;3014.26;0.0;0.0
17.0;121.45;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;54.53;0.0;15403.0;393.18;3479.55;3479.55;2408.57;0.0;13700.0;13434.58;12912.88;521.7;11941.33;2116.52;0.0;0.0
18.0;1371.65;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;0.0;0.0;15403.0;3479.55;3479.55;3479.55;1370.14;0.0;13700.0;13334.59;13334.58;0.01;11941.33;23.12;0.0;105.43
19.0;1372.79;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;0.0;0.0;15403.0;3479.55;3479.55;3479.55;1370.14;0.0;13700.0;13814.54;13814.54;0.01;11941.33;503.08;0.0;105.47
20.0;135.64;47686.09;11941.33;6961.0;6961.0;6961.0;1500.78;1500.78;1500.78;0.0;0.0;15403.0;570.49;3479.55;3479.55;2581.86;0.0;13700.0;13358.97;12842.03;516.94;11941.33;1744.84;0.0;0.0
21.0;99.42;47686.09;11941.33;6961.0;6961.0;6961.0;1388.06;1500.78;1500.78;0.0;0.0;15403.0;117.72;3479.55;3479.55;2508.23;0.0;13700.0;12695.65;12199.95;495.7;11941.33;1720.63;0.0;0.0
22.0;85.55;47686.09;11941.33;6961.0;6961.0;6961.0;954.7;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;2383.62;0.0;13700.0;11929.49;11462.11;467.37;11941.33;1630.17;0.0;0.0
23.0;74.39;47686.09;11941.33;6798.31;6961.0;6961.0;605.83;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;2265.25;0.0;13700.0;11226.76;10785.71;441.05;11941.33;1557.38;0.0;0.0
24.0;70.69;47686.09;11941.33;6336.01;6961.0;6961.0;490.25;1500.78;1500.78;0.0;0.0;15403.0;0.0;3479.55;3479.55;2169.16;0.0;13700.0;10447.14;10036.35;410.79;11941.33;1451.71;0.0;0.0
