Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;84.7;49184.09;14094.73;7005.87;7005.87;7005.87;928.19;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;343.75;0.0;5315.0;8108.43;7790.69;317.74;14094.73;-169.38;0.0;0.0
2.0;74.87;49184.09;14094.73;6859.3;7005.87;7005.87;621.07;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;392.18;0.0;5315.0;7743.26;7439.1;304.16;14094.73;-129.29;0.0;0.0
3.0;72.69;49184.09;14094.73;6585.81;7005.87;7005.87;552.7;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;441.85;0.0;5315.0;7397.09;7106.37;290.72;14094.73;-183.27;0.0;0.0
4.0;71.43;49184.09;14094.73;6429.02;7005.87;7005.87;513.51;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;495.66;0.0;5315.0;7266.42;6980.75;285.67;14094.73;-171.77;0.0;0.0
5.0;71.3;49184.09;14094.73;6412.11;7005.87;7005.87;509.28;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;568.44;0.0;5315.0;7241.66;6956.95;284.71;14094.73;-248.17;0.0;0.0
6.0;73.26;49184.09;14094.73;6657.77;7005.87;7005.87;570.69;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;672.95;0.0;5315.0;7465.38;7172.02;293.36;14094.73;-436.03;0.0;0.0
7.0;88.79;49184.09;14094.73;7005.87;7005.87;7005.87;1056.04;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;774.07;0.0;5315.0;7850.58;7543.26;307.33;14094.73;-985.39;0.0;0.0
8.0;116.02;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;11.67;0.0;8788.0;325.3;5560.1;5560.1;833.72;0.0;5315.0;8129.56;7813.44;316.12;14094.73;-1575.76;0.0;0.0
9.0;129.4;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;115.59;0.0;8788.0;492.44;5560.1;5560.1;871.58;0.0;5315.0;8393.21;8067.92;325.29;14094.73;-1621.03;0.0;0.0
10.0;97.12;49184.09;14094.73;7005.87;7005.87;7005.87;1316.32;1528.76;1528.76;304.18;0.0;8788.0;89.03;5560.1;5560.1;879.49;0.0;5315.0;8999.25;8647.68;351.57;14094.73;-595.63;0.0;0.0
11.0;74.44;49184.09;14094.73;6805.46;7005.87;7005.87;607.61;1528.76;1528.76;514.37;0.0;8788.0;0.0;5560.1;5560.1;864.88;0.0;5315.0;9383.6;9014.97;368.63;14094.73;591.28;0.0;0.0
12.0;543.06;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;0.0;0.0;8788.0;5560.1;5560.1;5560.1;531.55;0.0;5315.0;11934.84;11520.01;414.83;14094.73;-2691.44;0.0;0.0
13.0;67.22;49184.09;14094.73;5902.82;7005.87;7005.87;381.96;1528.76;1528.76;733.7;0.0;8788.0;0.0;5560.1;5560.1;864.41;0.0;5315.0;9518.83;9144.22;374.61;14094.73;1635.94;0.0;0.0
14.0;67.37;49184.09;14094.73;5921.05;7005.87;7005.87;386.51;1528.76;1528.76;662.48;0.0;8788.0;0.0;5560.1;5560.1;865.5;0.0;5315.0;9454.79;9082.72;372.07;14094.73;1619.25;0.0;0.0
15.0;70.52;49184.09;14094.73;6314.81;7005.87;7005.87;484.95;1528.76;1528.76;470.32;0.0;8788.0;0.0;5560.1;5560.1;862.32;0.0;5315.0;9281.71;8916.73;364.98;14094.73;1149.3;0.0;0.0
16.0;80.82;49184.09;14094.73;7005.87;7005.87;7005.87;806.97;1528.76;1528.76;213.8;0.0;8788.0;0.0;5560.1;5560.1;878.55;0.0;5315.0;9084.57;8728.24;356.33;14094.73;179.38;0.0;0.0
17.0;121.45;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;31.11;0.0;8788.0;393.18;5560.1;5560.1;934.42;0.0;5315.0;9231.11;8872.64;358.47;14094.73;-662.23;0.0;0.0
18.0;4000.0;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;0.0;0.0;8788.0;5560.1;5560.1;5560.1;531.55;0.0;5315.0;12372.57;12372.56;0.01;14094.73;-2253.72;0.0;107.45
19.0;2200.61;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;0.0;0.0;8788.0;5560.1;5560.1;5560.1;531.55;0.0;5315.0;15248.79;15248.78;0.01;14094.73;622.51;0.0;111.23
20.0;135.64;49184.09;14094.73;7005.87;7005.87;7005.87;1528.76;1528.76;1528.76;0.0;0.0;8788.0;570.49;5560.1;5560.1;1001.65;0.0;5315.0;9859.9;9478.36;381.54;14094.73;-246.87;0.0;0.0
21.0;99.42;49184.09;14094.73;7005.87;7005.87;7005.87;1388.06;1528.76;1528.76;0.0;0.0;8788.0;117.72;5560.1;5560.1;973.09;0.0;5315.0;9400.81;9033.76;367.05;14094.73;-83.93;0.0;0.0
22.0;85.55;49184.09;14094.73;7005.87;7005.87;7005.87;954.7;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;924.74;0.0;5315.0;9059.13;8704.21;354.92;14094.73;173.81;0.0;0.0
23.0;74.39;49184.09;14094.73;6798.31;7005.87;7005.87;605.83;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;878.82;0.0;5315.0;8833.02;8486.01;347.01;14094.73;550.07;0.0;0.0
24.0;70.69;49184.09;14094.73;6336.01;7005.87;7005.87;490.25;1528.76;1528.76;0.0;0.0;8788.0;0.0;5560.1;5560.1;841.54;0.0;5315.0;8598.65;8260.55;338.11;14094.73;930.85;0.0;0.0
