Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;87.1284467576291;0.0;0.0;0.0;0.0;1004.0139022647976;1410.191830992791;1410.191830992791;6842.968380693958;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.519385069125;-8430.884307839999;-343.6350772291261;0.0;0.0;179.0758175502571;0.0
2;74.46291890701065;0.0;0.0;0.0;0.0;608.2162127748668;1410.191830992791;1410.191830992791;6807.864989184055;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.338398992108;-8151.99507648;-333.3433225121076;0.0;0.0;152.71883344999432;0.0
3;72.0905774100382;0.0;0.0;0.0;0.0;534.0805427074904;1410.191830992791;1410.191830992791;6511.322231955167;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493061274401;-7968.45784608;-326.035215194401;0.0;0.0;75.24418100505653;0.0
4;70.50142722292588;0.0;0.0;0.0;0.0;484.41959939065;1410.191830992791;1410.191830992791;6312.6784573221385;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578244449454;-7872.345230399999;-322.2330140494549;0.0;0.0;-106.36592593375688;0.0
5;70.19524020040186;0.0;0.0;0.0;0.0;474.8512544092743;1410.191830992791;1410.191830992791;6274.405101175112;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.90628325939;-8034.029538240001;-328.87674501938915;0.0;0.0;-188.8500139668749;0.0
6;72.13194026741319;0.0;0.0;0.0;0.0;535.3731307554408;1410.191830992791;1410.191830992791;6516.492640271551;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893261331257;-8531.811692160001;-349.08156917125547;0.0;0.0;-208.28011569149152;0.0
7;87.06383633391354;0.0;0.0;0.0;0.0;1001.9948266516435;1410.191830992791;1410.191830992791;6842.968380698006;6842.968380689759;6842.968380689759;0.0;217.26237869910608;217.26237869910608;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.585820975855;-9407.152615680001;-383.4332052958547;0.0;0.0;-323.9925213100814;0.0
8;120.80404326803166;0.0;0.0;0.0;0.0;1410.191830990303;1410.191830992791;1410.191830992791;6842.968380698008;6842.968380689759;6842.968380689759;217.26237869572975;217.26237869910608;217.26237869910608;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.149931337453;-10838.1969216;-437.95300973745356;0.0;0.0;336.29079959161976;0.0
9;235.5304106811192;0.0;0.0;0.0;0.0;1410.191830990313;1410.191830992791;1410.191830992791;6842.968380698009;6842.968380689759;6842.968380689759;217.2623786990878;217.26237869910608;217.26237869910608;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12050.281677545756;-11595.5815392;-454.7001383457563;0.0;0.0;903.1161216904696;0.0
10;110.75751408546984;0.0;0.0;0.0;0.0;1410.1918309903049;1410.191830992791;1410.191830992791;6842.968380698008;6842.968380689759;6842.968380689759;134.4686772679739;217.26237869910608;217.26237869910608;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.241795512822;-11516.667696;-466.57409951282165;0.0;0.0;192.9342112566687;0.0
