Timestep;EOM_price;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;NetworkManager;ENS_Cons_C
1.0;84.87;7203.97;7203.97;7203.97;933.4;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;662.99;0.0;8300.0;8774.72;8430.88;343.83;-25.64;0.0
2.0;74.87;6859.3;7203.97;7203.97;621.07;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;921.42;0.0;8300.0;8485.3;8152.0;333.31;83.51;0.0
3.0;72.69;6585.81;7203.97;7203.97;552.7;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;1258.29;0.0;8300.0;8294.44;7968.46;325.99;-102.35;0.0
4.0;71.43;6429.02;7203.97;7203.97;513.51;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;1589.57;0.0;8300.0;8194.5;7872.35;322.16;-337.59;0.0
5.0;71.3;6412.11;7203.97;7203.97;509.28;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;1994.74;0.0;8300.0;8362.81;8034.03;328.78;-553.32;0.0
6.0;73.26;6657.77;7203.97;7203.97;570.69;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;2319.7;0.0;8300.0;8880.79;8531.81;348.98;-667.37;0.0
7.0;88.96;7203.97;7203.97;7203.97;1061.25;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;2609.64;0.0;8300.0;9790.4;9407.15;383.25;-1084.46;0.0
8.0;117.37;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;1.15;0.0;18662.0;342.15;2029.89;2029.89;2935.3;0.0;8300.0;11276.54;10838.2;438.34;-852.97;0.0
9.0;133.97;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;604.99;0.0;18662.0;549.62;2029.89;2029.89;3049.95;0.0;8300.0;12062.55;11595.58;466.97;-992.93;0.0
10.0;97.24;7203.97;7203.97;7203.97;1320.04;1646.94;1646.94;2532.6;0.0;18662.0;90.52;2029.89;2029.89;3048.47;0.0;8300.0;11984.86;11516.67;468.2;-2210.74;0.0
11.0;73.4;6675.21;7203.97;7203.97;575.05;1646.94;1646.94;4952.73;0.0;18662.0;0.0;2029.89;2029.89;3125.69;0.0;8300.0;11542.98;11089.61;453.37;-3785.69;0.0
12.0;67.17;5895.63;7203.97;7203.97;380.16;1646.94;1646.94;6487.49;0.0;18662.0;0.0;2029.89;2029.89;830.08;0.0;8300.0;11686.09;11686.09;0.0;-1907.27;1753.92
13.0;61.57;5196.74;7203.97;7203.97;205.44;1646.94;1646.94;7171.92;0.0;18662.0;0.0;2029.89;2029.89;3606.68;0.0;8300.0;11353.67;10907.16;446.51;-4827.11;0.0
14.0;60.62;5077.21;7203.97;7203.97;175.55;1646.94;1646.94;7018.32;0.0;18662.0;0.0;2029.89;2029.89;3863.16;0.0;8300.0;11490.62;11038.8;451.82;-4643.62;0.0
15.0;65.58;5697.97;7203.97;7203.97;330.74;1646.94;1646.94;5549.7;0.0;18662.0;0.0;2029.89;2029.89;4166.22;0.0;8300.0;11730.36;11269.37;460.99;-4014.28;0.0
16.0;80.99;7203.97;7203.97;7203.97;812.17;1646.94;1646.94;3040.08;0.0;18662.0;0.0;2029.89;2029.89;4407.63;0.0;8300.0;12035.12;11563.08;472.04;-3428.73;0.0
17.0;122.8;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;652.47;0.0;18662.0;410.01;2029.89;2029.89;4575.34;0.0;8300.0;12649.6;12158.54;491.05;-1839.14;0.0
18.0;252.39;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;0.01;0.0;18662.0;2029.88;2029.89;2029.89;830.08;0.0;8300.0;12298.8;12298.79;0.0;587.91;4981.22
19.0;2148.29;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;0.0;0.0;18662.0;2029.89;2029.89;2029.89;830.08;0.0;8300.0;10942.81;10942.81;0.0;-768.08;2977.2
20.0;150.73;7203.97;7203.97;7203.97;1646.94;1646.94;1646.94;0.0;0.0;18662.0;759.17;2029.89;2029.89;4973.61;0.0;8300.0;12520.02;12044.36;475.66;-2063.67;0.0
21.0;99.54;7203.97;7203.97;7203.97;1391.78;1646.94;1646.94;0.0;0.0;18662.0;119.21;2029.89;2029.89;5091.11;0.0;8300.0;11934.29;11468.33;465.96;-1871.8;0.0
22.0;85.72;7203.97;7203.97;7203.97;959.91;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;5221.81;0.0;8300.0;11346.62;10902.1;444.52;-2039.08;0.0
23.0;74.39;6798.31;7203.97;7203.97;605.83;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;5364.77;0.0;8300.0;10661.45;10242.61;418.84;-2107.45;0.0
24.0;70.69;6336.01;7203.97;7203.97;490.25;1646.94;1646.94;0.0;0.0;18662.0;0.0;2029.89;2029.89;5476.38;0.0;8300.0;9920.08;9530.02;390.07;-2382.56;0.0
