;A;B;C
01-02-2022 00:00;56977;10065;11664
01-02-2022 01:00;55792;9714;11206
01-02-2022 02:00;55190;9338;10951
01-02-2022 03:00;55233;9139;10848
01-02-2022 04:00;56137;9197;10935
01-02-2022 05:00;59429;9677;11408
01-02-2022 06:00;66441;10712;12549
01-02-2022 07:00;72987;11581;14130
01-02-2022 08:00;76297;12054;15341
01-02-2022 09:00;77514;12198;15811
01-02-2022 10:00;78394;12328;15754
01-02-2022 11:00;79353;12326;15697
01-02-2022 12:00;79486;12166;15558
01-02-2022 13:00;79243;12081;15279
01-02-2022 14:00;79135;11843;14992
01-02-2022 15:00;78167;11576;15078
01-02-2022 16:00;77335;11392;15366
01-02-2022 17:00;78324;11767;16192
01-02-2022 18:00;78669;12208;16025
01-02-2022 19:00;76537;11792;15406
01-02-2022 20:00;72077;11071;14601
01-02-2022 21:00;67433;10419;13772
01-02-2022 22:00;64513;10224;12903
01-02-2022 23:00;61232;9987;12174
26-04-2022 00:00;46737;8426;10439
26-04-2022 01:00;46168;8170;10178
26-04-2022 02:00;46595;8059;10094
26-04-2022 03:00;47727;8083;10115
26-04-2022 04:00;51122;8478;10408
26-04-2022 05:00;58020;9403;11313
26-04-2022 06:00;63164;10163;12192
26-04-2022 07:00;66382;10545;12432
26-04-2022 08:00;66848;10739;11754
26-04-2022 09:00;67678;10727;10582
26-04-2022 10:00;68534;10844;9636
26-04-2022 11:00;67855;10614;9170
26-04-2022 12:00;66467;10406;8918
26-04-2022 13:00;65240;10328;8752
26-04-2022 14:00;64454;10110;8991
26-04-2022 15:00;63684;9921;9650
26-04-2022 16:00;63980;10123;10733
26-04-2022 17:00;63821;10147;11447
26-04-2022 18:00;63465;9973;12214
26-04-2022 19:00;61806;9918;12839
26-04-2022 20:00;59336;9711;12905
26-04-2022 21:00;55617;9562;12256
26-04-2022 22:00;51316;9192;11651
26-04-2022 23:00;48093;8693;11003
18-05-2022 00:00;47350;8297;10884
18-05-2022 01:00;46673;8238;10660
18-05-2022 02:00;46856;8105;10552
18-05-2022 03:00;48128;8157;10479
18-05-2022 04:00;51086;8320;10578
18-05-2022 05:00;57888;8818;10917
18-05-2022 06:00;62824;9761;11656
18-05-2022 07:00;65858;10401;11734
18-05-2022 08:00;66607;10675;11150
18-05-2022 09:00;67874;10739;10220
18-05-2022 10:00;68686;10799;9553
18-05-2022 11:00;68097;10700;9206
18-05-2022 12:00;67048;10651;9178
18-05-2022 13:00;65633;10566;9546
18-05-2022 14:00;64571;10331;9898
18-05-2022 15:00;63291;10335;10430
18-05-2022 16:00;63093;10520;11493
18-05-2022 17:00;62948;10520;12037
18-05-2022 18:00;62605;10280;12649
18-05-2022 19:00;60853;10037;13154
18-05-2022 20:00;59197;9763;13409
18-05-2022 21:00;56133;9644;13107
18-05-2022 22:00;52578;9175;12415
18-05-2022 23:00;50180;8586;11552
18-08-2022 00:00;42917;8076;10991
18-08-2022 01:00;42054;7861;10769
18-08-2022 02:00;41914;7851;10676
18-08-2022 03:00;42652;7910;10724
