;A;B;C
01-02-2022 00:00;4.792914210800988e-05;0.0;0.0
01-02-2022 01:00;4.879117703801005e-05;0.0;0.0
01-02-2022 02:00;4.866187179851002e-05;0.0;0.0
01-02-2022 03:00;4.607576700850949e-05;0.0;0.0
01-02-2022 04:00;4.693780193850967e-05;0.0;0.0
01-02-2022 05:00;4.560164779700939e-05;0.0;0.0
01-02-2022 06:00;4.607576700850949e-05;0.0;0.0
01-02-2022 07:00;0.000131546530318;0.0;0.0
01-02-2022 08:00;0.0049749328862705;0.0005767004480156;0.00015
01-02-2022 09:00;0.0248780263675796;0.0109533675069583;0.00355
01-02-2022 10:00;0.0450787374084712;0.0225513083316684;0.0111
01-02-2022 11:00;0.058433123933555;0.0372460035742729;0.01775
01-02-2022 12:00;0.0604074856354809;0.0494167038416591;0.0222
01-02-2022 13:00;0.0516218411376516;0.0503691134653752;0.024175
01-02-2022 14:00;0.0362708955111944;0.0609953775291538;0.023175
01-02-2022 15:00;0.0195347028539735;0.0721147051498539;0.018575
01-02-2022 16:00;0.0042269020757628;0.0392357733812457;0.01175
01-02-2022 17:00;8.92637170015184e-05;0.0023505907402795;0.00435
01-02-2022 18:00;5.478231980151129e-05;0.0;5e-05
01-02-2022 19:00;5.086006087001048e-05;0.0;0.0
01-02-2022 20:00;5.004112768651031e-05;0.0;0.0
01-02-2022 21:00;4.784293861500985e-05;0.0;0.0
01-02-2022 22:00;4.844636306600998e-05;0.0;0.0
01-02-2022 23:00;4.529993557150933e-05;0.0;0.0
26-04-2022 00:00;5.318755518101096e-05;0.0;0.0
26-04-2022 01:00;4.5343037318009335e-05;0.0;0.0
26-04-2022 02:00;4.004152249850824e-05;0.0;0.0
26-04-2022 03:00;4.189489759800863e-05;0.0;0.0
26-04-2022 04:00;0.000140684100576;0.0;0.0
26-04-2022 05:00;0.0091636037128878;0.0004921877779571;0.0
26-04-2022 06:00;0.0564360907129701;0.0201205838161521;0.002175
26-04-2022 07:00;0.1367942110561497;0.0813984000613045;0.02845
26-04-2022 08:00;0.2299827730939588;0.1841500428310649;0.1073
26-04-2022 09:00;0.2980712916679669;0.3602429191902328;0.220525
26-04-2022 10:00;0.3345614457636069;0.5237451592686151;0.336125
26-04-2022 11:00;0.335174266395344;0.6229914967336181;0.416025
26-04-2022 12:00;0.3326638482721975;0.6182014236881789;0.45585
