Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;9;43.53428519818616;500.0;5630.772836562952;787.8607820855106;384.776040058711;3;Cat 3 — Scarcity in exporting zone only;0.0;1.62087867247886e6;-1.62087867247886e6;Over-compensated;-2.269678616237488e6;-648799.9437586281;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-7.056379439935207e7;-9.880883618750733e7;-2.8245041788155258e7;0.0;0.0
FBMC;A→B;A;B;10;43.53428519818616;500.0;5630.772836562952;1060.2009694560754;370.90761034662825;3;Cat 3 — Scarcity in exporting zone only;0.0;3.1543644018295016e6;-3.1543644018295016e6;Over-compensated;-3.881254322896708e6;-726889.9210672062;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.3732299948825142e8;-1.689676326196782e8;-3.164463313142678e7;0.0;0.0
FBMC;A→B;A;B;11;43.53428519818616;500.0;5630.772836562952;773.1317569593015;151.95153854986094;3;Cat 3 — Scarcity in exporting zone only;0.0;1.5379428778891487e6;-1.5379428778891487e6;Over-compensated;-3.4977247004301194e6;-1.9597818225409708e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.695324386454539e7;-1.5227094465326506e8;-8.531770078871968e7;0.0;0.0
FBMC;A→B;A;B;12;43.53428519818616;500.0;5630.772836562952;1005.4369102560107;137.1239100313026;3;Cat 3 — Scarcity in exporting zone only;0.0;2.8460004248658516e6;-2.8460004248658516e6;Over-compensated;-4.8892732552997675e6;-2.0432728304339158e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.2389859417026897e8;-2.1285101630808413e8;-8.895242213781516e7;0.0;0.0
FBMC;A→B;A;B;13;43.53428519818616;500.0;5630.772836562952;600.2753258461962;116.03331039064939;3;Cat 3 — Scarcity in exporting zone only;0.0;564627.5809522605;-564627.5809522605;Over-compensated;-2.7266567869495903e6;-2.1620292059973297e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-2.4580658139937654e7;-1.1870305420063339e8;-9.412239606069572e7;0.0;0.0
FBMC;A→B;A;B;14;43.53428519818616;500.0;5630.772836562952;550.7757774470186;111.51778432447685;3;Cat 3 — Scarcity in exporting zone only;0.0;285906.8684040383;-285906.8684040383;Over-compensated;-2.4733619759175642e6;-2.187455107513526e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.2446751149221683e7;-1.076760456579445e8;-9.522929450872281e7;0.0;0.0
FBMC;A→B;A;B;15;43.53428519818616;500.0;5630.772836562952;538.2601274493695;105.08895657726266;3;Cat 3 — Scarcity in exporting zone only;0.0;215434.08636534648;-215434.08636534648;Over-compensated;-2.4390884625288285e6;-2.223654376163482e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-9.378768957239661e6;-1.0618397275133543e8;-9.680520379409577e7;0.0;0.0
FBMC;A→B;A;B;16;43.53428519818616;500.0;5630.772836562952;503.09340152468116;103.83925313747717;3;Cat 3 — Scarcity in exporting zone only;0.0;17418.24127775707;-17418.24127775707;Over-compensated;-2.2481094136237423e6;-2.230691172345985e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-758290.6834366949;-9.786983636942306e7;-9.711154568598635e7;0.0;0.0
FBMC;A→B;A;B;18;43.53428519818616;500.0;5630.772836562952;511.70759923208846;123.77327984030941;3;Cat 3 — Scarcity in exporting zone only;0.0;65922.83173740895;-65922.83173740895;Over-compensated;-2.1843700280017657e6;-2.118447196264357e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-2.8699033579283995e6;-9.509498777739877e7;-9.222508441947037e7;0.0;0.0
FBMC;A→B;A;B;19;43.53428519818616;500.0;5630.772836562952;528.5077627342433;124.11014750197997;3;Cat 3 — Scarcity in exporting zone only;0.0;160520.73603515892;-160520.73603515892;Over-compensated;-2.277071107020665e6;-2.116550370985506e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.988155502777367e6;-9.913066298958711e7;-9.214250748680975e7;0.0;0.0
