Timestep;EOM_price;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;NetworkManager;ENS_Cons_A
1.0;84.74;6979.28;6979.28;6979.28;929.23;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;886.06;0.0;13700.0;8735.16;6994.06;1741.11;-59.4;0.0
2.0;74.87;6859.3;6979.28;6979.28;621.07;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1010.89;0.0;13700.0;8537.05;6834.75;1702.29;45.78;0.0
3.0;72.69;6585.81;6979.28;6979.28;552.7;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1138.92;0.0;13700.0;8563.05;6855.43;1707.63;285.62;0.0
4.0;71.43;6429.02;6979.28;6979.28;513.51;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1277.63;0.0;13700.0;8729.52;6988.6;1740.91;509.36;0.0
5.0;71.3;6412.11;6979.28;6979.28;509.28;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1465.21;0.0;13700.0;9188.09;7355.72;1832.37;801.49;0.0
6.0;73.26;6657.77;6979.28;6979.28;570.69;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1734.6;0.0;13700.0;10066.47;8059.08;2007.39;1103.4;0.0
7.0;88.83;6979.28;6979.28;6979.28;1057.08;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;1995.24;0.0;13700.0;11847.04;9486.05;2360.98;1815.43;0.0
8.0;116.27;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;20.45;0.0;15403.0;328.38;3654.51;3654.51;2149.01;0.0;13700.0;13000.39;10412.42;2587.97;2012.5;0.0
9.0;129.64;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;202.59;0.0;15403.0;495.51;3654.51;3654.51;2246.6;0.0;13700.0;13591.75;10887.52;2704.24;2156.99;0.0
10.0;97.15;6979.28;6979.28;6979.28;1317.07;1510.78;1510.78;533.14;0.0;15403.0;89.33;3654.51;3654.51;2266.97;0.0;13700.0;13737.74;11000.88;2736.86;2551.95;0.0
11.0;74.44;6805.46;6979.28;6979.28;607.61;1510.78;1510.78;901.56;0.0;15403.0;0.0;3654.51;3654.51;2229.34;0.0;13700.0;13901.09;11129.16;2771.93;3357.13;0.0
12.0;1760.65;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;15403.0;3654.51;3654.51;3654.51;1370.14;0.0;13700.0;17979.46;15200.01;2779.45;4464.76;0.0
13.0;67.22;5902.82;6979.28;6979.28;381.96;1510.78;1510.78;1285.98;0.0;15403.0;0.0;3654.51;3654.51;2228.12;0.0;13700.0;13872.32;11105.32;2767.0;4073.45;0.0
14.0;67.37;5921.05;6979.28;6979.28;386.51;1510.78;1510.78;1161.15;0.0;15403.0;0.0;3654.51;3654.51;2230.92;0.0;13700.0;13778.42;11030.16;2748.25;4078.79;0.0
15.0;70.52;6314.81;6979.28;6979.28;484.95;1510.78;1510.78;824.35;0.0;15403.0;0.0;3654.51;3654.51;2222.74;0.0;13700.0;13482.6;10793.69;2688.91;3635.74;0.0
16.0;80.86;6979.28;6979.28;6979.28;808.01;1510.78;1510.78;374.74;0.0;15403.0;0.0;3654.51;3654.51;2264.55;0.0;13700.0;13421.51;10745.89;2675.61;2994.93;0.0
17.0;121.7;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;54.53;0.0;15403.0;396.25;3654.51;3654.51;2408.57;0.0;13700.0;13434.55;10760.73;2673.81;2085.14;0.0
18.0;3165.52;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;15403.0;3654.51;3654.51;3654.51;1370.14;0.0;13700.0;12662.37;11200.01;1462.36;-852.33;0.0
19.0;3165.38;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;15403.0;3654.51;3654.51;3654.51;1370.14;0.0;13700.0;13114.6;11600.01;1514.59;-400.1;0.0
20.0;135.88;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;15403.0;573.56;3654.51;3654.51;2581.86;0.0;13700.0;13358.94;10701.69;2657.25;1713.46;0.0
21.0;99.44;6979.28;6979.28;6979.28;1388.81;1510.78;1510.78;0.0;0.0;15403.0;118.02;3654.51;3654.51;2508.23;0.0;13700.0;12695.64;10166.62;2529.02;1701.3;0.0
22.0;85.58;6979.28;6979.28;6979.28;955.74;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;2383.62;0.0;13700.0;11929.48;9551.76;2377.72;1610.84;0.0
23.0;74.39;6798.31;6979.28;6979.28;605.83;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;2265.25;0.0;13700.0;11226.76;8988.09;2238.67;1557.38;0.0
24.0;70.69;6336.01;6979.28;6979.28;490.25;1510.78;1510.78;0.0;0.0;15403.0;0.0;3654.51;3654.51;2169.16;0.0;13700.0;10447.14;8363.62;2083.52;1451.71;0.0
