Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;84.35;30022.58;23947.63;6749.19;6749.19;6749.19;917.16;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;886.06;0.0;13700.0;8735.2;8392.87;342.33;23052.81;182.8;-894.82;0.0
2.0;75.19;30022.58;23947.63;6749.19;6749.19;6749.19;631.08;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1010.89;0.0;13700.0;8537.02;8201.71;335.31;23052.81;145.86;-894.82;0.0
3.0;72.69;30022.58;23947.63;6585.81;6749.19;6749.19;552.7;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1138.92;0.0;13700.0;8563.05;8226.51;336.54;23052.81;285.62;-894.82;0.0
4.0;71.43;30022.58;23947.63;6429.02;6749.19;6749.19;513.51;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1277.63;0.0;13700.0;8729.52;8386.33;343.19;23052.81;509.36;-894.82;0.0
5.0;71.3;30022.58;23947.63;6412.11;6749.19;6749.19;509.28;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1465.21;0.0;13700.0;9188.09;8826.86;361.23;23052.81;801.49;-894.82;0.0
6.0;73.26;30022.58;23947.63;6657.77;6749.19;6749.19;570.69;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1734.6;0.0;13700.0;10066.47;9670.89;395.57;23052.81;1103.4;-894.82;0.0
7.0;88.44;30022.58;23947.63;6749.19;6749.19;6749.19;1045.01;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;1995.24;0.0;13700.0;11847.08;11383.27;463.82;23052.81;2057.63;-894.82;0.0
8.0;118.45;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;20.45;0.0;15403.0;461.33;15839.23;15839.23;2149.01;0.0;13700.0;13000.11;12494.9;505.2;23052.81;2260.92;-894.82;0.0
9.0;127.73;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;202.59;0.0;15403.0;693.37;15839.23;15839.23;2246.6;0.0;13700.0;13592.01;13065.02;526.99;23052.81;2341.05;-894.82;0.0
10.0;100.09;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;533.14;0.0;15403.0;2.17;15839.23;15839.23;2266.97;0.0;13700.0;13737.34;13201.06;536.28;23052.81;2826.65;-894.82;0.0
11.0;74.61;30022.58;23947.63;6749.19;6749.19;6749.19;612.72;1359.21;1359.21;901.56;0.0;15403.0;0.0;15839.23;15839.23;2229.34;0.0;13700.0;13901.07;13354.99;546.08;23052.81;3408.26;-894.82;0.0
12.0;610.98;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;0.0;0.0;15403.0;12774.51;15839.23;15839.23;1370.14;0.0;13700.0;18883.92;18240.01;643.91;23052.81;-3369.12;-894.82;0.0
13.0;68.59;30022.58;23947.63;6073.54;6749.19;6749.19;424.63;1359.21;1359.21;1285.98;0.0;15403.0;0.0;15839.23;15839.23;2228.12;0.0;13700.0;13872.13;13326.39;545.75;23052.81;3859.86;-894.82;0.0
14.0;69.28;30022.58;23947.63;6160.57;6749.19;6749.19;446.39;1359.21;1359.21;1161.15;0.0;15403.0;0.0;15839.23;15839.23;2230.92;0.0;13700.0;13778.15;13236.2;541.96;23052.81;3779.12;-894.82;0.0
15.0;71.53;30022.58;23947.63;6440.96;6749.19;6749.19;516.49;1359.21;1359.21;824.35;0.0;15403.0;0.0;15839.23;15839.23;2222.74;0.0;13700.0;13482.46;12952.43;530.03;23052.81;3477.92;-894.82;0.0
16.0;80.47;30022.58;23947.63;6749.19;6749.19;6749.19;795.95;1359.21;1359.21;374.74;0.0;15403.0;0.0;15839.23;15839.23;2264.55;0.0;13700.0;13421.56;12895.07;526.49;23052.81;3237.13;-894.82;0.0
17.0;122.22;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;54.53;0.0;15403.0;555.55;15839.23;15839.23;2408.57;0.0;13700.0;13434.48;12912.88;521.6;23052.81;2307.43;-894.82;0.0
18.0;611.98;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;0.0;0.0;15403.0;12799.49;15839.23;15839.23;1370.14;0.0;13700.0;16995.36;16416.01;579.35;23052.81;-5282.66;-894.82;0.0
19.0;679.94;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;0.0;0.0;15403.0;14498.4;15839.23;15839.23;1370.14;0.0;13700.0;17976.94;17376.01;600.93;23052.81;-6000.0;-894.82;0.0
20.0;132.07;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;0.0;0.0;15403.0;801.77;15839.23;15839.23;2581.86;0.0;13700.0;13359.45;12842.03;517.42;23052.81;1867.42;-894.82;0.0
21.0;102.87;30022.58;23947.63;6749.19;6749.19;6749.19;1359.21;1359.21;1359.21;0.0;0.0;15403.0;71.63;15839.23;15839.23;2508.23;0.0;13700.0;12695.21;12199.95;495.26;23052.81;2006.95;-894.82;0.0
22.0;85.2;30022.58;23947.63;6749.19;6749.19;6749.19;943.68;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;2383.62;0.0;13700.0;11929.53;11462.11;467.42;23052.81;1853.04;-894.82;0.0
23.0;74.53;30022.58;23947.63;6749.19;6749.19;6749.19;610.29;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;2265.25;0.0;13700.0;11226.74;10785.71;441.03;23052.81;1602.02;-894.82;0.0
24.0;70.69;30022.58;23947.63;6336.01;6749.19;6749.19;490.25;1359.21;1359.21;0.0;0.0;15403.0;0.0;15839.23;15839.23;2169.16;0.0;13700.0;10447.14;10036.35;410.79;23052.81;1451.71;-894.82;0.0
