Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;84.35;30000.56;12471.07;6966.88;6966.88;6966.88;917.16;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;343.75;0.0;5315.0;8108.46;7790.69;317.77;13452.95;-119.33;981.89;0.0
2.0;75.19;30000.56;12471.07;6899.31;6966.88;6966.88;631.08;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;392.18;0.0;5315.0;7743.24;7439.1;304.14;13452.95;-179.33;981.89;0.0
3.0;72.69;30000.56;12471.07;6585.81;6966.88;6966.88;552.7;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;441.85;0.0;5315.0;7397.09;7106.37;290.72;13452.95;-183.27;981.89;0.0
4.0;71.43;30000.56;12471.07;6429.02;6966.88;6966.88;513.51;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;495.66;0.0;5315.0;7266.42;6980.75;285.67;13452.95;-171.77;981.89;0.0
5.0;71.3;30000.56;12471.07;6412.11;6966.88;6966.88;509.28;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;568.44;0.0;5315.0;7241.66;6956.95;284.71;13452.95;-248.17;981.89;0.0
6.0;73.26;30000.56;12471.07;6657.77;6966.88;6966.88;570.69;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;672.95;0.0;5315.0;7465.38;7172.02;293.36;13452.95;-436.03;981.89;0.0
7.0;88.44;30000.56;12471.07;6966.88;6966.88;6966.88;1045.01;1472.81;1472.81;0.0;0.0;8788.0;0.0;4031.38;4031.38;774.07;0.0;5315.0;7850.61;7543.26;307.35;13452.95;-935.35;981.89;0.0
8.0;118.45;30000.56;12471.07;6966.88;6966.88;6966.88;1472.81;1472.81;1472.81;11.67;0.0;8788.0;307.55;4031.38;4031.38;833.72;0.0;5315.0;8129.36;7813.44;315.92;13452.95;-1463.26;981.89;0.0
9.0;127.73;30000.56;12471.07;6966.88;6966.88;6966.88;1472.81;1472.81;1472.81;115.59;0.0;8788.0;462.25;4031.38;4031.38;871.58;0.0;5315.0;8393.35;8067.92;325.43;13452.95;-1495.76;981.89;0.0
10.0;100.09;30000.56;12471.07;6966.88;6966.88;6966.88;1408.97;1472.81;1472.81;304.18;0.0;8788.0;1.45;4031.38;4031.38;879.49;0.0;5315.0;8998.99;8647.68;351.3;13452.95;-561.97;981.89;0.0
