Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;84.35;30000.3;11336.15;7258.09;7258.09;7258.09;917.16;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;662.99;0.0;8300.0;8774.76;8430.88;343.88;11249.08;-63.47;-87.06;0.0
2.0;75.19;30000.3;11336.15;6899.31;7258.09;7258.09;631.08;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;921.42;0.0;8300.0;8485.28;8152.0;333.28;11249.08;33.47;-87.06;0.0
3.0;72.69;30000.3;11336.15;6585.81;7258.09;7258.09;552.7;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;1258.29;0.0;8300.0;8294.44;7968.46;325.99;11249.08;-102.35;-87.06;0.0
4.0;71.43;30000.3;11336.15;6429.02;7258.09;7258.09;513.51;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;1589.57;0.0;8300.0;8194.5;7872.35;322.16;11249.08;-337.59;-87.06;0.0
5.0;71.3;30000.3;11336.15;6412.11;7258.09;7258.09;509.28;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;1994.74;0.0;8300.0;8362.81;8034.03;328.78;11249.08;-553.32;-87.06;0.0
6.0;73.26;30000.3;11336.15;6657.77;7258.09;7258.09;570.69;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;2319.7;0.0;8300.0;8880.79;8531.81;348.98;11249.08;-667.37;-87.06;0.0
7.0;88.44;30000.3;11336.15;7258.09;7258.09;7258.09;1045.01;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;2609.64;0.0;8300.0;9790.45;9407.15;383.3;11249.08;-1122.29;-87.06;0.0
8.0;118.45;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;1.15;0.0;18662.0;230.66;2429.19;2429.19;2935.3;0.0;8300.0;11276.42;10838.2;438.22;11249.08;-797.66;-87.06;0.0
9.0;127.73;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;604.99;0.0;18662.0;346.69;2429.19;2429.19;3049.95;0.0;8300.0;12063.3;11595.58;467.72;11249.08;-845.29;-87.06;0.0
10.0;100.09;30000.3;11336.15;7258.09;7258.09;7258.09;1408.97;1648.88;1648.88;2532.6;0.0;18662.0;1.09;2429.19;2429.19;3048.47;0.0;8300.0;11984.52;11516.67;467.85;11249.08;-2264.68;-87.06;0.0
11.0;74.61;30000.3;11336.15;6825.89;7258.09;7258.09;612.72;1648.88;1648.88;4952.73;0.0;18662.0;0.0;2429.19;2429.19;3125.69;0.0;8300.0;11543.06;11089.61;453.45;11249.08;-3973.97;-87.06;0.0
12.0;610.98;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;1875.09;0.0;18662.0;2429.19;2429.19;2429.19;830.08;0.0;8300.0;16101.03;15552.01;549.02;11249.08;2059.71;-87.06;0.0
13.0;64.49;30000.3;11336.15;5561.01;7258.09;7258.09;296.5;1648.88;1648.88;7171.92;0.0;18662.0;0.0;2429.19;2429.19;3606.68;0.0;8300.0;11353.83;10907.16;446.67;11249.08;-5282.28;-87.06;0.0
14.0;63.53;30000.3;11336.15;5441.48;7258.09;7258.09;266.62;1648.88;1648.88;7018.32;0.0;18662.0;0.0;2429.19;2429.19;3863.16;0.0;8300.0;11490.79;11038.8;451.98;11249.08;-5098.79;-87.06;0.0
15.0;68.5;30000.3;11336.15;6062.24;7258.09;7258.09;421.81;1648.88;1648.88;5549.7;0.0;18662.0;0.0;2429.19;2429.19;4166.22;0.0;8300.0;11730.53;11269.37;461.16;11249.08;-4469.44;-87.06;0.0
16.0;80.47;30000.3;11336.15;7258.09;7258.09;7258.09;795.95;1648.88;1648.88;3040.08;0.0;18662.0;0.0;2429.19;2429.19;4407.63;0.0;8300.0;12035.18;11563.08;472.1;11249.08;-3466.56;-87.06;0.0
17.0;122.22;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;652.47;0.0;18662.0;277.77;2429.19;2429.19;4575.34;0.0;8300.0;12649.67;12158.54;491.13;11249.08;-1762.88;-87.06;0.0
18.0;294.33;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;0.01;0.0;18662.0;2429.17;2429.19;2429.19;830.08;0.0;8300.0;16383.57;16383.54;0.03;11249.08;4217.34;-87.06;896.47
19.0;1865.45;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;0.0;0.0;18662.0;2429.19;2429.19;2429.19;830.08;0.0;8300.0;15666.23;15600.0;66.23;11249.08;3500.0;-87.06;0.0
20.0;132.07;30000.3;11336.15;7258.09;7258.09;7258.09;1648.88;1648.88;1648.88;0.0;0.0;18662.0;400.88;2429.19;2429.19;4973.61;0.0;8300.0;12529.64;12044.36;485.28;11249.08;-1751.82;-87.06;0.0
21.0;102.87;30000.3;11336.15;7258.09;7258.09;7258.09;1495.79;1648.88;1648.88;0.0;0.0;18662.0;35.81;2429.19;2429.19;5091.11;0.0;8300.0;11933.89;11468.33;465.56;11249.08;-1946.91;-87.06;0.0
22.0;85.2;30000.3;11336.15;7258.09;7258.09;7258.09;943.68;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;5221.81;0.0;8300.0;11346.68;10902.1;444.58;11249.08;-2076.9;-87.06;0.0
23.0;74.53;30000.3;11336.15;6816.15;7258.09;7258.09;610.29;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;5364.77;0.0;8300.0;10661.44;10242.61;418.82;11249.08;-2129.77;-87.06;0.0
24.0;70.69;30000.3;11336.15;6336.01;7258.09;7258.09;490.25;1648.88;1648.88;0.0;0.0;18662.0;0.0;2429.19;2429.19;5476.38;0.0;8300.0;9920.08;9530.02;390.07;11249.08;-2382.56;-87.06;0.0
