Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;1;32;292.72962039100605;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7429.051322299328;12006.12127555782;12006.12127555782;34091.19776034292;39329.66255027347;39329.66255027347;4818.240860377645;11686.8210337932;11686.8210337932;4470.983257634117;0.0;13700.0;0.7382525758896762;0.0;15403.0;-56810.21144449476;-54697.92;-2112.291444494758;0.0;17629.87;5999.999999999999;-3443.0999429123794
2;1;32;286.20276390332606;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7225.0870385131275;12006.12127555782;12006.12127555782;33275.34082955019;39329.66255027347;39329.66255027347;4655.069438689071;11686.8210337932;11686.8210337932;4476.072925502449;0.0;13700.0;0.7515304999164688;0.0;15403.0;-55632.3217542559;-53560.32;-2072.001754255898;0.0;17629.87;6000.000000000004;-3443.0999429123794
3;1;32;282.33850377494184;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7104.328898837323;12006.12127555782;12006.12127555782;32792.308388297366;39329.66255027347;39329.66255027347;4558.462930019609;11686.8210337932;11686.8210337932;4578.327632450188;0.0;13700.0;0.7495388113124498;0.0;15403.0;-55034.17738005281;-52982.4;-2051.7773800528084;0.0;17629.87;5999.999999999993;-3443.0999429123794
4;1;32;282.53003617119276;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7110.314286778595;12006.12127555782;12006.12127555782;32816.24993390686;39329.66255027347;39329.66255027347;4563.251240211839;11686.8210337932;11686.8210337932;4586.425027841731;0.0;13700.0;0.7097050392320716;0.0;15403.0;-55076.95018540815;-53023.68;-2053.2701854081524;0.0;17629.87;5999.9999999999945;-3443.0999429123794
5;1;32;286.42569377801027;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7232.053598448717;12006.12127555782;12006.12127555782;33303.20705428236;39329.66255027347;39329.66255027347;4660.642686249479;11686.8210337932;11686.8210337932;4779.582895150634;0.0;13700.0;0.7229829632588645;0.0;15403.0;-55976.2092085784;-53891.52;-2084.6892085784084;0.0;17629.87;5999.99999999999;-3443.0999429123794
6;1;32;302.40766998877376;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7731.490401870182;12006.12127555782;12006.12127555782;35300.953751698806;39329.66255027347;39329.66255027347;5060.192115502497;11686.8210337932;11686.8210337932;5155.94348398884;0.0;13700.0;0.7024021810173356;0.0;15403.0;-59249.282146128695;-57051.84;-2197.4421461286997;0.0;17629.87;6000.000000000008;-3443.0999429123794
7;1;32;342.6286214381394;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8988.395064940843;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;6065.715858363862;11686.8210337932;11686.8210337932;5828.870947441156;0.0;13700.0;0.7097050392320716;0.0;15403.0;-66213.35411789174;-63783.36;-2429.994117891736;0.0;17629.87;6000.0000000000055;-3443.0999429123794
8;1;32;456.80144277826776;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.12127552154;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;8920.03638516298;11686.8210337932;11686.8210337932;6395.747914755252;0.0;13700.0;2.026211206488154;0.0;15403.0;-72653.59433104063;-70067.52;-2586.0743310406256;0.0;17629.87;6000.0;-3443.0999429123794
9;1;32;565.2992123547467;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557804;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;11632.480610036242;11686.8210337932;11686.8210337932;6820.800338897352;0.0;13700.0;76.62889124722452;0.0;15403.0;-75865.69366003397;-73245.12;-2620.573660033969;0.0;17629.87;6000.000000000018;-3443.0999429123794
10;1;32;954.4944627490203;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557796;12006.12127555782;12006.12127555782;39329.66255027377;39329.66255027347;39329.66255027347;11686.821033793021;11686.8210337932;11686.8210337932;7368.332121568832;0.0;13700.0;383.19624013982855;0.0;15403.0;-76774.13316214476;-74413.44;-2360.693162144762;0.0;17629.87;5999.999940811625;-3443.0999429123794
11;1;32;878.9686139294623;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557796;12006.12127555782;12006.12127555782;39329.66255027377;39329.66255027347;39329.66255027347;11686.821033793018;11686.8210337932;11686.8210337932;7987.988839684999;0.0;13700.0;694.3477923026819;0.0;15403.0;-77704.9413462544;-75258.23999999999;-2446.7013462544087;0.0;17629.87;5999.99985464223;-3443.0999429123794
12;1;32;1109.9944042963564;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557816;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;11686.821033793116;11686.8210337932;11686.8210337932;8549.535891490817;0.0;13700.0;900.0454079485477;0.0;15403.0;-78472.1861408931;-76178.87999999999;-2293.306140893111;0.0;17629.87;5999.999981829251;-3443.0999429123794
13;1;32;704.6579061333853;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557816;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;11686.821033793069;11686.8210337932;11686.8210337932;8972.834322580366;0.0;13700.0;930.4565012433123;0.0;15403.0;-78925.8956167401;-76306.56;-2619.335616740112;0.0;17629.87;5999.999933291949;-3443.0999429123794
14;1;32;551.7990390254771;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557814;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;11294.97629103142;11686.8210337932;11686.8210337932;9379.846557615074;0.0;13700.0;795.1312190432476;0.0;15403.0;-78805.73788758757;-76073.28;-2732.457887587569;0.0;17629.87;5999.999999999997;-3443.0999429123794
15;1;32;539.2834318950607;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557814;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;10982.086112778823;11686.8210337932;11686.8210337932;9831.687520015754;0.0;13700.0;558.6806035589273;0.0;15403.0;-78708.23805625235;-75969.59999999999;-2738.638056252355;0.0;17629.87;6000.000000000006;-3443.0999429123794
16;1;32;504.11709034710617;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557814;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;10102.92757412523;11686.8210337932;11686.8210337932;10033.342371978522;0.0;13700.0;300.8930280597538;0.0;15403.0;-77772.94679407071;-75040.31999999999;-2732.626794070717;0.0;17629.87;6000.0000000000055;-3443.0999429123794
17;1;32;475.62088433865256;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275557643;12006.12127555782;12006.12127555782;39329.66255027352;39329.66255027347;39329.66255027347;9390.522423952443;11686.8210337932;11686.8210337932;10175.765372639224;0.0;13700.0;65.10697267297441;0.0;15403.0;-76967.17858917887;-74241.59999999999;-2725.578589178883;0.0;17629.87;5999.999999999997;-3443.0999429123794
18;1;32;512.7312256934888;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.12127555781;12006.12127555782;12006.12127555782;39329.66255027354;39329.66255027347;39329.66255027347;10318.280957780415;11686.8210337932;11686.8210337932;10266.968688149518;0.0;13700.0;1.3749290329743877;0.0;15403.0;-77922.40839487013;-75191.04;-2731.368394870138;0.0;17629.87;6000.0;-3443.0999429123794
19;1;32;529.531252185373;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.12127555781;12006.12127555782;12006.12127555782;39329.66255027354;39329.66255027347;39329.66255027347;10738.281620061416;11686.8210337932;11686.8210337932;10177.513807263085;0.0;13700.0;0.8438120719026784;0.0;15403.0;-78252.42305930067;-75522.23999999999;-2730.1830593006675;0.0;17629.87;5999.9999999999945;-3443.0999429123794
20;1;32;452.99135624066326;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;12006.121275415828;12006.12127555782;12006.12127555782;39329.66255027346;39329.66255027347;39329.66255027347;8824.784221590464;11686.8210337932;11686.8210337932;10028.942566870648;0.0;13700.0;0.7833975175807714;0.0;15403.0;-76190.29400575651;-73475.52;-2714.774005756511;0.0;17629.87;5999.999999999986;-3443.0999429123794
21;1;32;368.88699084545397;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9808.969109169704;12006.12127555782;12006.12127555782;39329.66255027346;39329.66255027347;39329.66255027347;6722.175093851386;11686.8210337932;11686.8210337932;9949.53979546425;0.0;13700.0;0.7707834897553183;0.0;15403.0;-71811.11732385264;-69193.92;-2617.1973238526443;0.0;17629.87;6000.000000365162;-3443.0999429123794
22;1;32;319.3181776303511;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8259.94382778406;12006.12127555782;12006.12127555782;37414.766768419126;39329.66255027347;39329.66255027347;5482.954838372176;11686.8210337932;11686.8210337932;10059.271824203264;0.0;13700.0;0.7369247834869967;0.0;15403.0;-67217.67417365884;-64735.68;-2481.994173658845;0.0;17629.87;5999.999999999993;-3443.0999429123794
23;1;32;305.6439884104853;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7832.625372560994;12006.12127555782;12006.12127555782;35705.49341197028;39329.66255027347;39329.66255027347;5141.100086311841;11686.8210337932;11686.8210337932;9635.854813301712;0.0;13700.0;0.7462193303057517;0.0;15403.0;-64315.81989410817;-61932.479999999996;-2383.3398941081737;0.0;17629.87;5999.999999999986;-3443.0999429123794
24;1;32;287.45088462802903;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7264.090825687001;12006.12127555782;12006.12127555782;33431.355816103955;39329.66255027347;39329.66255027347;4686.27246426539;11686.8210337932;11686.8210337932;9673.57122236023;0.0;13700.0;0.6977549076079582;0.0;15403.0;-61055.98807464098;-58782.72;-2273.268074640985;0.0;17629.87;5999.999999999985;-3443.0999429123794
25;2;116;257.13658777917533;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6316.768958420074;12006.12127555782;12006.12127555782;29642.069350292546;39329.66255027347;39329.66255027347;3928.414996547521;11686.8210337932;11686.8210337932;728.7495275561014;0.0;13700.0;0.8192479124531118;0.0;15403.0;-46616.822073200114;-44867.52;-1749.3020732001178;0.0;17629.87;5999.999999999995;-3443.0999429123794
26;2;116;254.19145243867032;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6224.73347037369;12006.12127555782;12006.12127555782;29273.92749339329;39329.66255027347;39329.66255027347;3854.7866086036543;11686.8210337932;11686.8210337932;696.4989067071164;0.0;13700.0;0.6984188038092978;0.0;15403.0;-46050.64489046325;-44321.28;-1729.3648904632496;0.0;17629.87;5999.999999999996;-3443.0999429123794
27;2;116;256.6659147469811;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6302.060424860457;12006.12127555782;12006.12127555782;29583.235230426948;39329.66255027347;39329.66255027347;3916.648170075096;11686.8210337932;11686.8210337932;672.8459398315637;0.0;13700.0;0.6167595710445224;0.0;15403.0;-46475.40651725311;-44731.2;-1744.2065172531145;0.0;17629.87;5999.999999999997;-3443.0999429123794
28;2;116;262.78205765382404;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6493.189907299025;12006.12127555782;12006.12127555782;30347.75297740838;39329.66255027347;39329.66255027347;4069.5517512447336;11686.8210337932;11686.8210337932;690.44207224713;0.0;13700.0;0.645307107702127;0.0;15403.0;-47601.58200758349;-45817.92;-1783.662007583497;0.0;17629.87;5999.999999999999;-3443.0999429123794
29;2;116;281.1420189976645;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7066.938752464135;12006.12127555782;12006.12127555782;32642.747772564868;39329.66255027347;39329.66255027347;4528.550812062899;11686.8210337932;11686.8210337932;737.8702914293627;0.0;13700.0;2.166957201172128;0.0;15403.0;-50978.274577321536;-49077.119999999995;-1901.1545773215398;0.0;17629.87;6000.0;-3443.0999429123794
30;2;116;318.1125067937114;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8222.266606838351;12006.12127555782;12006.12127555782;37264.05796982288;39329.66255027347;39329.66255027347;5452.8130636717715;11686.8210337932;11686.8210337932;755.1465053937939;0.0;13700.0;141.14698798961078;0.0;15403.0;-57835.43112390463;-55699.2;-2136.2311239046344;0.0;17629.87;6000.000000000002;-3443.0999429123794
31;2;116;360.0606213814909;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9533.145063327007;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;6501.515857018001;11686.8210337932;11686.8210337932;702.9627416676765;0.0;13700.0;869.2851052518785;0.0;15403.0;-62936.571309365936;-60637.439999999995;-2299.1313093659423;0.0;17629.87;6000.0;-3443.0999429123794
32;2;116;396.9619809576882;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;10686.312549929473;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;7424.0498463538925;11686.8210337932;11686.8210337932;571.4225267742249;0.0;13700.0;2107.0412328978737;0.0;15403.0;-66118.488698062;-63726.72;-2391.7686980620124;0.0;17629.87;6000.0000000000055;-3443.0999429123794
33;2;116;381.384970215874;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;10199.530964225574;12006.12127555782;12006.12127555782;39329.662550273344;39329.66255027347;39329.66255027347;7034.624577798394;11686.8210337932;11686.8210337932;486.8090372747416;0.0;13700.0;3542.424653966247;0.0;15403.0;-66593.05177537225;-64174.079999999994;-2418.971775372256;0.0;17629.87;5999.9999999999945;-3443.0999429123794
34;2;116;377.43199365945804;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;10076.000446795839;12006.12127555782;12006.12127555782;39329.66255027199;39329.66255027347;39329.66255027347;6935.800163868696;11686.8210337932;11686.8210337932;489.9063172601417;0.0;13700.0;4591.192105561695;0.0;15403.0;-67422.56157559474;-64970.88;-2451.6815755947446;0.0;17629.87;6000.000000000003;-3443.0999429123794
35;2;116;381.4478703773133;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;10201.496594187769;12006.12127555782;12006.12127555782;39329.66255027199;39329.66255027347;39329.66255027347;7036.197081796605;11686.8210337932;11686.8210337932;551.9723495897299;0.0;13700.0;5153.249949096838;0.0;15403.0;-68272.57851678063;-65792.64;-2479.938516780625;0.0;17629.87;5999.999999999994;-3443.0999429123794
36;2;116;368.34454784048876;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9792.01776494605;12006.12127555782;12006.12127555782;39329.662550272944;39329.66255027347;39329.66255027347;6708.614018391829;11686.8210337932;11686.8210337932;612.0762565925759;0.0;13700.0;5162.689225287483;0.0;15403.0;-67605.05980732672;-65140.799999999996;-2464.2598073267227;0.0;17629.87;6000.00000000001;-3443.0999429123794
37;2;116;343.50889035789794;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9015.903468681468;12006.12127555782;12006.12127555782;39329.662550272944;39329.66255027347;39329.66255027347;6087.72258135689;11686.8210337932;11686.8210337932;681.3700990256829;0.0;13700.0;5124.021254936659;0.0;15403.0;-66238.67994610732;-63808.32;-2430.3599461073236;0.0;17629.87;6000.000000000001;-3443.0999429123794
