Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;1;32;109.75746637133935;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1711.1553679434146;2145.203441041757;2145.203441041757;9570.828799173201;9570.828799172587;9570.828799172587;162.62090929020385;2899.0751003770793;2899.0751003770793;1109.3473640242632;0.0;5315.0;0.0;0.0;8788.0;-10053.952907816813;-9662.4;-391.55290781681373;0.0;15468.46;-2500.0000000000355;853.3526925324056
2;1;32;102.19268237249238;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1474.7558674358756;2145.203441041757;2145.203441041757;9570.828799173138;9570.828799172587;9570.828799172587;36.54117559154333;2899.0751003770793;2899.0751003770793;1121.946690129268;0.0;5315.0;0.0;0.0;8788.0;-9704.07299974822;-9325.44;-378.6329997482183;0.0;15468.46;-2500.000000000194;853.3526925324056
3;1;32;98.57475170552803;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1361.741728046264;2145.203441041757;2145.203441041757;9570.828799153436;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;1123.4897339055615;0.0;5315.0;0.0;0.0;8788.0;-9328.795095590309;-8964.48;-364.3150955903089;0.0;15468.46;-2727.2642298380556;853.3526925324056
4;1;32;98.67216888521317;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1364.7846227704554;2145.203441041757;2145.203441041757;9570.828799157578;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;1035.8835334099108;0.0;5315.0;0.0;0.0;8788.0;-9129.982356034605;-8773.44;-356.54235603460495;0.0;15468.46;-2841.5137012196656;853.3526925324056
5;1;32;99.95268141239909;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1404.8146522459065;2145.203441041757;2145.203441041757;9570.828799173003;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;1034.4284123559132;0.0;5315.0;0.0;0.0;8788.0;-9187.807359846127;-8829.119999999999;-358.6873598461278;0.0;15468.46;-2822.263227562448;853.3526925324056
6;1;32;103.01298993446262;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1500.470756800265;2145.203441041757;2145.203441041757;9570.828799173152;9570.828799172587;9570.828799172587;50.2313645026836;2899.0751003770793;2899.0751003770793;1053.5779812719638;0.0;5315.0;0.0;0.0;8788.0;-9667.031445965129;-9289.92;-377.1114459651287;0.0;15468.46;-2508.0754673735164;853.3526925324056
7;1;32;121.15367062096156;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2067.286752420741;2145.203441041757;2145.203441041757;9570.828799173223;9570.828799172587;9570.828799172587;352.55764715373806;2899.0751003770793;2899.0751003770793;1208.348349329465;0.0;5315.0;0.0;0.0;8788.0;-10699.022015414086;-10283.52;-415.5020154140865;0.0;15468.46;-2500.0000000000814;853.3526925324056
8;1;32;148.03241074220946;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410416404;2145.203441041757;2145.203441041757;9570.828799173236;9570.828799172587;9570.828799172587;800.5326900339006;2899.0751003770793;2899.0751003770793;1547.2904437802222;0.0;5315.0;0.0;0.0;8788.0;-11563.85635878227;-11117.76;-446.0963587822694;0.0;15468.46;-2500.0000000012847;853.3526925324056
9;1;32;170.60063203168195;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410417577;2145.203441041757;2145.203441041757;9570.82879917324;9570.828799172587;9570.828799172587;1176.6779842662354;2899.0751003770793;2899.0751003770793;1861.9746591495357;0.0;5315.0;5.068043537161093;0.0;8788.0;-12033.435796025098;-11571.84;-461.5957960250974;0.0;15468.46;-2726.3174893134737;853.3526925324056
10;1;32;165.58444141739918;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410417427;2145.203441041757;2145.203441041757;9570.82879917324;9570.828799172587;9570.828799172587;1093.074909960438;2899.0751003770793;2899.0751003770793;1971.58352089974;0.0;5315.0;96.25819365114954;0.0;8788.0;-12177.802007603488;-11710.08;-467.7220076034879;0.0;15468.46;-2699.147295583434;853.3526925324056
