Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;1;32;99.91573951063948;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1403.616862602181;2792.8796582602117;2792.8796582602117;9989.467426494615;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;3759.2615391;0.0;8300.0;0.0;0.0;18662.0;-11652.345828143803;-11197.439999999999;-454.90582814380554;0.0;17169.93;-3499.999999999961;2589.7472503802774
2;1;32;100.2163910580772;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1413.0122407311487;2792.8796582602117;2792.8796582602117;10027.048777580458;10670.46469872711;10670.46469872711;2.7048897163156878;1116.838430358062;1116.838430358062;3252.0038436;0.0;8300.0;0.0;0.0;18662.0;-11194.769751220849;-10757.76;-437.0097512208494;0.0;17169.93;-3499.999999999816;2589.7472503802774
3;1;32;98.57121788476861;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1361.5988511665375;2792.8796582602117;2792.8796582602117;9821.203858830544;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;3030.1384609;0.0;8300.0;0.0;0.0;18662.0;-10940.20546549156;-10512.96;-427.24546549155923;0.0;17169.93;-3272.735770161942;2589.7472503802774
4;1;32;98.66872716443827;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1364.645926715767;2792.8796582602117;2792.8796582602117;9833.398259326774;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;2797.7384608999996;0.0;8300.0;0.0;0.0;18662.0;-10837.29641602246;-10414.08;-423.2164160224608;0.0;17169.93;-3158.4862987803303;2589.7472503802774
5;1;32;99.94831358586909;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1404.6338920237672;2792.8796582602117;2792.8796582602117;9993.288878037605;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;2703.8846172999997;0.0;8300.0;0.0;0.0;18662.0;-10924.070651661441;-10497.6;-426.47065166144114;0.0;17169.93;-3177.73677243754;2589.7472503802774
6;1;32;103.00519269239234;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1500.157879867938;2792.8796582602117;2792.8796582602117;10375.220489191775;10670.46469872711;10670.46469872711;37.56439769982513;1116.838430358062;1116.838430358062;2975.2307654;0.0;8300.0;0.0;0.0;18662.0;-11396.249166448788;-10951.68;-444.56916644878805;0.0;17169.93;-3491.9245326264895;2589.7472503802774
7;1;32;116.43582594418409;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1919.8790534431903;2792.8796582602117;2792.8796582602117;10670.464698727932;10670.46469872711;10670.46469872711;205.44892539402397;1116.838430358062;1116.838430358062;3238.5961564;0.0;8300.0;0.0;0.0;18662.0;-12534.388470955928;-12047.039999999999;-487.34847095592977;0.0;17169.93;-3499.999999999932;2589.7472503802774
8;1;32;146.9934203354855;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.879658252597;2792.8796582602117;2792.8796582602117;10670.464698727945;10670.46469872711;10670.46469872711;587.4212277017157;1116.838430358062;1116.838430358062;3558.4653827;0.0;8300.0;0.0;0.0;18662.0;-14109.229839561278;-13564.8;-544.4298395612778;0.0;17169.93;-3499.999999998702;2589.7472503802774
9;1;32;180.90638813850154;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.8796582605105;2792.8796582602117;2792.8796582602117;10670.464698727947;10670.46469872711;10670.46469872711;1011.3281698768643;1116.838430358062;1116.838430358062;4109.4576955;0.0;8300.0;2.7992999999999997;0.0;18662.0;-15313.247150835223;-14727.359999999999;-585.887150835224;0.0;17169.93;-3273.6825106865467;2589.7472503802774
10;1;32;176.16451909266917;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.8796582605105;2792.8796582602117;2792.8796582602117;10670.464698727947;10670.46469872711;10670.46469872711;952.0546993754638;1116.838430358062;1116.838430358062;4602.35;0.0;8300.0;66.2501;0.0;18662.0;-15783.146629192557;-15178.56;-604.5866291925583;0.0;17169.93;-3300.85267905501;2589.7472503802774
