Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.67576816643164;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;989.8489768531203;1428.8264829064044;1428.8264829064044;6855.422859931904;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.26850196585;-7790.6903999999995;-317.5781019658503;0.0;15468.46;-161.55641458691022;0.0
2;75.15390043247173;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;629.7197431768914;1428.8264829064044;1428.8264829064044;6855.422859935174;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.238789666301;-7439.099999999999;-304.13878966630193;0.0;15468.46;-331.9498438440205;0.0
3;72.07882517785407;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;533.6672104579688;1428.8264829064044;1428.8264829064044;6508.610711184555;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.134393229519;-7106.3712;-290.76319322951986;0.0;15468.46;-450.9022618216362;0.0
4;70.50158385036896;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;484.4184969425645;1428.8264829064044;1428.8264829064044;6312.321493913648;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488396951102;-6980.7504;-285.7379969511022;0.0;15468.46;-548.1481002965967;0.0
5;70.19661724985409;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;474.89113345475346;1428.8264829064044;1428.8264829064044;6274.214123616645;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.737974242078;-6956.951999999999;-284.7859742420792;0.0;15468.46;-784.7250377517282;0.0
6;72.12754262277652;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;535.2112553216627;1428.8264829064044;1428.8264829064044;6515.049059217762;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468957460015;-7172.0232;-293.4457574600156;0.0;15468.46;-1070.238701310031;0.0
7;86.61133936984584;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;987.8355535626417;1428.8264829064044;1428.8264829064044;6855.4228599362505;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.75446470243;-7543.2576;-307.49686470243;0.0;15468.46;-1663.6163581678152;0.0
8;118.46087230344557;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829053885;1428.8264829064044;1428.8264829064044;6855.4228599362505;6855.422859936213;6855.422859936213;307.67029011461506;7184.225239402064;7184.225239402064;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.363469557282;-7813.4448;-315.9186695572817;0.0;15468.46;-2342.750313527945;0.0
9;133.15838061234453;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829031878;1428.8264829064044;1428.8264829064044;6855.4228599362505;6855.422859936213;6855.422859936213;552.6287598557465;7184.225239402064;7184.225239402064;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.891765914443;-8067.9192;-324.972565914442;0.0;15468.46;-2681.951289690632;0.0
10;108.92431802849717;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829059742;1428.8264829064044;1428.8264829064044;6855.4228599362505;6855.422859936213;6855.422859936213;148.72771684681373;7184.225239402064;7184.225239402064;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.190601239641;-8647.6824;-350.508201239642;0.0;15468.46;-2579.517364784782;0.0
