Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.67839964149412;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;989.9592261660378;1579.1099222749274;1579.1099222749274;7125.818145644146;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.558907723802;-8430.884307839999;-343.67459988380335;0.0;17169.93;-89.67991547360343;0.0
2;75.16401250709154;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;630.1143134881993;1579.1099222749274;1579.1099222749274;6895.137691017484;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.27886561073;-8151.99507648;-333.2837891307302;0.0;17169.93;43.48827709224767;0.0
3;72.10062739227253;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;534.4460919561284;1579.1099222749274;1579.1099222749274;6513.728363605857;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.492221279916;-7968.45784608;-326.034375199916;0.0;17169.93;72.47222964048069;0.0
4;70.49952588945146;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;484.3508469631661;1579.1099222749274;1579.1099222749274;6311.819430450059;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578401396753;-7872.345230399999;-322.23317099675444;0.0;17169.93;-105.43814575515547;0.0
5;70.19177276811077;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;474.72566170218886;1579.1099222749274;1579.1099222749274;6273.052394329866;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906575386525;-8034.029538240001;-328.8770371465248;0.0;17169.93;-187.37169023813863;0.0
6;72.13376602833759;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;535.4399912405304;1579.1099222749274;1579.1099222749274;6516.489151716945;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893097867522;-8531.811692160001;-349.08140570751954;0.0;17169.93;-208.34362084293744;0.0
7;86.61396913820961;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;987.9456932951585;1579.1099222749274;1579.1099222749274;7125.81814564409;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.62990259443;-9407.152615680001;-383.4772869144297;0.0;17169.93;-592.7492368661368;0.0
8;118.46346131485413;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222749326;1579.1099222749274;1579.1099222749274;7125.818145644092;7125.818145644147;7125.818145644147;230.78976059695833;8464.996380352493;8464.996380352493;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.414189168838;-10838.1969216;-438.217267568838;0.0;17169.93;-128.72697708025342;0.0
9;133.16096954390815;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222749388;1579.1099222749274;1579.1099222749274;7125.818145644092;7125.818145644147;7125.818145644147;414.50861166210484;8464.996380352493;8464.996380352493;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.646618605535;-11595.5815392;-467.0650794055351;0.0;17169.93;266.48017705695446;0.0
10;108.9269071917428;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222727155;1579.1099222749274;1579.1099222749274;7125.818145644092;7125.818145644147;7125.818145644147;111.58283267661876;8464.996380352493;8464.996380352493;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.461405734;-11516.667696;-466.7937097340005;0.0;17169.93;-235.73081771465243;0.0
