Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.7519084020235;0.0;0.0;0.0;0.0;992.2340960797616;1424.4826973408676;1424.4826973408676;6851.5525434056;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.262315167399;-6492.242;-1616.0203151673984;0.0;0.0;-160.07856012835376;0.0
2;75.06660267092867;0.0;0.0;0.0;0.0;627.0660302045337;1424.4826973408676;1424.4826973408676;6851.552543369103;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.24553638719;-6199.25;-1543.9955363871902;0.0;0.0;-325.41883586729784;0.0
3;72.08905501265154;0.0;0.0;0.0;0.0;534.0288016702249;1424.4826973408676;1424.4826973408676;6511.022577770985;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133627863409;-5921.976000000001;-1475.1576278634084;0.0;0.0;-453.67581189944303;0.0
4;70.50021489383755;0.0;0.0;0.0;0.0;484.378652511504;1424.4826973408676;1424.4826973408676;6312.448891454333;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488494733908;-5817.292;-1449.1964947339077;0.0;0.0;-548.2358049299266;0.0
5;70.19354014530602;0.0;0.0;0.0;0.0;474.7938309877932;1424.4826973408676;1424.4826973408676;6274.0830595020225;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738195495056;-5797.46;-1444.2781954950563;0.0;0.0;-784.4969320304984;0.0
6;72.12936107461566;0.0;0.0;0.0;0.0;535.2858362319404;1424.4826973408676;1424.4826973408676;6515.9978395752405;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468815832194;-5976.686000000001;-1488.7828158321938;0.0;0.0;-1071.2624278437772;0.0
7;86.68744745705672;0.0;0.0;0.0;0.0;990.2196826132823;1424.4826973408676;1424.4826973408676;6851.55254340521;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.748476916227;-6286.048000000001;-1564.7004769162265;0.0;0.0;-1662.137315005871;0.0
8;118.79254619202304;0.0;0.0;0.0;0.0;1424.4826973387032;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;313.20508202959155;3884.384028091512;3884.384028091512;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.336462005174;-6511.204000000001;-1618.1324620051735;0.0;0.0;-2340.099189662236;0.0
9;133.48995520485624;0.0;0.0;0.0;0.0;1424.4826973386425;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;558.161899076931;3884.384028091512;3884.384028091512;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.8638871003;-6723.2660000000005;-1669.597887100299;0.0;0.0;-2679.2993841244906;0.0
10;109.25585209588917;0.0;0.0;0.0;0.0;1424.4826973358718;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;154.2601806359959;3884.384028091512;3884.384028091512;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.160722688584;-7206.402000000001;-1791.758722688583;0.0;0.0;-2576.86678350174;0.0
