Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.74572433996205;0.0;0.0;0.0;0.0;992.017274835431;1561.3876360165893;1561.3876360165893;7096.743927045299;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.552986348595;-7025.7369232;-1748.8160631485944;0.0;0.0;-62.67172067257951;0.0
2;75.06076941081494;0.0;0.0;0.0;0.0;626.8603139707789;1561.3876360165893;1561.3876360165893;6881.59623603498;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.28762161435;-6793.329230400001;-1691.9583912143503;0.0;0.0;60.29052762857341;0.0
3;72.08890156903053;0.0;0.0;0.0;0.0;534.0229610043065;1561.3876360165893;1561.3876360165893;6510.987046785761;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493199047534;-6640.381538400001;-1654.1116606475339;0.0;0.0;75.63675883333751;0.0
4;70.4980571727004;0.0;0.0;0.0;0.0;484.30283205075625;1561.3876360165893;1561.3876360165893;6311.950644186936;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.57851797249;-6560.287692;-1634.2908259724907;0.0;0.0;-105.52172763585477;0.0
5;70.19054163483322;0.0;0.0;0.0;0.0;474.68846119518633;1561.3876360165893;1561.3876360165893;6273.390664631094;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906672444169;-6695.024615200001;-1667.8820572441684;0.0;0.0;-187.67330913803121;0.0
6;72.12620906557224;0.0;0.0;0.0;0.0;535.1748250414872;1561.3876360165893;1561.3876360165893;6515.269955472644;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893765528896;-7109.843076800001;-1771.0506887288943;0.0;0.0;-206.859735034943;0.0
7;86.68126272279866;0.0;0.0;0.0;0.0;990.0028326761111;1561.3876360165893;1561.3876360165893;7096.743927047605;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.62329862274;-7839.293846400001;-1951.3294522227397;0.0;0.0;-565.740815523959;0.0
8;118.78599193985377;0.0;0.0;0.0;0.0;1561.387636015798;1561.3876360165893;1561.3876360165893;7096.743927047607;7096.74392704971;7096.74392704971;234.81934004189975;1151.0135796054767;1151.0135796054767;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.377757882647;-9031.830768;-2244.5469898826477;0.0;0.0;-85.9986028842686;0.0
9;133.48340063516338;0.0;0.0;0.0;0.0;1561.387636015798;1561.3876360165893;1561.3876360165893;7096.743927047607;7096.74392704971;7096.74392704971;418.5369487512974;1151.0135796054767;1151.0135796054767;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.607653508294;-9662.984616;-2399.6230375082937;0.0;0.0;309.2072599363815;0.0
10;109.24929768559437;0.0;0.0;0.0;0.0;1561.3876360168717;1561.3876360165893;1561.3876360165893;7096.743927047607;7096.74392704971;7096.74392704971;115.61066199563486;1151.0135796054767;1151.0135796054767;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.422710682536;-9597.223080000002;-2386.199630682536;0.0;0.0;-193.00295700574023;0.0
11;79.86113628247274;0.0;0.0;0.0;0.0;776.873877155848;1561.3876360165893;1561.3876360165893;7096.743927044041;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.44968847546;-9241.34;-2301.1096884754597;0.0;0.0;-779.0284512723002;0.0
12;7927.526754693698;0.0;0.0;0.0;0.0;1561.3876360156387;1561.3876360165893;1561.3876360165893;7096.743927047779;7096.74392704971;7096.74392704971;1151.0135796054506;1151.0135796054767;1151.0135796054767;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-14915.74991308355;-12960.008000000002;-1955.7419130835474;0.0;0.0;2394.0540820439996;0.0
13;70.17208937195227;0.0;0.0;0.0;0.0;474.0835647921248;1561.3876360165893;1561.3876360165893;6270.365372423233;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.654214029724;-9089.301536;-2264.3526780297243;0.0;0.0;-690.7627621021272;0.0
14;70.29173675625427;0.0;0.0;0.0;0.0;477.8253323127093;1561.3876360165893;1561.3876360165893;6285.404029750312;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.669233360253;-9199.001536000002;-2291.667697360252;0.0;0.0;-525.9933461361654;0.0
15;72.43501744807392;0.0;0.0;0.0;0.0;544.8137728145497;1561.3876360165893;1561.3876360165893;6553.613138963668;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.421896921527;-9391.14;-2339.2818969215273;0.0;0.0;-231.83141197779423;0.0
16;79.91138324787956;0.0;0.0;0.0;0.0;778.4440983729933;1561.3876360165893;1561.3876360165893;7096.743927044521;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.251679117686;-9635.901536000001;-2399.3501431176855;0.0;0.0;-570.1137822275373;0.0
17;108.08877758138088;0.0;0.0;0.0;0.0;1561.3876360154854;1561.3876360165893;1561.3876360165893;7096.743927047607;7096.74392704971;7096.74392704971;101.10416174640784;1151.0135796054767;1151.0135796054767;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.458459619522;-10132.118464000001;-2519.33999561952;0.0;0.0;-420.4633171408269;0.0
18;16608.26498141273;0.0;0.0;0.0;0.0;1561.3876360162908;1561.3876360165893;1561.3876360165893;7096.743927044799;7096.74392704971;7096.74392704971;1151.013579605464;1151.0135796054767;1151.0135796054767;830.083;0.0;8300.0;0.0;0.0;18662.0;-15010.520642519412;-14400.008;-610.5126425194123;0.0;0.0;4371.29249984764;0.0
19;16040.450991529648;0.0;0.0;0.0;0.0;1561.3876360162908;1561.3876360165893;1561.3876360165893;7096.743927044799;7096.74392704971;7096.74392704971;1151.0135796054635;1151.0135796054767;1151.0135796054767;830.083;0.0;8300.0;0.0;0.0;18662.0;-13643.426713876612;-13000.0;-643.4267138766127;0.0;0.0;3004.1985712048177;0.0
20;126.08052800829645;0.0;0.0;0.0;0.0;1561.387636016244;1561.3876360165893;1561.3876360165893;7096.743927044627;7096.74392704971;7096.74392704971;326.0010424581932;1151.0135796054767;1151.0135796054767;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.389348608225;-10036.966152;-2493.4231966082243;0.0;0.0;-156.6302531079559;0.0
21;98.11222720867029;0.0;0.0;0.0;0.0;1347.2200196873782;1561.3876360165893;1561.3876360165893;7096.743927044627;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.458174688309;-9556.943080000001;-2377.515094688308;0.0;0.0;-195.27699315017898;0.0
22;80.26971314667324;0.0;0.0;0.0;0.0;789.6419148081767;1561.3876360165893;1561.3876360165893;7096.743927043668;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.236196488602;-9085.081536;-2262.154660488603;0.0;0.0;-197.03622934769703;0.0
23;72.7264323699528;0.0;0.0;0.0;0.0;553.9287614449155;1561.3876360165893;1561.3876360165893;6590.234007858867;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.630905920958;-8535.512304000002;-2126.118601920956;0.0;0.0;-66.18690851777595;0.0
24;69.37518935854071;0.0;0.0;0.0;0.0;449.20345688601947;1561.3876360165893;1561.3876360165893;6171.350886583818;7096.74392704971;7096.74392704971;0.0;1151.0135796054767;1151.0135796054767;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.21497093593;-7941.6815384;-1978.5334325359286;0.0;0.0;-124.18666691517456;0.0
