Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;292.72962931885854;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7429.051899756624;12018.860955899145;12018.860955899145;34091.19680608053;39343.31172740694;39343.31172740694;4818.241235928804;11743.404444708187;11743.404444708187;4470.983257634117;0.0;13700.0;0.7382525758896762;0.0;15403.0;-56810.211439552986;-54697.92;-2112.291439552991;0.0;17629.87;6000.00000000073;-5630.772836562952
2;286.2027725879236;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7225.08760026294;12018.860955899145;12018.860955899145;33275.33990137253;39343.31172740694;39343.31172740694;4655.069803997418;11743.404444708187;11743.404444708187;4476.072925502449;0.0;13700.0;0.7515304999164688;0.0;15403.0;-55632.32174954945;-53560.32;-2072.0017495494485;0.0;17629.87;5999.999999995347;-5630.772836562952
3;282.33851232027837;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7104.329451602058;12018.860955899145;12018.860955899145;32792.30747501908;39343.31172740694;39343.31172740694;4558.4632894808055;11743.404444708187;11743.404444708187;4578.327632450188;0.0;13700.0;0.7495388113124498;0.0;15403.0;-55034.177375472544;-52982.4;-2051.777375472542;0.0;17629.87;5999.999999998888;-5630.772836562952
4;282.5300447238441;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7110.314840015808;12018.860955899145;12018.860955899145;32816.2490198436;39343.31172740694;39343.31172740694;4563.251599981036;11743.404444708187;11743.404444708187;4586.425027841731;0.0;13700.0;0.7097050392320716;0.0;15403.0;-55076.95018082035;-53023.68;-2053.27018082035;0.0;17629.87;5999.99999999915;-5630.772836562952
5;286.425702481007;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7232.054161383645;12018.860955899145;12018.860955899145;33303.20612410241;39343.31172740694;39343.31172740694;4660.643052342354;11743.404444708187;11743.404444708187;4779.582895150634;0.0;13700.0;0.7229829632588645;0.0;15403.0;-55976.20920383289;-53891.52;-2084.689203832897;0.0;17629.87;5999.999999999164;-5630.772836562952
6;302.40767930652873;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7731.491004456004;12018.860955899145;12018.860955899145;35300.95275562929;39343.31172740694;39343.31172740694;5060.1925074527835;11743.404444708187;11743.404444708187;5155.94348398884;0.0;13700.0;0.7024021810173356;0.0;15403.0;-59249.2821407473;-57051.84;-2197.4421407473037;0.0;17629.87;5999.999999998984;-5630.772836562952
7;342.38879341695247;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8980.9007291455;12018.860955899145;12018.860955899145;39343.311727405984;39343.31172740694;39343.31172740694;6059.720294387269;11743.404444708187;11743.404444708187;5828.870947441156;0.0;13700.0;0.7097050392320716;0.0;15403.0;-66213.51345788945;-63783.36;-2430.1534578894452;0.0;17629.87;5999.99999999953;-5630.772836562952
8;455.7756921861856;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;12018.860955756913;12018.860955899145;12018.860955899145;39343.31172740626;39343.31172740694;39343.31172740694;8894.395367137773;11743.404444708187;11743.404444708187;6395.747914755252;0.0;13700.0;2.026211206488154;0.0;15403.0;-72654.34297172514;-70067.52;-2586.8229717251384;0.0;17629.87;5999.999999999413;-5630.772836562952
9;787.8607820855106;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;12018.860955898917;12018.860955899145;12018.860955899145;39343.311727406275;39343.31172740694;39343.31172740694;11743.404444707627;11743.404444708187;11743.404444708187;6820.800338897352;0.0;13700.0;76.62889124722452;0.0;15403.0;-75695.88591427958;-73245.12;-2450.765914279596;0.0;17629.87;5692.879553795129;-5630.772836562952
10;1060.2009694560754;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;12018.860955898885;12018.860955899145;12018.860955899145;39343.311727406945;39343.31172740694;39343.31172740694;11743.404444707781;11743.404444708187;11743.404444708187;7368.332121568832;0.0;13700.0;383.19624013982855;0.0;15403.0;-76692.19581712788;-74413.44;-2278.7558171278774;0.0;17629.87;5835.090329293438;-5630.772836562952
