Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;109.0972421427579;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1690.5368778664433;2166.3933557577525;2166.3933557577525;9602.51470885179;9602.514708851957;9602.514708851957;151.62027659767972;1196.4099511772965;1196.4099511772965;1109.3473640242632;0.0;5315.0;0.0;0.0;8788.0;-10054.019361772022;-9662.4;-391.6193617720224;0.0;15468.46;-2500.0000000081923;2503.700065476736
2;101.53240733195668;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1454.1360743355733;2166.3933557577525;2166.3933557577525;9602.51470885153;9602.514708851957;9602.514708851957;25.539528432833322;1196.4099511772965;1196.4099511772965;1121.946690129268;0.0;5315.0;0.0;0.0;8788.0;-9704.137141110454;-9325.44;-378.69714111045363;0.0;15468.46;-2500.000000064099;2503.700065476736
3;98.40340949152473;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1356.3697368238888;2166.3933557577525;2166.3933557577525;9602.514708850695;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;1123.4897339055615;0.0;5315.0;0.0;0.0;8788.0;-9328.811091643049;-8964.48;-364.3310916430499;0.0;15468.46;-2753.562745998766;2503.700065476736
4;98.50081935641116;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1359.412543339397;2166.3933557577525;2166.3933557577525;9602.514708850767;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;1035.8835334099108;0.0;5315.0;0.0;0.0;8788.0;-9129.998011852727;-8773.44;-356.55801185272696;0.0;15468.46;-2867.812475021604;2503.700065476736
5;99.78075011653507;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1399.4154042124871;2166.3933557577525;2166.3933557577525;9602.51470885128;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;1034.4284123559132;0.0;5315.0;0.0;0.0;8788.0;-9187.823167147035;-8829.119999999999;-358.70316714703546;0.0;15468.46;-2848.53488634111;2503.700065476736
6;102.86391907927242;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1495.7883117096371;2166.3933557577525;2166.3933557577525;9602.514708851622;9602.514708851957;9602.514708851957;47.74129399080153;1196.4099511772965;1196.4099511772965;1053.5779812719638;0.0;5315.0;0.0;0.0;8788.0;-9667.045867425042;-9289.92;-377.12586742504186;0.0;15468.46;-2532.574946477585;2503.700065476736
7;120.49353371413214;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2046.671177554562;2166.3933557577525;2166.3933557577525;9602.514708851868;9602.514708851957;9602.514708851957;341.558358360869;1196.4099511772965;1196.4099511772965;1208.348349329465;0.0;5315.0;0.0;0.0;8788.0;-10699.092731766792;-10283.52;-415.57273176679143;0.0;15468.46;-2500.000000035298;2503.700065476736
8;155.38835225111575;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.3933557576916;2166.3933557577525;2166.3933557577525;9602.514708851917;9602.514708851957;9602.514708851957;923.1365377691106;1196.4099511772965;1196.4099511772965;1547.2904437802222;0.0;5315.0;0.0;0.0;8788.0;-11563.004472583638;-11117.76;-445.24447258363796;0.0;15468.46;-2676.3306115781966;2503.700065476736
9;384.776040058711;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.3933557577457;2166.3933557577525;2166.3933557577525;9602.514708851944;9602.514708851957;9602.514708851957;1196.4099511772572;1196.4099511772965;1196.4099511772965;1861.9746591495357;0.0;5315.0;5.068043537161093;0.0;8788.0;-12007.61909613125;-11571.84;-435.7790961312492;0.0;15468.46;-2824.7416223554155;2503.700065476736
10;370.90761034662825;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.393355757745;2166.3933557577525;2166.3933557577525;9602.514708851944;9602.514708851957;9602.514708851957;1196.409951177256;1196.4099511772965;1196.4099511772965;1971.58352089974;0.0;5315.0;96.25819365114954;0.0;8788.0;-12152.756689689844;-11710.08;-442.67668968984367;0.0;15468.46;-2880.403040661014;2503.700065476736
