Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;99.9157400435117;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1403.6169106557786;2609.6328789834324;2609.6328789834324;9989.467378469892;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;3759.2615391;0.0;8300.0;0.0;0.0;18662.0;-11652.345828085045;-11197.439999999999;-454.90582808504536;0.0;17169.93;-3499.9999999908828;3127.0727710862084
2;100.21642075806419;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1413.0140318248918;2609.6328789834324;2609.6328789834324;10027.046439418427;10571.25733250115;10571.25733250115;2.7054591257903815;862.5209869924151;862.5209869924151;3252.0038436;0.0;8300.0;0.0;0.0;18662.0;-11194.76974809483;-10757.76;-437.0097480948294;0.0;17169.93;-3499.9999999387937;3127.0727710862084
3;98.40224322690975;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1356.3210999450955;2609.6328789834324;2609.6328789834324;9800.201662693076;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;3030.1384609;0.0;8300.0;0.0;0.0;18662.0;-10940.22397036741;-10512.96;-427.2639703674107;0.0;17169.93;-3246.4372540000004;3127.0727710862084
4;98.49974481839378;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1359.3678590753989;2609.6328789834324;2609.6328789834324;9812.39594718488;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;2797.7384608999996;0.0;8300.0;0.0;0.0;18662.0;-10837.314747670749;-10414.08;-423.23474767075004;0.0;17169.93;-3132.1875249774234;3127.0727710862084
5;99.77930745714252;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1399.3548747197856;2609.6328789834324;2609.6328789834324;9972.314767821805;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;2703.8846172999997;0.0;8300.0;0.0;0.0;18662.0;-10924.089132857453;-10497.6;-426.4891328574523;0.0;17169.93;-3151.46511365786;3127.0727710862084
6;102.85930570516996;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1495.6036707479936;2609.6328789834324;2609.6328789834324;10357.115055443297;10571.25733250115;10571.25733250115;35.741381352755475;862.5209869924151;862.5209869924151;2975.2307654;0.0;8300.0;0.0;0.0;18662.0;-11396.265810483694;-10951.68;-444.5858104836929;0.0;17169.93;-3467.4250535207234;3127.0727710862084
7;118.69717268120566;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1990.5366681870503;2609.6328789834324;2609.6328789834324;10571.257332500538;10571.25733250115;10571.25733250115;233.71474547246834;862.5209869924151;862.5209869924151;3238.5961564;0.0;8300.0;0.0;0.0;18662.0;-12534.104694053174;-12047.039999999999;-487.06469405317563;0.0;17169.93;-3499.9999999477036;3127.0727710862084
8;155.38886721801327;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2609.63287897884;2609.6328789834324;2609.6328789834324;10571.257332500987;10571.25733250115;10571.25733250115;692.3589144693645;862.5209869924151;862.5209869924151;3558.4653827;0.0;8300.0;0.0;0.0;18662.0;-14108.043567598712;-13564.8;-543.243567598713;0.0;17169.93;-3323.669388421185;3127.0727710862084
9;348.4721331633171;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2609.6328789789804;2609.6328789834324;2609.6328789834324;10571.257332501124;10571.25733250115;10571.25733250115;862.5209869923962;862.5209869924151;862.5209869924151;4109.4576955;0.0;8300.0;2.7992999999999997;0.0;18662.0;-15287.540787432095;-14727.359999999999;-560.180787432097;0.0;17169.93;-2868.1374195651165;3127.0727710862084
10;339.4216573114329;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2609.6328789789795;2609.6328789834324;2609.6328789834324;10571.257332501122;10571.25733250115;10571.25733250115;862.5209869923947;862.5209869924151;862.5209869924151;4602.35;0.0;8300.0;66.2501;0.0;18662.0;-15757.333936195597;-15178.56;-578.7739361955964;0.0;17169.93;-2954.687375301614;3127.0727710862084
11;150.38212265489122;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2609.632878978776;2609.6328789834324;2609.6328789834324;10571.257332500967;10571.25733250115;10571.25733250115;629.7720899770542;862.5209869924151;862.5209869924151;5007.134617299999;0.0;8300.0;207.1482;0.0;18662.0;-15730.30881206005;-15123.84;-606.4688120600498;0.0;17169.93;-3294.6347508424287;3127.0727710862084
12;132.61700551197347;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2425.532358506684;2609.6328789834324;2609.6328789834324;10571.257332500845;10571.25733250115;10571.25733250115;407.7126045353375;862.5209869924151;862.5209869924151;5235.065382700001;0.0;8300.0;331.2505;0.0;18662.0;-15676.183107718145;-15069.119999999999;-607.0631077181454;0.0;17169.93;-3294.6348011514856;3127.0727710862084
13;122.11051600664555;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2097.209228246318;2609.6328789834324;2609.6328789834324;10571.257332500658;10571.25733250115;10571.25733250115;276.38267200630645;862.5209869924151;862.5209869924151;5474.4884609;0.0;8300.0;414.2964;0.0;18662.0;-15539.002051249894;-14935.68;-603.3220512498946;0.0;17169.93;-3294.6321262169968;3127.0727710862084
14;111.51733455632721;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1766.161809367501;2609.6328789834324;2609.6328789834324;10571.257332499896;10571.25733250115;10571.25733250115;143.96614845102317;862.5209869924151;862.5209869924151;5661.8769218;0.0;8300.0;451.15385;0.0;18662.0;-15261.961266998092;-14667.84;-594.1212669980922;0.0;17169.93;-3332.4547986685216;3127.0727710862084
15;105.08842641733877;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1565.257474074062;2609.6328789834324;2609.6328789834324;10571.25733248424;10571.25733250115;10571.25733250115;63.60470730491582;862.5209869924151;862.5209869924151;5742.6423045;0.0;8300.0;432.49185;0.0;18662.0;-14976.245143432685;-14392.32;-583.9251434326857;0.0;17169.93;-3399.008549666486;3127.0727710862084
16;103.83529281675762;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1526.1031661474788;2609.6328789834324;2609.6328789834324;10479.155937529462;10571.25733250115;10571.25733250115;47.94120649664176;862.5209869924151;862.5209869924151;5839.05;0.0;8300.0;346.64665;0.0;18662.0;-15062.343714608427;-14474.88;-587.4637146084283;0.0;17169.93;-3176.553241043518;3127.0727710862084
17;108.71393535327132;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1678.5555928065908;2609.6328789834324;2609.6328789834324;10571.257332499043;10571.25733250115;10571.25733250115;108.92365982449395;862.5209869924151;862.5209869924151;6010.7961564;0.0;8300.0;219.2785;0.0;18662.0;-15349.295017244382;-14751.359999999999;-597.9350172443823;0.0;17169.93;-3239.5162275687358;3127.0727710862084
18;123.77284730319737;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2149.1467858320198;2609.6328789834324;2609.6328789834324;10571.257332500702;10571.25733250115;10571.25733250115;297.16007720300126;862.5209869924151;862.5209869924151;6282.7807654;0.0;8300.0;81.1797;0.0;18662.0;-16171.958701191532;-15544.32;-627.6387011915316;0.0;17169.93;-3209.5659587145487;3127.0727710862084
19;124.1096463971929;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;2159.67099973058;2609.6328789834324;2609.6328789834324;10571.25733250071;10571.25733250115;10571.25733250115;301.36996909418934;862.5209869924151;862.5209869924151;6462.5076955;0.0;8300.0;0.9331;0.0;18662.0;-16005.111429575623;-15384.0;-621.1114295756238;0.0;17169.93;-3490.6276855928027;3127.0727710862084
20;109.11397401509397;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1691.0619559814543;2609.6328789834324;2609.6328789834324;10571.257332499228;10571.25733250115;10571.25733250115;113.9246584501115;862.5209869924151;862.5209869924151;6512.9461564;0.0;8300.0;0.0;0.0;18662.0;-15389.189903764092;-14789.76;-599.4299037640931;0.0;17169.93;-3499.9999999882048;3127.0727710862084
21;101.36508401913248;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1448.9091570225603;2609.6328789834324;2609.6328789834324;10170.344405628852;10571.25733250115;10571.25733250115;17.063601025460148;862.5209869924151;862.5209869924151;6428.9884609;0.0;8300.0;0.0;0.0;18662.0;-14586.199684163736;-14016.96;-569.2396841637366;0.0;17169.93;-3479.105933331879;3127.0727710862084
22;95.15459389773198;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1254.7689614178717;2609.6328789834324;2609.6328789834324;9392.516944515808;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;6320.45;0.0;8300.0;0.0;0.0;18662.0;-13758.895289483968;-13221.119999999999;-537.7752894839681;0.0;17169.93;-3208.8428010040766;3127.0727710862084
23;92.21790257460063;0.0033206556981708523;14042.856909745879;17169.93;14042.856909745879;1162.9419547396728;2609.6328789834324;2609.6328789834324;9023.820862376182;10571.25733250115;10571.25733250115;0.0;862.5209869924151;862.5209869924151;6181.9038436;0.0;8300.0;0.0;0.0;18662.0;-12891.101088740683;-12386.88;-504.22108874068346;0.0;17169.93;-3477.569703471491;3127.0727710862084
