Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.70956387027431;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;990.9450030210719;1293.004036278698;1293.004036278698;6613.409713313126;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.99234355563;-8392.87008;-342.1222635556293;0.0;17629.87;244.58392891471516;0.0
2;75.12362538355859;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;628.8838691388177;1293.004036278698;1293.004036278698;6613.4097133117175;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.025346309445;-8201.705759999999;-335.3195863094461;0.0;17629.87;283.8419447132578;0.0
3;72.09153981201634;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;534.1163093310756;1293.004036278698;1293.004036278698;6511.562736412262;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104769573578;-8226.511199999999;-336.59356957357954;0.0;17629.87;378.5044025929481;0.0
4;70.50258472877042;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;484.46257326761787;1293.004036278698;1293.004036278698;6312.968311050806;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.597063209101;-8386.32576;-343.271303209102;0.0;17629.87;654.5373142601419;0.0
5;70.19671820522386;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;474.90612834973723;1293.004036278698;1293.004036278698;6274.775337231623;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192655522042;-8826.861120000001;-361.3315355220412;0.0;17629.87;973.2982433072527;0.0
6;72.13372298736495;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;535.4393396118413;1293.004036278698;1293.004036278698;6516.939095224569;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579853991572;-9670.89264;-395.687213991573;0.0;17629.87;1279.6074194729867;0.0
7;86.64512738975935;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;988.9313562231794;1293.004036278698;1293.004036278698;6613.409713313164;6613.409713313281;6613.409713313281;0.0;9723.428365111915;9723.428365111915;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.294481679737;-11383.265759999998;-464.02872167973834;0.0;17629.87;2249.7130096134215;0.0
8;118.58198967654829;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;1293.0040362781979;1293.004036278698;1293.004036278698;6613.409713313164;6613.409713313281;6613.409713313281;464.56325182660254;9723.428365111915;9723.428365111915;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.089920907392;-12494.90304;-505.1868809073926;0.0;17629.87;2459.658139327885;0.0
9;133.27946528458853;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;1293.0040362781979;1293.004036278698;1293.004036278698;6613.409713313164;6613.409713313281;6613.409713313281;832.0001417069399;9723.428365111915;9723.428365111915;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.256958130816;-13065.01968;-526.2372781308173;0.0;17629.87;2403.652193939859;0.0
10;109.04538928193067;45955.962371789064;17629.84211470341;17629.87;17629.84211470341;1293.0040362781979;1293.004036278698;1293.004036278698;6613.409713313164;6613.409713313281;6613.409713313281;226.1482419984377;9723.428365111915;9723.428365111915;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.107544297802;-13201.0584;-535.049144297803;0.0;17629.87;2803.4294651118585;0.0
