Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;84.7;48123.66;14105.35;6974.1;6974.1;6974.1;928.19;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;662.99;0.0;8300.0;8774.73;8430.88;343.85;14105.35;209.45;0.0;0.0
2.0;74.87;48123.66;14105.35;6859.3;6974.1;6974.1;621.07;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;921.42;0.0;8300.0;8485.3;8152.0;333.31;14105.35;83.51;0.0;0.0
3.0;72.69;48123.66;14105.35;6585.81;6974.1;6974.1;552.7;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;1258.29;0.0;8300.0;8294.44;7968.46;325.99;14105.35;-102.35;0.0;0.0
4.0;71.43;48123.66;14105.35;6429.02;6974.1;6974.1;513.51;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;1589.57;0.0;8300.0;8194.5;7872.35;322.16;14105.35;-337.59;0.0;0.0
5.0;71.3;48123.66;14105.35;6412.11;6974.1;6974.1;509.28;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;1994.74;0.0;8300.0;8362.81;8034.03;328.78;14105.35;-553.32;0.0;0.0
6.0;73.26;48123.66;14105.35;6657.77;6974.1;6974.1;570.69;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;2319.7;0.0;8300.0;8880.79;8531.81;348.98;14105.35;-667.37;0.0;0.0
7.0;88.79;48123.66;14105.35;6974.1;6974.1;6974.1;1056.04;1508.95;1508.95;0.0;0.0;18662.0;0.0;5622.29;5622.29;2609.64;0.0;8300.0;9790.42;9407.15;383.26;14105.35;-849.37;0.0;0.0
8.0;116.02;48123.66;14105.35;6974.1;6974.1;6974.1;1508.95;1508.95;1508.95;1.15;0.0;18662.0;325.3;5622.29;5622.29;2935.3;0.0;8300.0;11276.69;10838.2;438.49;14105.35;-468.12;0.0;0.0
9.0;129.4;48123.66;14105.35;6974.1;6974.1;6974.1;1508.95;1508.95;1508.95;604.99;0.0;18662.0;492.44;5622.29;5622.29;3049.95;0.0;8300.0;12063.1;11595.58;467.52;14105.35;-567.34;0.0;0.0
10.0;97.12;48123.66;14105.35;6974.1;6974.1;6974.1;1316.32;1508.95;1508.95;2532.6;0.0;18662.0;89.03;5622.29;5622.29;3048.47;0.0;8300.0;11984.88;11516.67;468.21;14105.35;-1975.64;0.0;0.0
