Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;87.12964178709893;0.0;0.0;0.0;0.0;1004.052763426393;1419.9810672661142;1419.9810672661142;6860.969342575277;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.955629602577;-8392.87008;-342.08554960257624;0.0;0.0;-16.119681024168578;0.0
2;74.46294252308607;0.0;0.0;0.0;0.0;608.2170201343372;1419.9810672661142;1419.9810672661142;6807.870255107791;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.081800682216;-8201.705759999999;-335.3760406822165;0.0;0.0;110.10181164332151;0.0
3;72.09058782967881;0.0;0.0;0.0;0.0;534.0808989301418;1419.9810672661142;1419.9810672661142;6511.3245552328635;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104853919487;-8226.511199999999;-336.5936539194874;0.0;0.0;378.7772639384572;0.0
4;70.50143746010691;0.0;0.0;0.0;0.0;484.41994934911105;1419.9810672661142;1419.9810672661142;6312.680739896059;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.597166493553;-8386.32576;-343.27140649355294;0.0;0.0;654.8666903855191;0.0
5;70.19525452478038;0.0;0.0;0.0;0.0;474.8517440812383;1419.9810672661142;1419.9810672661142;6274.408295035567;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192794204242;-8826.861120000001;-361.33167420424166;0.0;0.0;973.718640796346;0.0
6;72.13196035186327;0.0;0.0;0.0;0.0;535.3738173423761;1419.9810672661142;1419.9810672661142;6516.497118367078;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.580037141975;-9670.89264;-395.68739714197517;0.0;0.0;1280.1136800730199;0.0
7;87.06503137859548;0.0;0.0;0.0;0.0;1002.0336878504862;1419.9810672661142;1419.9810672661142;6860.96934257519;6860.969342575233;6860.969342575233;0.0;1186.5365168706717;1186.5365168706717;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.244707151585;-11383.265759999998;-463.9789471515877;0.0;0.0;1989.001768315788;0.0
8;121.16428186527878;0.0;0.0;0.0;0.0;1419.9810672659296;1419.9810672661142;1419.9810672661142;6860.96934257519;6860.969342575233;6860.969342575233;529.1080648318617;1186.5365168706717;1186.5365168706717;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-12999.753832105713;-12494.90304;-504.85079210571314;0.0;0.0;2020.239187707891;0.0
9;236.12604856394015;0.0;0.0;0.0;0.0;1419.9810672659357;1419.9810672661142;1419.9810672661142;6860.969342575191;6860.969342575233;6860.969342575233;1186.536516870664;1186.5365168706717;1186.5365168706717;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13577.260172600721;-13065.01968;-512.240492600722;0.0;0.0;1660.5797368625729;0.0
10;110.75917307413805;0.0;0.0;0.0;0.0;1419.981067265931;1419.9810672661142;1419.9810672661142;6860.96934257519;6860.969342575233;6860.969342575233;268.9805411700655;1186.5365168706717;1186.5365168706717;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13735.871895736584;-13201.0584;-534.8134957365843;0.0;0.0;2385.828779195402;0.0
