Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;87.12725107599685;0.0;0.0;0.0;0.0;1003.9742377259581;1410.1296404157272;1410.1296404157272;6842.659529827032;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.231858106816;-7790.6903999999995;-317.54145810681604;0.0;0.0;-162.95613652608807;0.0
2;74.46287191865052;0.0;0.0;0.0;0.0;608.2146284318646;1410.1296404157272;1410.1296404157272;6807.854357693818;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.292325425207;-7439.099999999999;-304.19232542520774;0.0;0.0;-262.82064509331474;0.0
3;72.09055667080287;0.0;0.0;0.0;0.0;534.0798434349898;1410.1296404157272;1410.1296404157272;6511.317539531438;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133518131432;-7106.3712;-290.76231813143215;0.0;0.0;-454.0214449435142;0.0
4;70.50140687177985;0.0;0.0;0.0;0.0;484.4189131741817;1410.1296404157272;1410.1296404157272;6312.6738527169255;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488409085878;-6980.7504;-285.7380090858779;0.0;0.0;-548.5007644517626;0.0
5;70.19521173077251;0.0;0.0;0.0;0.0;474.85029443912714;1410.1296404157272;1410.1296404157272;6274.398659704056;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738075796153;-6956.951999999999;-284.7860757961538;0.0;0.0;-784.8686268294721;0.0
6;72.13190033926446;0.0;0.0;0.0;0.0;535.3717844263915;1410.1296404157272;1410.1296404157272;6516.483606250034;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468628439411;-7172.0232;-293.44542843941133;0.0;0.0;-1071.833564381529;0.0
7;87.0626406088899;0.0;0.0;0.0;0.0;1001.9551595265572;1410.1296404157272;1410.1296404157272;6842.659529822361;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.718998927504;-7543.2576;-307.46139892750404;0.0;0.0;-1665.0092470057075;0.0
8;121.16118632640762;0.0;0.0;0.0;0.0;1410.1296404158034;1410.1296404157272;1410.1296404157272;6842.659529822365;6842.659529833574;6842.659529833574;352.68581040569137;457.2411535146305;457.2411535146305;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.143680531253;-7813.4448;-315.6988805312529;0.0;0.0;-2356.529987298452;0.0
9;235.357852420733;0.0;0.0;0.0;0.0;1410.1296404158288;1410.1296404157272;1410.1296404157272;6842.659529822366;6842.659529833574;6842.659529833574;457.2411535145733;457.2411535146305;457.2411535146305;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8384.302825236025;-8067.9192;-316.3836252360245;0.0;0.0;-2563.695858549826;0.0
10;110.75608003947607;0.0;0.0;0.0;0.0;1410.1296404158238;1410.1296404157272;1410.1296404157272;6842.659529822364;6842.659529833574;6842.659529833574;179.26753917365951;457.2411535146305;457.2411535146305;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.025587750271;-8647.6824;-350.3431877502714;0.0;0.0;-2578.762990452071;0.0
