Timestep;EOM_price;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;NetworkManager;ENS_Cons_A
1.0;84.87;6860.66;6860.66;6860.66;933.4;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;886.06;0.0;13700.0;8735.15;8392.87;342.28;55.04;0.0
2.0;74.87;6859.3;6860.66;6860.66;621.07;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1010.89;0.0;13700.0;8537.05;8201.71;335.34;45.78;0.0
3.0;72.69;6585.81;6860.66;6860.66;552.7;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1138.92;0.0;13700.0;8563.05;8226.51;336.54;285.62;0.0
4.0;71.43;6429.02;6860.66;6860.66;513.51;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1277.63;0.0;13700.0;8729.52;8386.33;343.19;509.36;0.0
5.0;71.3;6412.11;6860.66;6860.66;509.28;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1465.21;0.0;13700.0;9188.09;8826.86;361.23;801.49;0.0
6.0;73.26;6657.77;6860.66;6860.66;570.69;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1734.6;0.0;13700.0;10066.47;9670.89;395.57;1103.4;0.0
7.0;88.96;6860.66;6860.66;6860.66;1061.25;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;1995.24;0.0;13700.0;11847.02;11383.27;463.75;1929.87;0.0
8.0;117.37;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;20.45;0.0;15403.0;342.15;488.55;488.55;2149.01;0.0;13700.0;13000.25;12494.9;505.34;2199.85;0.0
9.0;129.65;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;202.59;0.0;15403.0;488.55;488.55;488.55;2246.6;0.0;13700.0;13591.16;13065.02;526.14;2364.62;0.0
10.0;97.24;6860.66;6860.66;6860.66;1320.04;1428.13;1428.13;533.14;0.0;15403.0;90.52;488.55;488.55;2266.97;0.0;13700.0;13737.73;13201.06;536.67;2666.39;0.0
11.0;75.28;6860.66;6860.66;6860.66;633.67;1428.13;1428.13;901.56;0.0;15403.0;0.0;488.55;488.55;2229.34;0.0;13700.0;13900.97;13354.99;545.99;3275.75;0.0
12.0;1387.98;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;15403.0;488.55;488.55;488.55;1370.14;0.0;13700.0;12486.23;12486.23;0.0;2338.75;5753.78
13.0;70.04;6255.47;6860.66;6860.66;470.12;1428.13;1428.13;1285.98;0.0;15403.0;0.0;488.55;488.55;2228.12;0.0;13700.0;13871.93;13326.39;545.54;3632.25;0.0
14.0;70.74;6342.5;6860.66;6860.66;491.88;1428.13;1428.13;1161.15;0.0;15403.0;0.0;488.55;488.55;2230.92;0.0;13700.0;13777.95;13236.2;541.75;3551.51;0.0
15.0;72.98;6622.89;6860.66;6860.66;561.97;1428.13;1428.13;824.35;0.0;15403.0;0.0;488.55;488.55;2222.74;0.0;13700.0;13482.26;12952.43;529.84;3250.31;0.0
16.0;80.99;6860.66;6860.66;6860.66;812.17;1428.13;1428.13;374.74;0.0;15403.0;0.0;488.55;488.55;2264.55;0.0;13700.0;13421.49;12895.07;526.42;3109.36;0.0
17.0;122.8;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;54.53;0.0;15403.0;410.01;488.55;488.55;2408.57;0.0;13700.0;13434.4;12912.88;521.52;2272.5;0.0
18.0;1374.84;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;15403.0;488.55;488.55;488.55;1370.14;0.0;13700.0;10212.81;10212.81;0.0;65.33;3227.2
19.0;1365.91;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;15403.0;488.55;488.55;488.55;1370.14;0.0;13700.0;10388.34;10388.34;0.0;240.86;3531.67
20.0;142.43;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;15403.0;488.55;488.55;488.55;2581.86;0.0;13700.0;13349.2;12842.03;507.16;1989.99;0.0
21.0;99.54;6860.66;6860.66;6860.66;1391.78;1428.13;1428.13;0.0;0.0;15403.0;119.21;488.55;488.55;2508.23;0.0;13700.0;12695.63;12199.95;495.68;1815.74;0.0
22.0;85.72;6860.66;6860.66;6860.66;959.91;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;2383.62;0.0;13700.0;11929.47;11462.11;467.35;1725.28;0.0
23.0;74.39;6798.31;6860.66;6860.66;605.83;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;2265.25;0.0;13700.0;11226.76;10785.71;441.05;1557.38;0.0
24.0;70.69;6336.01;6860.66;6860.66;490.25;1428.13;1428.13;0.0;0.0;15403.0;0.0;488.55;488.55;2169.16;0.0;13700.0;10447.14;10036.35;410.79;1451.71;0.0
