Timestep;EOM_price;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;NetworkManager;ENS_Cons_B
1.0;84.87;6860.66;6860.66;6860.66;933.4;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;343.75;0.0;5315.0;8108.42;7790.69;317.72;-29.4;0.0
2.0;74.87;6859.3;6860.66;6860.66;621.07;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;392.18;0.0;5315.0;7743.26;7439.1;304.16;-129.29;0.0
3.0;72.69;6585.81;6860.66;6860.66;552.7;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;441.85;0.0;5315.0;7397.09;7106.37;290.72;-183.27;0.0
4.0;71.43;6429.02;6860.66;6860.66;513.51;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;495.66;0.0;5315.0;7266.42;6980.75;285.67;-171.77;0.0
5.0;71.3;6412.11;6860.66;6860.66;509.28;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;568.44;0.0;5315.0;7241.66;6956.95;284.71;-248.17;0.0
6.0;73.26;6657.77;6860.66;6860.66;570.69;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;672.95;0.0;5315.0;7465.38;7172.02;293.36;-436.03;0.0
7.0;88.96;6860.66;6860.66;6860.66;1061.25;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;774.07;0.0;5315.0;7850.57;7543.26;307.31;-845.41;0.0
8.0;117.37;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;11.67;0.0;8788.0;342.15;488.55;488.55;833.72;0.0;5315.0;8129.45;7813.44;316.01;-1346.88;0.0
9.0;133.97;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;115.59;0.0;8788.0;488.55;488.55;488.55;871.58;0.0;5315.0;8392.82;8067.92;324.9;-1371.69;0.0
10.0;97.24;6860.66;6860.66;6860.66;1320.04;1428.13;1428.13;304.18;0.0;8788.0;90.52;488.55;488.55;879.49;0.0;5315.0;8999.24;8647.68;351.56;-455.65;0.0
11.0;75.28;6860.66;6860.66;6860.66;633.67;1428.13;1428.13;514.37;0.0;8788.0;0.0;488.55;488.55;864.88;0.0;5315.0;9383.53;9014.97;368.55;509.94;0.0
12.0;4000.0;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;8788.0;488.55;488.55;488.55;531.55;0.0;5315.0;8877.42;8877.41;0.0;-431.48;2642.6
13.0;70.04;6255.47;6860.66;6860.66;470.12;1428.13;1428.13;733.7;0.0;8788.0;0.0;488.55;488.55;864.41;0.0;5315.0;9518.56;9144.22;374.34;1194.86;0.0
14.0;70.74;6342.5;6860.66;6860.66;491.88;1428.13;1428.13;662.48;0.0;8788.0;0.0;488.55;488.55;865.5;0.0;5315.0;9454.47;9082.72;371.75;1092.12;0.0
15.0;72.98;6622.89;6860.66;6860.66;561.97;1428.13;1428.13;470.32;0.0;8788.0;0.0;488.55;488.55;862.32;0.0;5315.0;9281.48;8916.73;364.75;763.97;0.0
16.0;80.99;6860.66;6860.66;6860.66;812.17;1428.13;1428.13;213.8;0.0;8788.0;0.0;488.55;488.55;878.55;0.0;5315.0;9084.56;8728.24;356.31;319.37;0.0
17.0;122.8;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;31.11;0.0;8788.0;410.01;488.55;488.55;934.42;0.0;5315.0;9230.98;8872.64;358.34;-433.35;0.0
18.0;4000.0;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;8788.0;488.55;488.55;488.55;531.55;0.0;5315.0;8655.66;8655.66;0.0;-653.24;3824.35
19.0;2013.68;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;8788.0;488.55;488.55;488.55;531.55;0.0;5315.0;9836.12;9836.11;0.0;527.22;5523.9
20.0;208.72;6860.66;6860.66;6860.66;1428.13;1428.13;1428.13;0.0;0.0;8788.0;488.55;488.55;488.55;1001.65;0.0;5315.0;9852.68;9478.36;374.32;73.69;0.0
21.0;99.54;6860.66;6860.66;6860.66;1391.78;1428.13;1428.13;0.0;0.0;8788.0;119.21;488.55;488.55;973.09;0.0;5315.0;9400.8;9033.76;367.04;56.06;0.0
22.0;85.72;6860.66;6860.66;6860.66;959.91;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;924.74;0.0;5315.0;9059.11;8704.21;354.9;313.8;0.0
23.0;74.39;6798.31;6860.66;6860.66;605.83;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;878.82;0.0;5315.0;8833.02;8486.01;347.01;550.07;0.0
24.0;70.69;6336.01;6860.66;6860.66;490.25;1428.13;1428.13;0.0;0.0;8788.0;0.0;488.55;488.55;841.54;0.0;5315.0;8598.65;8260.55;338.11;930.85;0.0
